,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 21:52:39 +0000 2017,8.65687E+17,4,5,This week in #OGHistory #utpol https://t.co/85yS8pV9dD,senorrinhatch,Orrin Hatch,Utah,Republican
1,Fri May 19 19:46:06 +0000 2017,8.65655E+17,3,13,"Via @Fox13, Senator Hatch pays tribute to several Utah heroes #NationalPoliceWeek #utpol https://t.co/umOKaMN5mw",senorrinhatch,Orrin Hatch,Utah,Republican
2,Fri May 19 19:16:03 +0000 2017,8.65647E+17,3,8,This week @ABC4GMU discussed the benefits of newly passed Rapid DNA bill championed by Senator Hatch… https://t.co/cpjFL3y1wp,senorrinhatch,Orrin Hatch,Utah,Republican
3,Fri May 19 17:47:05 +0000 2017,8.65625E+17,2,2,Students at the ISS downlink learn the importance of STEM through experiments. #liquidnitrogen #STEMonStation #utpol https://t.co/bt3rcAo6j5,senorrinhatch,Orrin Hatch,Utah,Republican
4,Fri May 19 17:01:32 +0000 2017,8.65613E+17,1,3,Thank you to @AstroPeggy and @Astro2fish for speaking with the students of @USUAggies and around  Utah… https://t.co/gmFLEj4dpp,senorrinhatch,Orrin Hatch,Utah,Republican
5,Thu May 18 20:52:07 +0000 2017,8.65309E+17,9,6,"""I wish him the very best as he returns to the private sector."" (3/3) #utpol @jasoninthehouse",senorrinhatch,Orrin Hatch,Utah,Republican
6,Thu May 18 20:51:35 +0000 2017,8.65309E+17,6,5,..he distinguished himself as a strong defender of our Constitution and an effective communicator of conservative values. (2/3) #utpol,senorrinhatch,Orrin Hatch,Utah,Republican
7,Thu May 18 20:51:06 +0000 2017,8.65309E+17,18,7,"Hatch statement on Chaffetz announcement: ""Congressman Chaffetz has served Utah well. In the House of Representatives, (1/3) #utpol",senorrinhatch,Orrin Hatch,Utah,Republican
8,Thu May 18 17:19:19 +0000 2017,8.65255E+17,123,611,"""Look at this photograph. Every time I do it makes me laugh."" - @BenSasse's favorite band. https://t.co/yhzahqDPfV",senorrinhatch,Orrin Hatch,Utah,Republican
9,Thu May 18 16:43:00 +0000 2017,8.65246E+17,7,8,"Earlier this week Hatch met with Trooper Ellsworth's family, today we honor his memory. #NationalPoliceWeek #utpol… https://t.co/tA0xl4uRab",senorrinhatch,Orrin Hatch,Utah,Republican
10,Thu May 18 16:13:00 +0000 2017,8.65239E+17,4,7,Today we celebrate the service of Officer Cody Brotherson one of Utah's fallen #NationalPoliceWeek #utpol… https://t.co/NBzv7FMQWZ,senorrinhatch,Orrin Hatch,Utah,Republican
11,Thu May 18 15:45:01 +0000 2017,8.65232E+17,1,6,This #NationalPoliceWeek we remember Officer Douglas Barney. He helped the lives of many in 18 yrs of service… https://t.co/wDM6t4bFix,senorrinhatch,Orrin Hatch,Utah,Republican
12,Thu May 18 15:22:28 +0000 2017,8.65226E+17,3,5,This major bill just passed in @GOPSenFinance -- great news for @UofUNeurology and @Intermountain.   https://t.co/5MFZbav916 #utpol,senorrinhatch,Orrin Hatch,Utah,Republican
13,Wed May 17 22:29:11 +0000 2017,8.64971E+17,37,21,"HATCH: ""I commend DOJ for bringing in an independent voice to help bring clarity to this situation.""  https://t.co/ROnvadcMmW #utpol",senorrinhatch,Orrin Hatch,Utah,Republican
14,Wed May 17 21:17:01 +0000 2017,8.64953E+17,2,4,ICYMI: Remarks on the Senate floor to honor fallen police officers. #utpol                      #NationalPoliceWeek https://t.co/csZMhJX88X,senorrinhatch,Orrin Hatch,Utah,Republican
15,Wed May 17 21:05:50 +0000 2017,8.6495E+17,0,4,A glimpse at what a STEM education can do #Spacewalk #STEMonStation #utpol https://t.co/luca0xcDlL,senorrinhatch,Orrin Hatch,Utah,Republican
16,Wed May 17 20:14:01 +0000 2017,8.64937E+17,6,5,Hatch continues to advocate for Space exploration including the Space Launch System and the Orion Spacecraft. #utpol https://t.co/04LQFP5aPU,senorrinhatch,Orrin Hatch,Utah,Republican
17,Wed May 17 19:59:01 +0000 2017,8.64933E+17,3,2,“We're grateful for Hatch’s leadership on space exploration for future generations.” @Astro_Precourt #utpol  https://t.co/BAkAnbm18q,senorrinhatch,Orrin Hatch,Utah,Republican
18,Wed May 17 19:41:01 +0000 2017,8.64929E+17,5,1,Utah students: If you could ask @AstroPeggy and @Astro2Fish anything about their time in space what would you ask?… https://t.co/byAnCwUwgd,senorrinhatch,Orrin Hatch,Utah,Republican
19,Wed May 17 19:35:02 +0000 2017,8.64927E+17,0,1,Brush up on all of the things you may not know about @AstroPeggy before Friday’s ISS Downlink #utpol #STEMonStation https://t.co/FpIU4ZQouP,senorrinhatch,Orrin Hatch,Utah,Republican
20,Wed May 17 19:23:00 +0000 2017,8.64924E+17,0,2,"First female ISS commander @AstroPeggy to share her inspiration with Utah STEM students on Fri #STEMonStation #utpol
https://t.co/mHCc47u3fM",senorrinhatch,Orrin Hatch,Utah,Republican
21,Wed May 17 19:05:00 +0000 2017,8.6492E+17,0,5,STEM students from @USUAggies &amp; Utah hosted by Sen Hatch will hear from @AstroPeggy and @Astro2Fish on Friday #utpol https://t.co/ut0P4sMMbC,senorrinhatch,Orrin Hatch,Utah,Republican
22,Wed May 17 18:51:39 +0000 2017,8.64916E+17,3,2,Passion for STEM? @Astro_Sandy shares her passion for science &amp; math. Conversation continues Friday with… https://t.co/hHA6GOoM3N,senorrinhatch,Orrin Hatch,Utah,Republican
23,Wed May 17 18:22:04 +0000 2017,8.64909E+17,8,2,"""Math is a language that helps you describe relationships."" -@Astro_Sandy #utpol #STEMonStation https://t.co/Vlb0xxqvck",senorrinhatch,Orrin Hatch,Utah,Republican
24,Wed May 17 17:34:01 +0000 2017,8.64897E+17,6,4,.@Astro_Sandy encourages students to be excited about exploring space and the world.  #STEMonStation #utpol https://t.co/C9JPECdnvk,senorrinhatch,Orrin Hatch,Utah,Republican
25,Wed May 17 14:57:57 +0000 2017,8.64858E+17,3,3,Always wondered how to be an astronaut? Tune in to hear from Sen Hatch &amp; @Astro_Sandy leading up to Friday's downli… https://t.co/b55DyuxwZu,senorrinhatch,Orrin Hatch,Utah,Republican
26,Wed May 17 14:14:44 +0000 2017,8.64847E+17,1,5,FRIDAY: Hatch to host event for students to speak to astronauts aboard the International Space Station at USU #utpol https://t.co/jUTzwnS832,senorrinhatch,Orrin Hatch,Utah,Republican
27,Wed May 17 14:00:22 +0000 2017,8.64843E+17,3,6,"Glad to see you're doing well, @SenThomTillis 
Happy to have you back with us soon. https://t.co/XFQSUfw3Kd",senorrinhatch,Orrin Hatch,Utah,Republican
28,Wed May 17 12:49:56 +0000 2017,8.64825E+17,4,5,Thoughts and prayers with @SenThomTillis https://t.co/3hYAL89tAz,senorrinhatch,Orrin Hatch,Utah,Republican
29,Wed May 17 03:10:20 +0000 2017,8.64679E+17,6,3,"Via @DeseretNews: Hatch honors heroic, fallen Utah police officers in Senate speech #utpol #NationalPoliceWeek  https://t.co/csZMhJX88X",senorrinhatch,Orrin Hatch,Utah,Republican
30,Wed May 17 02:18:38 +0000 2017,8.64666E+17,860,262,Well we tried. https://t.co/6xJnpzsQpH,senorrinhatch,Orrin Hatch,Utah,Republican
31,Wed May 17 01:50:18 +0000 2017,8.64659E+17,66,61,Statement from the Hatch office-- #utpol https://t.co/pAnfROGd9V,senorrinhatch,Orrin Hatch,Utah,Republican
32,Wed May 17 01:15:20 +0000 2017,8.64651E+17,5,2,"Today I had the opportunity to meet the wonderful family of Eric Ellsworth, a UHP Trooper who… https://t.co/VEoM2KMMuY",senorrinhatch,Orrin Hatch,Utah,Republican
33,Tue May 16 23:51:05 +0000 2017,8.64629E+17,9,18,"With the passage of the Rapid DNA bill, DNA reference samples can be compared with a simple swap of the cheek.… https://t.co/c4reYNQQqi",senorrinhatch,Orrin Hatch,Utah,Republican
34,Tue May 16 23:23:05 +0000 2017,8.64622E+17,14,8,Rapid DNA will allow law enforcement officials to solve crimes quicker and help those who are falsely accused.… https://t.co/GTIqsI79lJ,senorrinhatch,Orrin Hatch,Utah,Republican
35,Tue May 16 22:53:04 +0000 2017,8.64615E+17,5,5,.@ndaajustice Praises the ability to assess potential suspects in under two hours with the passage of the Rapid DNA… https://t.co/ievnKg5Ago,senorrinhatch,Orrin Hatch,Utah,Republican
36,Tue May 16 22:18:34 +0000 2017,8.64606E+17,7,12,THIS JUST IN: Hatch sponsored Rapid DNA bill passes in the Senate. #utpol https://t.co/0Jw72wRzJY,senorrinhatch,Orrin Hatch,Utah,Republican
