,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 19:51:58 +0000 2017,8.65E+17,2,1,Enjoyed meeting w/ Canadian Members of Parliament about maintaining a strong relationship as we look to strengthen… https://t.co/vuLnS7BEWO,SenPatRoberts,Pat Roberts,Kansas,Republican
1,Thu May 18 15:57:13 +0000 2017,8.65E+17,3,2,NEWS RELEASE: Senate Finance Committee Approves Roberts Amendment to Improve Medication Use for Medicare Patients https://t.co/HE3JYA3qsr,SenPatRoberts,Pat Roberts,Kansas,Republican
2,Thu May 18 15:56:03 +0000 2017,8.65E+17,2,2,Pleased my amendment with @SenatorCarper to @GOPSenFinance's CHRONIC Care legislation to improve medication use was approved in committee.,SenPatRoberts,Pat Roberts,Kansas,Republican
3,Thu May 18 14:51:42 +0000 2017,8.65E+17,2,2,"Hail, damaging winds and tornadoes very likely according to @NWSDodgeCity along and east of Highway 283 &amp; south of… https://t.co/pC98USwzOR",SenPatRoberts,Pat Roberts,Kansas,Republican
4,Thu May 18 14:48:28 +0000 2017,8.65E+17,0,2,Make preparations now. https://t.co/yZhCVrwsHg,SenPatRoberts,Pat Roberts,Kansas,Republican
5,Wed May 17 19:29:24 +0000 2017,8.65E+17,4,2,It was a pleasure to meet with @sprint President &amp; CEO @marceloclaure today. We are proud to have Sprint headquarte… https://t.co/G2ydZ16py4,SenPatRoberts,Pat Roberts,Kansas,Republican
6,Wed May 17 15:29:40 +0000 2017,8.65E+17,5,3,Great to meet with the @ChamberWichita today to discuss a variety of important business issues in the Wichita area. https://t.co/fytJdWbH9C,SenPatRoberts,Pat Roberts,Kansas,Republican
7,Wed May 17 14:28:55 +0000 2017,8.65E+17,3,3,Franki and I send our thoughts and prayers to @maziehirono as she undergoes cancer treatment. Praying for speedy an… https://t.co/OVpftc7zjf,SenPatRoberts,Pat Roberts,Kansas,Republican
8,Wed May 17 14:09:46 +0000 2017,8.65E+17,3,3,Prayers for those who lost homes in Tues. night's tornado in Barton Co. Glad no lives were lost &amp; only 1 injured.… https://t.co/dZhPcjUF7w,SenPatRoberts,Pat Roberts,Kansas,Republican
9,Wed May 17 13:05:15 +0000 2017,8.65E+17,4,2,Franki and I send prayers to my friend @SenThomTillis for a full and swift recovery. Our thoughts are with you and your loved ones.,SenPatRoberts,Pat Roberts,Kansas,Republican
10,Tue May 16 21:42:30 +0000 2017,8.65E+17,10,4,It was a pleasure to meet with Col. Mark Larson &amp; TSgt Abigail Klein of the 931st Air Refueling Wing at McConnell A… https://t.co/rcQ5lBLeBY,SenPatRoberts,Pat Roberts,Kansas,Republican
11,Tue May 16 21:09:12 +0000 2017,8.65E+17,2,13,Honored to meet family &amp; team members of MDS Brandon Collins who was killed in the line of duty. Thank you for your… https://t.co/LC5KEucgN1,SenPatRoberts,Pat Roberts,Kansas,Republican
12,Tue May 16 14:59:36 +0000 2017,8.64E+17,4,1,Speaking now at @GOPSenFinance hearing on improving care for patients with chronic conditions. Watch live here: https://t.co/tbCiKfssaP,SenPatRoberts,Pat Roberts,Kansas,Republican
13,Tue May 16 13:55:48 +0000 2017,8.64E+17,3,2,"Congratulations to @Kstate's Soil Judging Team on winning 2nd in the national @ASA_CSSA_SSSA competition! 
https://t.co/jlQyZYYDWz",SenPatRoberts,Pat Roberts,Kansas,Republican
14,Mon May 15 22:15:41 +0000 2017,8.64E+17,16,7,This week is #NationalPoliceWeek. Thank you to all our law enforcement who put their lives on the line every day to… https://t.co/LRAIOQ0CUx,SenPatRoberts,Pat Roberts,Kansas,Republican
15,Mon May 15 19:55:49 +0000 2017,8.64E+17,3,4,"Honored to begin Robert Lighthizer's swearing in ceremony with @VP Pence. Congratulations, @USTradeRep! https://t.co/j6bbdFfVmv",SenPatRoberts,Pat Roberts,Kansas,Republican
16,Sun May 14 19:18:17 +0000 2017,8.64E+17,8,3,Wishing all the wonderful mothers out there a happy Mother's Day! https://t.co/yImQSebx5r,SenPatRoberts,Pat Roberts,Kansas,Republican
17,Fri May 12 18:14:53 +0000 2017,8.63E+17,4,2,Thanks for stopping by my office. Very proud of your accomplishments &amp; good luck in tomorrow's @RocketContest! https://t.co/AQaCZccVQH,SenPatRoberts,Pat Roberts,Kansas,Republican
18,Thu May 11 19:01:14 +0000 2017,8.63E+17,13,5,Pleased the Senate has confirmed Robert Lighthizer as @USTradeRep. Look forward to a robust trade policy w/ agriculture a key priority.,SenPatRoberts,Pat Roberts,Kansas,Republican
19,Wed May 10 16:03:15 +0000 2017,8.62E+17,10,1,My pleasure. Thanks for your advice and counsel! https://t.co/W5Z0by8Bk7,SenPatRoberts,Pat Roberts,Kansas,Republican
20,Wed May 10 14:48:15 +0000 2017,8.62E+17,130,17,My statement on the firing of FBI Director James Comey: https://t.co/vImSswvRlI,SenPatRoberts,Pat Roberts,Kansas,Republican
21,Mon May 08 20:06:07 +0000 2017,8.62E+17,26,5,"ICYMI check out my op-ed in the @KCStar, ""New rules keep school lunches out of the trash"" https://t.co/ow9kPy1vKd https://t.co/QaXT9Gby3S",SenPatRoberts,Pat Roberts,Kansas,Republican
22,Mon May 08 18:18:25 +0000 2017,8.62E+17,3,2,"Check out the Roberts Report for an update on school nutrition, #SCOTUS, visiting w/ veterans, #First100Days &amp; more. https://t.co/YJOVMyOiVT",SenPatRoberts,Pat Roberts,Kansas,Republican
23,Fri May 05 15:18:54 +0000 2017,8.61E+17,17,5,"ICYMI: My @KCStar op-ed: Take politics out of school meals &amp; children have nutritious food they actually eat https://t.co/YsNMIWOkVC
@KCStar",SenPatRoberts,Pat Roberts,Kansas,Republican
24,Thu May 04 21:18:43 +0000 2017,8.60E+17,1,4,"ICYMI I reflected on memories of the tragic @GreensburgKS tornado 10 yrs ago today &amp; their remarkable recovery since
https://t.co/Hm5zJq2NIj",SenPatRoberts,Pat Roberts,Kansas,Republican
25,Thu May 04 20:35:29 +0000 2017,8.60E+17,1,2,"Thinking about those affected by this week's blizzard in Western KS. For more info on available options, go here: 
https://t.co/NGdokEzkFW",SenPatRoberts,Pat Roberts,Kansas,Republican
26,Thu May 04 15:28:20 +0000 2017,8.60E+17,2,5,Check out this video commemorating the 10th anniversary of the #GreensburgTornado &amp; the town's remarkable recovery.… https://t.co/f1FOV2lhzx,SenPatRoberts,Pat Roberts,Kansas,Republican
27,Thu May 04 15:02:12 +0000 2017,8.60E+17,6,7,Today marks the 10th anniversary of the #GreensburgTornado. The comeback spirit of the people of @GreensburgKS has… https://t.co/nUtpcE2cDl,SenPatRoberts,Pat Roberts,Kansas,Republican
28,Wed May 03 22:10:41 +0000 2017,8.60E+17,1,5,"In memory of Kelsey Smith, I gave her favorite candy to our USCP officers. I encourage you to do your own random ac… https://t.co/ucgbEelVzL",SenPatRoberts,Pat Roberts,Kansas,Republican
29,Wed May 03 21:45:29 +0000 2017,8.60E+17,5,5,Honored to be named an honorary @cwymca counselor! I attended there as a child &amp; am proud to support the work they… https://t.co/BUwzkVqno4,SenPatRoberts,Pat Roberts,Kansas,Republican
30,Tue May 02 21:36:44 +0000 2017,8.60E+17,1,2,"Great to meet you, Jared! Thank you for sharing you thoughts on the #FarmBill &amp; I look forward to hearing about you… https://t.co/l2YNkZoepu",SenPatRoberts,Pat Roberts,Kansas,Republican
31,Tue May 02 21:32:08 +0000 2017,8.60E+17,4,4,Enjoyed meeting w the Community Bankers Assoc. of Kansas today. Thx for coming in to discuss important issues impac… https://t.co/6Y1qD8kR7e,SenPatRoberts,Pat Roberts,Kansas,Republican
32,Tue May 02 18:16:04 +0000 2017,8.59E+17,13,4,Thank you @ACUConservative for the Award for Conservative Achievement! Proud to fight for conservative principles. https://t.co/M78vMudCYH,SenPatRoberts,Pat Roberts,Kansas,Republican
33,Tue May 02 17:03:40 +0000 2017,8.59E+17,2,3,"These veterans have some amazing stories, and it was a special honor to meet them. @HonorFlightKC https://t.co/qSM38BMhQ6",SenPatRoberts,Pat Roberts,Kansas,Republican
34,Tue May 02 16:59:29 +0000 2017,8.59E+17,0,5,I was humbled to meet w/ veterans visiting the WWII memorial on an honor flight from the Kansas City area today. Th… https://t.co/RaRcfxg3W1,SenPatRoberts,Pat Roberts,Kansas,Republican
35,Tue May 02 16:55:39 +0000 2017,8.59E+17,1,2,A special congrats to Ilir Metaj of Albania on his recent election as President. It was an honor to meet him in Jan… https://t.co/35rRGfCN7y,SenPatRoberts,Pat Roberts,Kansas,Republican
36,Mon May 01 17:14:04 +0000 2017,8.59E+17,5,2,WATCH LIVE: Speaking with @SecretarySonny at Catoctin Elementary School on giving school meals more flexibility https://t.co/oeoidSa1eu,SenPatRoberts,Pat Roberts,Kansas,Republican
