,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 17:01:21 +0000 2017,8.65976E+17,43,17,"As we celebrate #ArmedForcesDay, let's give thanks to the selfless men + women serving in defense of our great nati… https://t.co/YM7C1R08FX",SenToomey,Pat Toomey,Pennsylvania,Republican
1,Thu May 18 20:17:44 +0000 2017,8.653E+17,280,14,Joe Lieberman would be a great choice to lead the FBI.,SenToomey,Pat Toomey,Pennsylvania,Republican
2,Thu May 18 14:28:14 +0000 2017,8.65212E+17,8,5,"Kris and I extend our deepest condolences to Deputy Clymer, his family, and the entire Bucks County Sheriff’s office https://t.co/2YyCkfbCLZ",SenToomey,Pat Toomey,Pennsylvania,Republican
3,Thu May 18 11:46:14 +0000 2017,8.65172E+17,77,11,I will be on @BloombergTV in a few minutes discussing how we can achieve real tax reform. Watch #Daybreak LIVE on… https://t.co/k1KmzOUEKz,SenToomey,Pat Toomey,Pennsylvania,Republican
4,Thu May 18 01:24:24 +0000 2017,8.65015E+17,162,28,"Read my statement on the appointment of Robert Mueller to #SpecialCounsel:
https://t.co/j8xfOgHjvE https://t.co/czjfnAkSVp",SenToomey,Pat Toomey,Pennsylvania,Republican
5,Thu May 18 01:00:01 +0000 2017,8.65009E+17,26,16,"As we honor #PoliceWeek, thank you to the men and women of law enforcement who keep our cities and streets safe. 
https://t.co/sSKFPQilVO",SenToomey,Pat Toomey,Pennsylvania,Republican
6,Tue May 16 21:16:47 +0000 2017,8.6459E+17,7,7,"@maziehirono Wishing my colleague, @maziehirono, all the best as she wins her fight against kidney cancer.",SenToomey,Pat Toomey,Pennsylvania,Republican
7,Tue May 16 21:00:51 +0000 2017,8.64586E+17,416,63,Read my statement on reports regarding the president’s handling of classified information: https://t.co/BrlkPvbE7I https://t.co/W3P80E7H8A,SenToomey,Pat Toomey,Pennsylvania,Republican
8,Mon May 15 19:30:01 +0000 2017,8.64201E+17,151,7,"As we honor #PoliceWeek, I was happy @POTUS reiterated need for police to have equipment they need to keep us safe: https://t.co/mxBmnScyD5",SenToomey,Pat Toomey,Pennsylvania,Republican
9,Mon May 15 16:45:47 +0000 2017,8.6416E+17,13,9,"Thoughts are w/ kids, parents, &amp; teachers of Philly's C.W. Henry School. Thx to 1st responders like @phillypolice. https://t.co/SSLSmuQv52",SenToomey,Pat Toomey,Pennsylvania,Republican
10,Sun May 14 23:55:07 +0000 2017,8.63906E+17,134,6,I hope all the moms out there are having a great #MothersDay!,SenToomey,Pat Toomey,Pennsylvania,Republican
11,Thu May 11 18:53:21 +0000 2017,8.62742E+17,101,6,Every day public safety officers put themselves in harm's way. This week I re-introduced 3 bills to support them: https://t.co/I9ncvL2uEi,SenToomey,Pat Toomey,Pennsylvania,Republican
12,Wed May 10 19:42:21 +0000 2017,8.62392E+17,489,18,My statement on #ComeyFiring: https://t.co/9A6OLgw9nh,SenToomey,Pat Toomey,Pennsylvania,Republican
13,Wed May 10 13:00:02 +0000 2017,8.62291E+17,125,5,"I enjoyed meeting with PA's two @PruSpirit honorees: Lorelei McIntyre-Brewer &amp; Amanda Yang, keep up the great work!… https://t.co/Y5DBQr6AFg",SenToomey,Pat Toomey,Pennsylvania,Republican
14,Tue May 09 21:48:50 +0000 2017,8.62062E+17,86,3,Congrats to new @US_FDA Commissioner @ScottGottliebMD. We recently met to discuss how innovation can help #EndAlz. https://t.co/GD5QcdHEAg,SenToomey,Pat Toomey,Pennsylvania,Republican
15,Tue May 09 13:18:04 +0000 2017,8.61933E+17,51,4,@SenBobCasey &amp; I authored the Saracini Aviation Safety Act to protect passengers &amp; pilots from terrorists. Read more https://t.co/dC1MS9aXcu,SenToomey,Pat Toomey,Pennsylvania,Republican
16,Fri May 05 14:55:35 +0000 2017,8.60508E+17,137,9,"#OTDIH in 1864: PA's own Elizabeth Cochran, AKA Nellie Bly, was born. She was a pioneer in the field of investigative journalism #PaFacts",SenToomey,Pat Toomey,Pennsylvania,Republican
17,Thu May 04 20:33:14 +0000 2017,8.60231E+17,148,10,Read my statement on the $1.07 trillion omnibus spending package: https://t.co/DZTCJs5XJs,SenToomey,Pat Toomey,Pennsylvania,Republican
18,Thu May 04 20:21:04 +0000 2017,8.60228E+17,60,7,Thank you @resp_solutions advocates for inviting me to speak about common sense gun legislation to make our communi… https://t.co/DVPJSYmjW8,SenToomey,Pat Toomey,Pennsylvania,Republican
19,Thu May 04 16:17:04 +0000 2017,8.60166E+17,80,16,"My @BV op-ed on how we can enact dramatic, pro-growth tax reform: https://t.co/GTuapI3YZf",SenToomey,Pat Toomey,Pennsylvania,Republican
20,Thu May 04 12:50:32 +0000 2017,8.60114E+17,64,5,"During #CharterSchoolsWeek, it's fitting that D.C. host those who've led the fight for school choice, like Philly’s own @SenTonyWilliams.",SenToomey,Pat Toomey,Pennsylvania,Republican
21,Tue May 02 22:08:30 +0000 2017,8.5953E+17,55,9,Happy to see House act to give working women in the private sector same job flexibility as govt workers. Learn more: https://t.co/TSqmVDUw5o,SenToomey,Pat Toomey,Pennsylvania,Republican
22,Tue May 02 21:40:32 +0000 2017,8.59523E+17,29,8,Honored to be in #KOP w/police officers from across PA &amp; USA to thank them for their great work. https://t.co/f5W9uOjISj,SenToomey,Pat Toomey,Pennsylvania,Republican
23,Fri Apr 28 15:11:27 +0000 2017,8.57976E+17,45,5,Good luck to the kids from PGH’s N. Allegheny Intermediate HS &amp; Winchester Thurston School as they compete in the #NatSciBowl. @DOE_SC_NSB,SenToomey,Pat Toomey,Pennsylvania,Republican
24,Thu Apr 27 22:35:03 +0000 2017,8.57725E+17,57,16,Creation of VA Accountability Office is a great step in the ongoing effort for our #veterans to get the services &amp; help they earned.,SenToomey,Pat Toomey,Pennsylvania,Republican
25,Wed Apr 26 21:56:36 +0000 2017,8.57353E+17,77,7,ICYMI: I was on @SquawkCNBC this morning sharing my expectations for the type of plan we need for economic recovery: https://t.co/jTJTMv7kwV,SenToomey,Pat Toomey,Pennsylvania,Republican
26,Wed Apr 26 20:06:08 +0000 2017,8.57325E+17,69,6,Thanks to the members of Tuesdays w/ Toomey and Keystone Progress for taking the time to meet with me yesterday. https://t.co/GQgCvkLckc,SenToomey,Pat Toomey,Pennsylvania,Republican
27,Wed Apr 26 19:02:35 +0000 2017,8.57309E+17,243,11,"This plan will promote economic growth, create jobs, and raise wages. My statement on @POTUS #tax proposal: https://t.co/tWSEpii2Hq",SenToomey,Pat Toomey,Pennsylvania,Republican
28,Wed Apr 26 11:06:37 +0000 2017,8.57189E+17,78,2,"I’ll be on with @SquawkCNBC in a few mins from the Russell rotunda covering tax reform, health care and the first 1… https://t.co/HZlD7MlUbL",SenToomey,Pat Toomey,Pennsylvania,Republican
29,Tue Apr 25 18:20:18 +0000 2017,8.56936E+17,81,3,Yesterday I sat down with @6abc in Philadelphia to provide my take on the first 100 days. Watch below: https://t.co/XtjKCC3ztQ,SenToomey,Pat Toomey,Pennsylvania,Republican
30,Tue Apr 25 15:50:29 +0000 2017,8.56898E+17,41,7,"Congrats to @USDA @SecretarySonny He will support PA farming, like our NEPA dairy farms, mushroom farms in Chester… https://t.co/2fmZjChnXF",SenToomey,Pat Toomey,Pennsylvania,Republican
31,Tue Apr 25 02:31:35 +0000 2017,8.56697E+17,230,16,I look forward to @POTUS @realDonaldTrump tax proposal. Agree that real reform doesn’t need to be revenue neutral.,SenToomey,Pat Toomey,Pennsylvania,Republican
32,Mon Apr 24 00:35:19 +0000 2017,8.56306E+17,59,32,"As Yom HaShoah begins tonight, we remember the 6 million Jews who perished in the Holocaust. #NeverForget https://t.co/MbeOBWdMaX",SenToomey,Pat Toomey,Pennsylvania,Republican
33,Thu Apr 20 11:00:09 +0000 2017,8.55013E+17,116,6,"I’ll be in studio with @SquawkCNBC at 7 a.m. to discuss tax reform, deregulation, and news of the day. Hope you can… https://t.co/dFkYFxQHt7",SenToomey,Pat Toomey,Pennsylvania,Republican
34,Tue Apr 18 21:24:30 +0000 2017,8.54446E+17,54,3,10/Only 6 more days till #TaxFreedomDay when you've worked enough to pay your taxes: https://t.co/39KWPL6XLs via @taxfoundation,SenToomey,Pat Toomey,Pennsylvania,Republican
35,Tue Apr 18 21:23:57 +0000 2017,8.54445E+17,26,3,"9/According to @TaxFoundation, the US has the 5th LEAST competitive #tax code among advanced economies: https://t.co/QkxDRHzaId",SenToomey,Pat Toomey,Pennsylvania,Republican
36,Tue Apr 18 21:23:20 +0000 2017,8.54445E+17,29,4,"8/In 1913 standard deduction for family was $98k (in today's dollars). Now, it's $12,600: https://t.co/72DRh1psAD via @taxreformer",SenToomey,Pat Toomey,Pennsylvania,Republican
37,Tue Apr 18 21:22:44 +0000 2017,8.54445E+17,20,3,"7/Avg. PA homeowner owes ~$13,200 in federal, state &amp; local taxes (2015 data): https://t.co/MxUbU0lpZi via @NerdWallet",SenToomey,Pat Toomey,Pennsylvania,Republican
38,Tue Apr 18 21:22:20 +0000 2017,8.54445E+17,14,5,6/Tax code compliance takes $409B from the economy: https://t.co/ejbH4UnD5b from @taxfoundation,SenToomey,Pat Toomey,Pennsylvania,Republican
39,Tue Apr 18 21:21:49 +0000 2017,8.54445E+17,21,2,5/An avg. taxpayer spends ~13 hours completing their #taxes: https://t.co/pxgIY3Q1qG from @NTU,SenToomey,Pat Toomey,Pennsylvania,Republican
40,Tue Apr 18 21:21:25 +0000 2017,8.54445E+17,11,5,"4/Total size of tax code, including statutory language, regulations &amp; case law interpretations is 70,000 pages: https://t.co/j98j6iFYMl",SenToomey,Pat Toomey,Pennsylvania,Republican
41,Tue Apr 18 21:20:55 +0000 2017,8.54445E+17,40,15,"3/Americans will collectively spend more on taxes in 2017 than on food, clothing &amp; housing combined: https://t.co/6PF3lTYB6a @taxfoundation",SenToomey,Pat Toomey,Pennsylvania,Republican
42,Tue Apr 18 21:20:04 +0000 2017,8.54444E+17,17,3,2/Americans' total #tax bill of $5.1 TRILLION = 31% of nation’s income: https://t.co/6PF3lTYB6a via @taxfoundation,SenToomey,Pat Toomey,Pennsylvania,Republican
43,Tue Apr 18 21:18:58 +0000 2017,8.54444E+17,51,6,1/Americans will pay $3.5 TRILLION in federal &amp; $1.6 TRILLION in state/local #taxes https://t.co/6PF3lTYB6a via @taxfoundation,SenToomey,Pat Toomey,Pennsylvania,Republican
44,Tue Apr 18 21:18:24 +0000 2017,8.54444E+17,87,4,"On #TaxDay, here are 10 reminders why we need to reform our tax system.",SenToomey,Pat Toomey,Pennsylvania,Republican
45,Mon Apr 17 15:48:34 +0000 2017,8.53999E+17,56,12,Thank you @AmRevMuseum for a great history lesson. https://t.co/Y0abTig6Ee,SenToomey,Pat Toomey,Pennsylvania,Republican
46,Sun Apr 16 12:57:40 +0000 2017,8.53593E+17,50,9,A very happy and blessed Easter to everyone celebrating.,SenToomey,Pat Toomey,Pennsylvania,Republican
47,Fri Apr 14 13:49:19 +0000 2017,8.52881E+17,50,29,Happy #Vaisakhi to all our Sikh friends across Pennsylvania and the country! https://t.co/qynIFROyIa,SenToomey,Pat Toomey,Pennsylvania,Republican
48,Thu Apr 13 19:58:47 +0000 2017,8.52612E+17,88,72,Russia needs to stop horrendous #humanrights violations and “honor killings” against gay men in #Chechnya: https://t.co/3XufYK6XCx,SenToomey,Pat Toomey,Pennsylvania,Republican
49,Thu Apr 13 14:55:52 +0000 2017,8.52536E+17,43,6,"Great to be in Erie yesterday visiting @LORDCorporation, which provides good jobs to hundreds &amp; plays a critical ro… https://t.co/CiAQPXPCaZ",SenToomey,Pat Toomey,Pennsylvania,Republican
50,Wed Apr 12 20:06:29 +0000 2017,8.52252E+17,54,7,It was an honor to recognize and thank Vietnam veterans for their service at the Wilkes-Barre VA Medical Center yes… https://t.co/4duUmTmi8Z,SenToomey,Pat Toomey,Pennsylvania,Republican
51,Tue Apr 11 18:55:08 +0000 2017,8.51871E+17,35,19,"In 2015, Senate passed my legislation to keep pedophiles out of schools. Tonight @ABC @Nightline airs ongoing fight: https://t.co/kyPOCJmxfa",SenToomey,Pat Toomey,Pennsylvania,Republican
52,Tue Apr 11 14:48:36 +0000 2017,8.51809E+17,59,5,On with Sue Henry @WILKNewsradio discussing issues of the day &amp; taking your questions: https://t.co/gJeVmCL8YG https://t.co/08hPwEQn17,SenToomey,Pat Toomey,Pennsylvania,Republican
53,Mon Apr 10 22:40:48 +0000 2017,8.51566E+17,25,5,"To everyone celebrating, I wish you all a joyous Passover. Chag Sameach!",SenToomey,Pat Toomey,Pennsylvania,Republican
54,Mon Apr 10 20:08:13 +0000 2017,8.51527E+17,130,13,My sympathies go out to those affected by the tragedy in San Bernardino today. No parent should fear for their child's safety at school.,SenToomey,Pat Toomey,Pennsylvania,Republican
55,Mon Apr 10 14:08:32 +0000 2017,8.51437E+17,34,5,Thank you @pdsacemail for sharing issues that are important to the PA #Downsyndrome community. https://t.co/527mQ1nPZQ,SenToomey,Pat Toomey,Pennsylvania,Republican
56,Fri Apr 07 21:28:43 +0000 2017,8.5046E+17,82,7,My statement on U.S. action against #SyriaAttacks: https://t.co/TiTo4m5PHe,SenToomey,Pat Toomey,Pennsylvania,Republican
57,Fri Apr 07 20:27:18 +0000 2017,8.50445E+17,275,18,I was proud to join a bipartisan majority of my colleagues in confirming #JusticeGorsuch today: https://t.co/Lykydve8RQ,SenToomey,Pat Toomey,Pennsylvania,Republican
58,Fri Apr 07 00:56:19 +0000 2017,8.5015E+17,169,9,Thanks to everyone who joined my tele town hall tonight! https://t.co/BRUHW7ESvP,SenToomey,Pat Toomey,Pennsylvania,Republican
59,Thu Apr 06 19:07:04 +0000 2017,8.50062E+17,160,16,I will be hosting a Tele-Town Hall tonight @ 5:00 PM. You can listen live &amp; submit questions through thislive link: https://t.co/W6zAZr6jrV.,SenToomey,Pat Toomey,Pennsylvania,Republican
60,Thu Apr 06 18:18:05 +0000 2017,8.5005E+17,325,11,"10/ If Democrats won't allow Judge Gorusch a vote, they won’t allow anyone a vote. #ConfirmGorsuch",SenToomey,Pat Toomey,Pennsylvania,Republican
61,Thu Apr 06 18:16:45 +0000 2017,8.5005E+17,145,17,"9/ Even Justice Clarence Thomas, who was confirmed 52-48, a razor thin margin, was not filibustered on the Senate floor.",SenToomey,Pat Toomey,Pennsylvania,Republican
62,Thu Apr 06 18:15:35 +0000 2017,8.50049E+17,67,12,8/ I agree w/@marcthiessen who wrote in @WashingtonPost “the idea that Gorsuch should be the first [filibustered] is patently absurd.”,SenToomey,Pat Toomey,Pennsylvania,Republican
63,Thu Apr 06 18:14:11 +0000 2017,8.50049E+17,63,12,7/ @PittsburghPG is right: “Democrats… should accept reality… they’d end up losing a battle to kill his nomination.”,SenToomey,Pat Toomey,Pennsylvania,Republican
64,Thu Apr 06 18:12:50 +0000 2017,8.50049E+17,74,10,6/ @NYTimes reports “There has never been a successful partisan filibuster of a Supreme Court nominee.” Dems wrong to start now.,SenToomey,Pat Toomey,Pennsylvania,Republican
65,Thu Apr 06 18:11:17 +0000 2017,8.50048E+17,48,15,"5/ While @SenSanders falsely claims there is a 60-vote standard, @GlennKesslerWP awards #ThreePinocchios: https://t.co/UIWWOKhQd8",SenToomey,Pat Toomey,Pennsylvania,Republican
66,Thu Apr 06 18:09:13 +0000 2017,8.50048E+17,164,12,"4 /In a historically unprecedented move, many of my Democratic colleagues have decided to filibuster Judge Gorsuch’s confirmation.",SenToomey,Pat Toomey,Pennsylvania,Republican
67,Thu Apr 06 18:07:48 +0000 2017,8.50047E+17,158,14,"3/ Judge Gorsuch has the intellect, experience, &amp; broad support across party lines. He will apply the rule of law fairly and equally.",SenToomey,Pat Toomey,Pennsylvania,Republican
68,Thu Apr 06 18:06:29 +0000 2017,8.50047E+17,125,17,"2/ No equivalence to Garland nom. In 2016 election cycle, Rs abided by Schumer Rule: let voters decide. https://t.co/R1W49Y9vvG",SenToomey,Pat Toomey,Pennsylvania,Republican
69,Thu Apr 06 18:05:12 +0000 2017,8.50047E+17,283,9,1/ Here’s my take on the Dem Minority breaking 200+ years of precedent.,SenToomey,Pat Toomey,Pennsylvania,Republican
70,Thu Apr 06 12:09:16 +0000 2017,8.49957E+17,76,3,Always great to join RJ Harris. Talking with him at 8:09 on Judge Gorsuch &amp; other issues: Tune in here: https://t.co/3xm3EV0BQ3,SenToomey,Pat Toomey,Pennsylvania,Republican
71,Wed Apr 05 21:39:18 +0000 2017,8.49738E+17,185,45,"Will host a tele-town hall tomorrow at 5 PM, barring unforeseen Senate business. Full details will be provided tmrw afternoon on my FB page",SenToomey,Pat Toomey,Pennsylvania,Republican
72,Wed Apr 05 18:17:15 +0000 2017,8.49687E+17,115,4,"Spoke with @DomShow1210 @TalkRadio1210 on why we need to #ConfirmGorsuch, sanctuary cities &amp; future of healthcare: https://t.co/vo5r6aVKJl",SenToomey,Pat Toomey,Pennsylvania,Republican
73,Wed Apr 05 14:22:25 +0000 2017,8.49628E+17,68,4,Joining @DomShow1210 this morning at 11:00 AM to discuss health care and Judge Gorsuch. You can listen here: https://t.co/C7HS7WQuyY.,SenToomey,Pat Toomey,Pennsylvania,Republican
74,Wed Apr 05 11:12:55 +0000 2017,8.49581E+17,98,5,Joining @SquawkCNBC in a few minutes to discuss financial reform. https://t.co/hCe9UJRsAI,SenToomey,Pat Toomey,Pennsylvania,Republican
