,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 14:09:43 +0000 2017,8.65933E+17,21,76,"Proud to partner with @RandPaul to advance smarter crime policy and move our country forward. #SentencingReform

https://t.co/IczMkLzZa1",SenatorLeahy,Patrick Leahy,Vermont,Democratic
1,Fri May 19 19:10:15 +0000 2017,8.65646E+17,449,6951,"This is what OBSTRUCTION looks like: “I faced great pressure because of Russia. That’s taken off.” 

https://t.co/8ktKsQ03Uf",SenatorLeahy,Patrick Leahy,Vermont,Democratic
2,Fri May 19 16:19:03 +0000 2017,8.65603E+17,4,32,"Proud to join my wife Marcelle, a #melanoma survivor, in recognizing Skin Cancer Awareness Month &amp; fighting to prevent and fight #skincancer",SenatorLeahy,Patrick Leahy,Vermont,Democratic
3,Fri May 19 16:17:33 +0000 2017,8.65602E+17,1,18,"Proud to recognize Skin Cancer Awareness Month. Let’s all take steps to reduce #MostCommonCancer, which affects 1 in 5 Americans.",SenatorLeahy,Patrick Leahy,Vermont,Democratic
4,Fri May 19 15:54:07 +0000 2017,8.65596E+17,0,16,Join Marcelle and me in wearing sunscreen every day to #protectyourskin against #skincancer,SenatorLeahy,Patrick Leahy,Vermont,Democratic
5,Fri May 19 15:30:46 +0000 2017,8.65591E+17,0,16,"Skin cancer is #MostCommonCancer, with more cases found each year than breast, prostate, lung, and colon cancers combined.",SenatorLeahy,Patrick Leahy,Vermont,Democratic
6,Fri May 19 13:49:57 +0000 2017,8.65565E+17,1,36,Comm. Clyburn on #NetNeutrality TRAVESTY: “endgame appears to be...the wholesale destruction of FCC’s public interest auth. in the 21st C.”,SenatorLeahy,Patrick Leahy,Vermont,Democratic
7,Thu May 18 21:35:22 +0000 2017,8.6532E+17,4,82,Leahy Leads Letter To Trump Organization Asking Answers On President’s Compliance With Constitution. #Emoluments https://t.co/xwSXHRPqqH,SenatorLeahy,Patrick Leahy,Vermont,Democratic
8,Thu May 18 21:34:07 +0000 2017,8.6532E+17,3,76,"+ stop pushing anti-science know-nothing-ism, undermining US science, med and tech leadership &amp; the better lives th… https://t.co/ahf8fSdPhs",SenatorLeahy,Patrick Leahy,Vermont,Democratic
9,Thu May 18 21:14:10 +0000 2017,8.65315E+17,0,11,Reaction Of Senator Patrick Leahy After His Latest Meeting Today With Colombian President Juan Manuel Santos… https://t.co/VsQDBGetW9,SenatorLeahy,Patrick Leahy,Vermont,Democratic
10,Thu May 18 20:55:46 +0000 2017,8.6531E+17,5,12,"The Leahy/@SenatorCollins Firearm Straw Purchasing/Trafficking Bill Takes Aim At Vicious #Opioid/Illegal Guns Cycle

https://t.co/LJL9L4zHAa",SenatorLeahy,Patrick Leahy,Vermont,Democratic
11,Thu May 18 20:41:00 +0000 2017,8.65306E+17,2,15,Leahy And @SenatorCollins Reintroduce Bipartisan Legislation To Combat Illegal Straw Purchasing And Firearms Traffi… https://t.co/bAKN75TaSJ,SenatorLeahy,Patrick Leahy,Vermont,Democratic
12,Thu May 18 18:53:20 +0000 2017,8.65279E+17,3,30,Leahy REAX On The Attacks In Front Of The Turkish Embassy https://t.co/v4KyNztWGS https://t.co/jpp0OHBGW0,SenatorLeahy,Patrick Leahy,Vermont,Democratic
13,Thu May 18 18:31:30 +0000 2017,8.65274E+17,13,141,"Framers included Emoluments Clause for a reason—a president should not have divided loyalties. No one, and no president, is above the law.",SenatorLeahy,Patrick Leahy,Vermont,Democratic
14,Thu May 18 18:31:21 +0000 2017,8.65274E+17,5,82,"If @POTUS is continuing to enrich himself while in office, the public has a right to know.  https://t.co/CpyTxRISjF",SenatorLeahy,Patrick Leahy,Vermont,Democratic
15,Thu May 18 18:30:28 +0000 2017,8.65273E+17,141,1360,.@POTUS must comply w/ Constitution’s Emolument Clauses. American ppl deserve gov't free from conflicts of interest… https://t.co/yq5xwM7S8O,SenatorLeahy,Patrick Leahy,Vermont,Democratic
16,Thu May 18 17:34:16 +0000 2017,8.65259E+17,9,34,Leahy Leads Letter To Trump Organization Requesting Answers On President’s Compliance With Constitution… https://t.co/oUfMgo63DJ,SenatorLeahy,Patrick Leahy,Vermont,Democratic
17,Thu May 18 15:49:08 +0000 2017,8.65233E+17,1,7,On #ArtMuseumDay you can see what your local museum is doing here: https://t.co/PQOPL1eXqv @ShelburneMuseum has reduced admission.,SenatorLeahy,Patrick Leahy,Vermont,Democratic
18,Thu May 18 15:48:48 +0000 2017,8.65233E+17,0,7,Thanks to @repjohnlewis for introducing this bill in the House,SenatorLeahy,Patrick Leahy,Vermont,Democratic
19,Thu May 18 15:48:31 +0000 2017,8.65233E+17,1,5,"This act, endorsed by @VTArtsCouncil &amp; @Shelburne Museum, will preserve our cultural heritage and esp. in rural areas.",SenatorLeahy,Patrick Leahy,Vermont,Democratic
20,Thu May 18 15:48:11 +0000 2017,8.65233E+17,0,20,Great news on #ArtMuseumDay! The Artist-Museum Partnership Act I just introduced would allow tax deductions for artist donations.,SenatorLeahy,Patrick Leahy,Vermont,Democratic
