,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 14:28:01 +0000 2017,8.663E+17,9,25,Returning the Ancient One to his tribal home shows Congress can work together to do what’s right. https://t.co/Rak3HpJtJ5,PattyMurray,Patty Murray,Washington,Democratic
1,Sat May 20 22:22:00 +0000 2017,8.66056E+17,31,69,Millions of workers have to choose between caring for a loved one &amp; a paycheck. Trump's plan falls short àhttps://t.co/Xr5LmUT6NR,PattyMurray,Patty Murray,Washington,Democratic
2,Sat May 20 17:00:03 +0000 2017,8.65975E+17,4,20,Proud to work w/ @RepNewhouse to help resolve dispute over the Ancient One &amp; right a wrong for Columbia Basin tribes https://t.co/Rak3HpJtJ5,PattyMurray,Patty Murray,Washington,Democratic
3,Sat May 20 14:00:02 +0000 2017,8.6593E+17,35,87,Trump's unfunded patchwork paid family leave proposal doesn’t offer real solutions to millions of families. https://t.co/L8t2UhmpEP,PattyMurray,Patty Murray,Washington,Democratic
4,Fri May 19 21:18:49 +0000 2017,8.65678E+17,7,18,"This is a serious economic challenge for families &amp; if Trump truly wanted to help, he would understand that window-dressing won’t fix it.",PattyMurray,Patty Murray,Washington,Democratic
5,Fri May 19 21:18:14 +0000 2017,8.65678E+17,7,18,"An unfunded patchwork proposal, like President Trump’s proposed plan we’re hearing about, doesn’t offer them any real solution.",PattyMurray,Patty Murray,Washington,Democratic
6,Fri May 19 21:16:17 +0000 2017,8.65678E+17,34,115,It’s just wrong that workers in our country are still forced to choose between caring for a loved one and earning a… https://t.co/UVxBMc9kLY,PattyMurray,Patty Murray,Washington,Democratic
7,Fri May 19 15:26:55 +0000 2017,8.6559E+17,42,157,Trump has made it clear he is not on the side of the overwhelming majority of students who attend public schools. https://t.co/mTHjCTMSHI,PattyMurray,Patty Murray,Washington,Democratic
8,Thu May 18 18:24:46 +0000 2017,8.65272E+17,4,26,".@Guttmacher on why @PPFA centers, as well as #TitleX providers, are essential to our family planning safety net. https://t.co/n26dkYj85a",PattyMurray,Patty Murray,Washington,Democratic
9,Wed May 17 22:50:08 +0000 2017,8.64976E+17,34,89,"Mr. Mueller should be given the resources he needs to lead a thorough, independent examination of President Trump &amp; his Administration.",PattyMurray,Patty Murray,Washington,Democratic
10,Wed May 17 22:49:18 +0000 2017,8.64976E+17,88,217,This is a positive step toward holding President Trump accountable &amp; making sure the American public is getting the… https://t.co/iY5tq8kAap,PattyMurray,Patty Murray,Washington,Democratic
11,Wed May 17 21:03:29 +0000 2017,8.6495E+17,21,193,.@realDonaldTrump's @FCC is set on putting broadband profits ahead of consumers and ending #NetNeutrality. https://t.co/qzWDOTsutF,PattyMurray,Patty Murray,Washington,Democratic
12,Wed May 17 20:09:00 +0000 2017,8.64936E+17,24,60,Trumpcare would take coverage away from tens of millions of people and end Medicaid as we know it. https://t.co/3O3WPFDGvs,PattyMurray,Patty Murray,Washington,Democratic
13,Wed May 17 19:38:11 +0000 2017,8.64928E+17,17,49,"When GOP takes away access to critical health care services at @PPFA, communities pay the price—via @Guttmacher: https://t.co/n26dkYj85a",PattyMurray,Patty Murray,Washington,Democratic
14,Wed May 17 19:01:00 +0000 2017,8.64919E+17,64,47,"More than ever, we must send a clear message to the LGBTQ community—we stand ready to reject all forms of discrimination &amp; hate. #IDAHOT2017",PattyMurray,Patty Murray,Washington,Democratic
15,Wed May 17 18:40:01 +0000 2017,8.64913E+17,33,187,Cuts to Medicaid in #Trumpcare would make it harder for schools to cover special education needs. https://t.co/a91cwscXTb,PattyMurray,Patty Murray,Washington,Democratic
16,Wed May 17 18:11:11 +0000 2017,8.64906E+17,20,258,"Tomorrow, President Trump’s @FCC will vote on dismantling #NetNeutrality and the free &amp; open internet as we know it… https://t.co/aXw9uuBPLd",PattyMurray,Patty Murray,Washington,Democratic
17,Wed May 17 16:48:46 +0000 2017,8.64885E+17,24,81,"Trumpcare would allow states to gut health benefits like maternity care, newborn care, &amp; mental health services. https://t.co/TXHp3drHry",PattyMurray,Patty Murray,Washington,Democratic
18,Tue May 16 22:01:45 +0000 2017,8.64602E+17,89,213,"It’s long past time for everyone to put politics aside, do what’s right for our democracy, and demand answers. https://t.co/JNgyaS8Ekk",PattyMurray,Patty Murray,Washington,Democratic
19,Tue May 16 20:46:03 +0000 2017,8.64583E+17,5,44,"I’ve never seen you quit, especially when times get tough. Sending you love and support in the fight ahead. -PM https://t.co/QCT2eoK4UH",PattyMurray,Patty Murray,Washington,Democratic
20,Tue May 16 16:48:09 +0000 2017,8.64523E+17,74,135,The Trump Administration is creating confusion &amp; chaos—and the American people just want the truth. https://t.co/xJII8Ztgj7,PattyMurray,Patty Murray,Washington,Democratic
21,Tue May 16 01:30:02 +0000 2017,8.64292E+17,12,43,"Ana, a Senate worker &amp; a DREAMer, works for the politicians who could decide her fate &amp; her family's in the U.S. →  https://t.co/EVRXo3awqR",PattyMurray,Patty Murray,Washington,Democratic
22,Mon May 15 23:31:03 +0000 2017,8.64262E+17,176,634,"Every day &amp; every new piece of information we learn, it’s clear we can’t trust President Trump to be independent in Russian investigation.",PattyMurray,Patty Murray,Washington,Democratic
23,Mon May 15 23:17:00 +0000 2017,8.64258E+17,8,16,Great editorial from @TriCityHerald → incident at #Hanford is timely reminder of our duty to clean up toxic waste https://t.co/isHBu4LvPs,PattyMurray,Patty Murray,Washington,Democratic
24,Mon May 15 23:15:44 +0000 2017,8.64258E+17,205,343,"If these reports are true, this was a dangerous and reckless thing for President Trump to do. https://t.co/9DR3z8iaZr",PattyMurray,Patty Murray,Washington,Democratic
25,Mon May 15 21:47:52 +0000 2017,8.64236E+17,20,45,.@SenateGOP seem to be following House Republican playbook on #Trumpcare in order to limit public debate &amp; scrutiny: https://t.co/eePPCWlkxZ,PattyMurray,Patty Murray,Washington,Democratic
26,Mon May 15 19:38:44 +0000 2017,8.64203E+17,17,78,"This move makes Trump’s blatantly false statement about concern for women’s health, issued just a day ago, even more insulting &amp; ridiculous.",PattyMurray,Patty Murray,Washington,Democratic
27,Mon May 15 19:38:16 +0000 2017,8.64203E+17,38,225,"Expanded #globalgag announced by Trump Admin undermines global health efforts, reproductive freedom, economic security of women worldwide.",PattyMurray,Patty Murray,Washington,Democratic
28,Mon May 15 18:51:52 +0000 2017,8.64192E+17,11,55,"Closing the VA clinic in Tonasket would be a step backward in fulfilling our promise to our state’s 600,000 veterans https://t.co/HA1KCLcMdo",PattyMurray,Patty Murray,Washington,Democratic
29,Mon May 15 14:43:18 +0000 2017,8.64129E+17,24,54,"By defunding @PPFA, Trumpcare would increase Medicaid births, while making huge cuts to Medicaid funding. https://t.co/TXHp3drHry",PattyMurray,Patty Murray,Washington,Democratic
30,Sun May 14 14:13:12 +0000 2017,8.63759E+17,24,67,Happy Mother's day to every mom! Today I am reminded of the values my Mom taught me—respect &amp; dignity for all. -PM,PattyMurray,Patty Murray,Washington,Democratic
31,Fri May 12 20:56:01 +0000 2017,8.63136E+17,25,87,"Now is not the time to go backwards. Rehabilitation, not incarceration, is the most effective treatment for addiction &amp; should be our focus.",PattyMurray,Patty Murray,Washington,Democratic
32,Fri May 12 20:54:25 +0000 2017,8.63135E+17,29,69,Sessions' move would roll back progress &amp; negatively impact ppl of color &amp; communities disproportionately overrepresented in justice system.,PattyMurray,Patty Murray,Washington,Democratic
33,Fri May 12 20:50:25 +0000 2017,8.63134E+17,97,296,New directive from DOJ mandating harsher sentences for non-violent drug offenders only confirms our deepest fears a… https://t.co/QnBLepUnZL,PattyMurray,Patty Murray,Washington,Democratic
34,Fri May 12 17:34:25 +0000 2017,8.63085E+17,21,93,"Trump’s @EPA can't ignore a 2014 warning: mining this area could be catastrophic to fishing, tribes &amp; environment: https://t.co/vQvGy6KdeM",PattyMurray,Patty Murray,Washington,Democratic
35,Fri May 12 15:48:22 +0000 2017,8.63058E+17,11,47,President Trump's proposed budget cuts could impact the Violence Against Women Act → https://t.co/5k3lcCObfW #VAWA,PattyMurray,Patty Murray,Washington,Democratic
36,Fri May 12 00:19:02 +0000 2017,8.62824E+17,130,480,I'll keep saying it: we need a special prosecutor and a truly independent investigation. Now more than ever. -PM https://t.co/7RPUztmmPe,PattyMurray,Patty Murray,Washington,Democratic
37,Thu May 11 22:19:23 +0000 2017,8.62794E+17,12,26,"""What's at stake for domestic violence survivors under Trump?"" 
https://t.co/5k3lcCObfW via @seattlepi",PattyMurray,Patty Murray,Washington,Democratic
38,Thu May 11 19:41:01 +0000 2017,8.62754E+17,20,27,".@SenateDems Women are paying attention &amp; prepared to hold Republicans accountable if they choose to stay on this partisan, Trumpcare path.",PattyMurray,Patty Murray,Washington,Democratic
39,Thu May 11 19:23:50 +0000 2017,8.6275E+17,18,93,".@SenateDems Ahead of Mother’s Day, Senate Democrats have a very clear message: We are going to stand with mothers… https://t.co/fLs0QWBlkE",PattyMurray,Patty Murray,Washington,Democratic
40,Thu May 11 19:19:51 +0000 2017,8.62749E+17,28,99,".@SenateDems Just about every way you look at it, Trumpcare would make health care dramatically more expensive for… https://t.co/h7uvLZ6gMv",PattyMurray,Patty Murray,Washington,Democratic
41,Thu May 11 19:17:07 +0000 2017,8.62748E+17,13,25,".@SenateDems Trumpcare would allow states to gut essential health benefits like maternity care, newborn care, presc… https://t.co/I3ERGxqvnG",PattyMurray,Patty Murray,Washington,Democratic
42,Thu May 11 19:13:48 +0000 2017,8.62748E+17,65,141,.@SenateDems Trumpcare would practically make being a woman a pre-existing condition—a routine pregnancy could be t… https://t.co/XbtMjmVQhV,PattyMurray,Patty Murray,Washington,Democratic
43,Thu May 11 19:07:26 +0000 2017,8.62746E+17,26,102,".@SenateDems We’re here because once again, President Trump &amp; Republicans have decided to pander to their extreme b… https://t.co/qN8k8ByhK0",PattyMurray,Patty Murray,Washington,Democratic
44,Thu May 11 19:06:23 +0000 2017,8.62746E+17,11,42,.@SenateDems Thank you to my colleagues for being here today—all incredible champions for women everywhere. -PM https://t.co/DZDlqoDJBw,PattyMurray,Patty Murray,Washington,Democratic
45,Thu May 11 18:54:24 +0000 2017,8.62743E+17,16,92,"WATCH at 3pm: Ahead of Mother's Day, @SenateDems outline Trumpcare's impact on moms &amp; children →  https://t.co/8RkM4h61qY",PattyMurray,Patty Murray,Washington,Democratic
46,Wed May 10 21:08:32 +0000 2017,8.62414E+17,48,108,"President Trump should not, he cannot, bully his way out of an investigation, especially not when so much is at stake.",PattyMurray,Patty Murray,Washington,Democratic
47,Wed May 10 21:06:28 +0000 2017,8.62414E+17,22,123,"No member of Congress, no matter political affiliation, should stand in the way of a thorough investigation. Neither should the President.",PattyMurray,Patty Murray,Washington,Democratic
48,Wed May 10 21:04:24 +0000 2017,8.62413E+17,23,114,It’s time for a special prosecutor who can run an independent investigation far from the reach of President Trump &amp; finally get answers.,PattyMurray,Patty Murray,Washington,Democratic
49,Wed May 10 21:02:03 +0000 2017,8.62412E+17,26,50,President Trump firing Comey—in such a haphazard way—in the middle of an investigation into his own campaign—that should be the last straw.,PattyMurray,Patty Murray,Washington,Democratic
50,Wed May 10 20:59:44 +0000 2017,8.62412E+17,11,63,"If anyone wanted to give this Admin more time, I hope they’ve been paying attention the past 24 hrs—it’s hard to stay on the fence now. -PM",PattyMurray,Patty Murray,Washington,Democratic
51,Wed May 10 20:58:15 +0000 2017,8.62411E+17,19,139,"The more Trump tries to douse the flames by firing people looking at where the smoke is coming from, the more we are going pay attention.",PattyMurray,Patty Murray,Washington,Democratic
52,Wed May 10 20:57:26 +0000 2017,8.62411E+17,14,52,"For months, questions surrounding President Trump campaign’s ties to Russia—what happened, who was involved &amp; why—have gone unanswered.",PattyMurray,Patty Murray,Washington,Democratic
53,Wed May 10 20:55:50 +0000 2017,8.62411E+17,35,144,Politics should be put on hold &amp; we should be doing everything to ensure integrity of our justice system &amp; integrity of our executive branch,PattyMurray,Patty Murray,Washington,Democratic
54,Wed May 10 20:54:51 +0000 2017,8.62411E+17,37,182,"NOW: Murray on Senate floor to say, this is a critical moment in history &amp; ppl deserve answers on Comey firing → https://t.co/esKeWxVPpK",PattyMurray,Patty Murray,Washington,Democratic
55,Wed May 10 19:38:53 +0000 2017,8.62392E+17,18,70,.@SenateDems Millions of people who have been speaking up &amp; making themselves heard against #Trumpcare will continu… https://t.co/Z8zHlpBirU,PattyMurray,Patty Murray,Washington,Democratic
56,Wed May 10 19:10:18 +0000 2017,8.62384E+17,16,40,".@SenateDems Trumpcare might be a good way to score political points with their base, but it’s certainly not good for patients and families.",PattyMurray,Patty Murray,Washington,Democratic
57,Wed May 10 19:07:52 +0000 2017,8.62384E+17,13,31,.@SenateDems Trumpcare is about President Trump getting his way &amp; delivering massive tax cuts for insurance companies and the very wealthy.,PattyMurray,Patty Murray,Washington,Democratic
58,Wed May 10 18:54:41 +0000 2017,8.6238E+17,21,60,".@SenateDems In the first few years of Trumpcare, average health care costs would go up on the middle class as well… https://t.co/qy77LEZrm6",PattyMurray,Patty Murray,Washington,Democratic
59,Wed May 10 18:51:21 +0000 2017,8.6238E+17,7,22,".@SenateDems In the first few years, Trumpcare would increase premiums by as much as 20%.",PattyMurray,Patty Murray,Washington,Democratic
60,Wed May 10 18:48:30 +0000 2017,8.62379E+17,9,21,.@SenateDems Here’s what we know: Trumpcare would end the guarantee of essential health benefits for health plans &amp;… https://t.co/YrnURmogMP,PattyMurray,Patty Murray,Washington,Democratic
