,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 13:17:42 +0000 2017,8.65195E+17,1,5,Loved meeting the students of #Stamford's Rippowam Middle School during their visit to the Capitol. Enjoy the rest… https://t.co/bIqkuSygHp,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
1,Wed May 17 22:18:34 +0000 2017,8.64968E+17,45,169,"Robert Mueller has the experience and expertise, guts and backbone necessary to uncover the truth and hold wrongdoers accountable.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
2,Wed May 17 22:14:33 +0000 2017,8.64967E+17,33,210,Special counsel appointment is a welcome development - now must ensure resources and independence.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
3,Wed May 17 20:23:03 +0000 2017,8.64939E+17,8,26,"@AjitPaiFCC Chairman Pai’s plan would deprive American consumers, start-ups, and businesses from enjoying a free &amp;… https://t.co/OBJdti7x7M",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
4,Wed May 17 20:22:23 +0000 2017,8.64939E+17,2,30,@AjitPaiFCC Letting broadband providers block or discriminate against content providers threatens consumers' fundam… https://t.co/4iryYpX6MF,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
5,Wed May 17 20:21:09 +0000 2017,8.64939E+17,17,105,Just spoke on Senate Floor against @AjitPaiFCC’s plans to gut #NetNeutrality and turn internet into a walled garden for wealthy companies.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
6,Wed May 17 18:41:18 +0000 2017,8.64914E+17,14,16,Congratulations to the @USCGAcademy cadets graduating in #NewLondon today!,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
7,Wed May 17 14:27:47 +0000 2017,8.6485E+17,44,83,"Drip, drip, drip - only a special prosecutor can collect evidence &amp; stop spreading fire. No one is above the law. https://t.co/EIuUb8ly6f",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
8,Tue May 16 22:47:55 +0000 2017,8.64613E+17,52,198,"All relevant actors including Comey, Sessions, Rosenstein, and McGahn should testify before @senjudiciary publicly and under oath.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
9,Tue May 16 22:47:09 +0000 2017,8.64613E+17,27,188,"All of the evidence – including transcripts, tapes, memos, and other documents – must be subpoenaed immediately.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
10,Tue May 16 22:46:54 +0000 2017,8.64613E+17,43,180,I am stunned that any of my colleagues would oppose appointing an independent special prosecutor after this astonishing revelation.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
11,Tue May 16 22:46:41 +0000 2017,8.64613E+17,118,819,We are witnessing an obstruction of justice case unfolding in real time.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
12,Tue May 16 22:11:20 +0000 2017,8.64604E+17,75,315,Independent special prosecutor. Now. https://t.co/7wy0yt5agv,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
13,Tue May 16 20:10:29 +0000 2017,8.64574E+17,94,530,I urge my Republican colleagues to publicly back an independent special prosecutor. Put country before party.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
14,Tue May 16 20:09:14 +0000 2017,8.64573E+17,83,116,We deserve to know what Trump said to Comey/Russians. Subpoenas of tapes &amp; transcripts only way to ensure evidence is preserved &amp; produced.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
15,Tue May 16 20:05:02 +0000 2017,8.64572E+17,64,235,"Trump's dangerous and reckless leaks to Russian adversaries, legal or not, have imperiled intelligence sources and alienated allies.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
16,Tue May 16 14:00:03 +0000 2017,8.64481E+17,51,127,Congress must subpoena transcripts &amp; tapes to determine if they exist. This is the only way we can verify what was… https://t.co/pXC0aeTQEa,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
17,Tue May 16 01:21:51 +0000 2017,8.6429E+17,90,490,All potential Trump tapes should be subpoenaed to uncover truth and preserve evidence - both Comey and meeting with Russians.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
18,Mon May 15 22:49:34 +0000 2017,8.64251E+17,94,269,"Trump may have helped Russia twice – by sharing classified info, and doing incalculable damage to our own alliances. https://t.co/ueJuFYZo50",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
19,Mon May 15 22:48:29 +0000 2017,8.64251E+17,78,387,Trump owes us an explanation for putting lives at risk- he's betrayed his first responsibility to the safety &amp; security of the United States,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
20,Mon May 15 22:47:43 +0000 2017,8.64251E+17,149,1193,"This bombshell report is astonishing &amp; appalling - betraying our allies, endangering safety of sources, &amp; sabotaging our war against ISIS.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
21,Mon May 15 18:58:02 +0000 2017,8.64193E+17,17,58,(Dis)trust and verify - subpoenas for the White House tapes are absolutely necessary.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
22,Mon May 15 18:57:46 +0000 2017,8.64193E+17,24,206,Congress must subpoena White House tapes - only way to verify if they exist and find out what's on them. Voluntary reliance inadequate.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
23,Mon May 15 17:47:08 +0000 2017,8.64175E+17,11,39,Syria news recalls humanity’s darkest days - the world must hold Assad &amp; his Russian abettors accountable. https://t.co/gDo83uwbAv,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
24,Mon May 15 16:12:16 +0000 2017,8.64151E+17,23,101,"Mounting evidence of political interference, inc. possible obstruction of justice,means independent special prosecutor more vital than ever",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
25,Mon May 15 16:11:28 +0000 2017,8.64151E+17,33,122,"The need for an independent special prosecutor is crystal clear - if Deputy AG won't step up, I’ll introduce a bill to establish one.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
26,Mon May 15 16:09:45 +0000 2017,8.64151E+17,61,419,No FBI director should be confirmed until an independent special prosecutor for #TrumpRussia investigation is appointed.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
27,Sun May 14 13:45:51 +0000 2017,8.63752E+17,15,36,Wishing a wonderful #MothersDay to all the moms in #CT and across the country. Thank you for all that you do.,SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
28,Fri May 12 19:12:49 +0000 2017,8.6311E+17,34,70,".@SenateJudiciary Public testimony from Comey, Sessions &amp; Rosenstein is our only avenue to learning the true timeline of #ComeyFiring.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
29,Fri May 12 19:12:29 +0000 2017,8.6311E+17,26,123,".@SenateJudiciary must require all relevant actors – Comey, Sessions, and Rosenstein – to testify publicly and under oath.",SenBlumenthal,Richard Blumenthal,Connecticut,Democratic
