,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 23:44:43 +0000 2017,8.65715E+17,118,141,Former FBI Director Comey Agrees to Testify in Open Session at Senate Intel Committee https://t.co/j7hhq839Oy,SenatorBurr,Richard Burr,North Carolina,Republican
1,Thu May 18 00:28:46 +0000 2017,8.65001E+17,94,18,"To the extent any deconfliction is required, we will engage with Dir. Mueller &amp;our expectation is that he will engage with the Cmte as well.",SenatorBurr,Richard Burr,North Carolina,Republican
2,Thu May 18 00:26:50 +0000 2017,8.65001E+17,56,44,The Senate Select Committee on Intelligence will continue its own investigation,SenatorBurr,Richard Burr,North Carolina,Republican
3,Thu May 18 00:24:03 +0000 2017,8.65E+17,31,27,and will provide some certainty for the American people that the investigation will proceed fairly and free of political influence.,SenatorBurr,Richard Burr,North Carolina,Republican
4,Thu May 18 00:23:10 +0000 2017,8.65E+17,98,99,The appointment of former FBI Dir.&amp;respected lawyer Robert Mueller as special counsel for the Russia investigation is a positive development,SenatorBurr,Richard Burr,North Carolina,Republican
5,Wed May 17 20:48:16 +0000 2017,8.64946E+17,22,16,7th graders from Wilmington checking out one of the Capitol’s historic attractions. Thanks for stopping by!… https://t.co/1aJuwdel7Y,SenatorBurr,Richard Burr,North Carolina,Republican
6,Wed May 17 17:00:40 +0000 2017,8.64888E+17,97,80,"Notification: Senate Intel Committee Seeks Additional Information from Comey, McCabe https://t.co/B53E6wu9Ej",SenatorBurr,Richard Burr,North Carolina,Republican
7,Wed May 17 13:02:46 +0000 2017,8.64829E+17,28,69,My thoughts and prayers are with @SenThomTillis and I wish him a speedy recovery.,SenatorBurr,Richard Burr,North Carolina,Republican
8,Fri May 12 21:09:39 +0000 2017,8.63139E+17,200,3,Wonderful to participate in a manufacturing education event at a North Carolina bus company in Archdale today. https://t.co/QNaaKoOnra,SenatorBurr,Richard Burr,North Carolina,Republican
9,Fri May 12 20:33:41 +0000 2017,8.6313E+17,61,12,Thanks for stopping by our DC office @vccskings! 1 of 6 NC teams competing in the 2017 Team America Rocketry Challe… https://t.co/Z8DfsL3dm0,SenatorBurr,Richard Burr,North Carolina,Republican
10,Thu May 11 19:26:19 +0000 2017,8.62751E+17,118,40,The Corolla wild horses are a treasure. Working with @SenThomTillis and @RepWalterJones to protect them. https://t.co/KRovizqMbF,SenatorBurr,Richard Burr,North Carolina,Republican
11,Thu May 11 14:24:20 +0000 2017,8.62675E+17,154,33,Prepared remarks from Director of National Intelligence Dan Coats https://t.co/i49tl9HMvc,SenatorBurr,Richard Burr,North Carolina,Republican
12,Thu May 11 14:12:38 +0000 2017,8.62672E+17,142,23,Senate Intelligence Committee open Worldwide Threats hearing beginning now https://t.co/4oKywkAdcn https://t.co/CjHl75Hfbo,SenatorBurr,Richard Burr,North Carolina,Republican
13,Thu May 11 14:08:27 +0000 2017,8.62671E+17,320,39,My prepared remarks https://t.co/Zdyr5VIELc,SenatorBurr,Richard Burr,North Carolina,Republican
14,Thu May 11 13:36:11 +0000 2017,8.62663E+17,80,44,Intelligence community leaders testify before an open hearing of Senate Intel Cmte this morning. WATCH LIVE @ 10am https://t.co/4oKywkAdcn,SenatorBurr,Richard Burr,North Carolina,Republican
15,Wed May 10 22:24:49 +0000 2017,8.62433E+17,415,880,Senate Intel Committee Subpoenas Former National Security Advisor Flynn for Documents Regarding Russia Probe https://t.co/VCDb1NxtU4,SenatorBurr,Richard Burr,North Carolina,Republican
16,Wed May 10 19:23:48 +0000 2017,8.62388E+17,50,19,Proud to work with @Sen_JoeManchin &amp; @SenAngusKing on a student loan law that is saving families billions https://t.co/EO7DKuWufp,SenatorBurr,Richard Burr,North Carolina,Republican
17,Wed May 10 18:30:24 +0000 2017,8.62374E+17,346,684,Former FBI Director Comey has been invited by the Committee to meet in closed session on Tuesday.,SenatorBurr,Richard Burr,North Carolina,Republican
18,Wed May 10 17:25:08 +0000 2017,8.62358E+17,62,97,Updated witness list for open Intel Cmte World Wide Threats Hearing hearing tomorrow https://t.co/FF96X7JKN8 https://t.co/mbHSiFzLjS,SenatorBurr,Richard Burr,North Carolina,Republican
19,Wed May 10 17:23:34 +0000 2017,8.62357E+17,200,412,Acting FBI Director Andrew McCabe will testify before an open hearing of the Senate Intel Cmte tomorrow.,SenatorBurr,Richard Burr,North Carolina,Republican
20,Tue May 09 23:53:03 +0000 2017,8.62093E+17,1695,1562,"His dismissal, I believe, is a loss for the Bureau and the nation.",SenatorBurr,Richard Burr,North Carolina,Republican
21,Tue May 09 23:52:37 +0000 2017,8.62093E+17,543,2267,Dir. Comey has been more forthcoming w/ information than any FBI Director I can recall in my tenure on the congressional intel committees.,SenatorBurr,Richard Burr,North Carolina,Republican
22,Tue May 09 23:51:32 +0000 2017,8.62093E+17,207,984,"In my interactions w/ the Director and w/ the Bureau under his leadership, he &amp; the FBI have always been straightforward with our Committee.",SenatorBurr,Richard Burr,North Carolina,Republican
23,Tue May 09 23:50:32 +0000 2017,8.62092E+17,628,1354,His dismissal further confuses an already difficult investigation by the Committee.,SenatorBurr,Richard Burr,North Carolina,Republican
24,Tue May 09 23:50:01 +0000 2017,8.62092E+17,421,1538,I have found Director Comey to be a public servant of the highest order.,SenatorBurr,Richard Burr,North Carolina,Republican
