,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Tue May 16 21:31:43 +0000 2017,8.64594E+17,9,9,"This week, we thank our local law enforcement for keeping our communities safe &amp; pay tribute to our fallen officers. #NationalPoliceWeek",SenShelby,Richard Shelby ,Alabama,Republican
1,Mon May 15 22:10:59 +0000 2017,8.64242E+17,8,14,It was great to have @AlabamaFTBL Coach Scott Cochran and his family in Washington today. Roll Tide! https://t.co/MoyKEwcJwX,SenShelby,Richard Shelby ,Alabama,Republican
2,Thu May 11 17:37:11 +0000 2017,8.62723E+17,19,1,Discussed @FBI Director Comey's termination with @ChuckTodd on @MSNBC's Meet The Press Daily. Watch here: https://t.co/F0wgJHca5T,SenShelby,Richard Shelby ,Alabama,Republican
3,Thu May 11 16:52:11 +0000 2017,8.62712E+17,7,2,Thanks to Hatton Smith of B’ham’s @RoyalCup Coffee for the special Senatorial blend. Sharing with my GOP Senate col… https://t.co/M4RGQwJPjR,SenShelby,Richard Shelby ,Alabama,Republican
4,Thu May 11 14:09:00 +0000 2017,8.62671E+17,13,5,It was an honor to visit with the #Tuscaloosa Rotary Honor Flight yesterday at the WWII Memorial. Thankful for thei… https://t.co/rKZsT3WpMV,SenShelby,Richard Shelby ,Alabama,Republican
5,Tue May 09 23:11:05 +0000 2017,8.62083E+17,39,6,"Today I introduced Jimmy Lyons, Director of AL State Port Authority, during a @EPWGOP hearing on water resources: https://t.co/FpLg9qtE56",SenShelby,Richard Shelby ,Alabama,Republican
6,Mon May 08 19:46:55 +0000 2017,8.61669E+17,37,18,Today I celebrated my 83rd birthday with the staff in my Washington office. Thanks for all of the decorations. https://t.co/BEWI3wK9SR,SenShelby,Richard Shelby ,Alabama,Republican
7,Thu May 04 22:34:41 +0000 2017,8.60261E+17,32,6,Today I spoke with Dr. Charles Roberts &amp; Robert Clark from @StJude to discuss their #Huntsville clinic &amp; @NIH fundi… https://t.co/8Pv3QCs3iG,SenShelby,Richard Shelby ,Alabama,Republican
8,Thu May 04 21:40:57 +0000 2017,8.60248E+17,7,4,This funding bill also included necessary funding or the National Water Center in #Tuscaloosa. https://t.co/5vMKuaHBiK,SenShelby,Richard Shelby ,Alabama,Republican
9,Thu May 04 21:38:59 +0000 2017,8.60247E+17,9,5,Pleased to have voted to secure critical funds for @NASA @NASA_Marshall in the government funding bill. https://t.co/BWBai8i3hD,SenShelby,Richard Shelby ,Alabama,Republican
10,Thu May 04 21:34:48 +0000 2017,8.60246E+17,4,5,Today I voted for a bill that secures important funding for Alabama’s Redstone Arsenal in #Huntsville. https://t.co/gHgRZXBADK,SenShelby,Richard Shelby ,Alabama,Republican
11,Tue May 02 22:04:57 +0000 2017,8.59529E+17,16,5,Voted to confirm Jay Clayton as chairman of the SEC. I look forward to working with him on efforts to promote &amp; sustain economic growth.,SenShelby,Richard Shelby ,Alabama,Republican
12,Tue May 02 16:44:06 +0000 2017,8.59448E+17,7,5,.@NOAA’s misguided management of #redsnapper in the Gulf is unacceptable for our recreational fishermen: https://t.co/XkyPvE135c,SenShelby,Richard Shelby ,Alabama,Republican
13,Tue May 02 13:39:34 +0000 2017,8.59402E+17,3,1,"Enjoyed breakfast this morning with @HuntsvilleALCOC, a hard-working, ambitious group. It’s a great honor to serve… https://t.co/N0uLHvM8yg",SenShelby,Richard Shelby ,Alabama,Republican
