,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat Mar 04 15:01:40 +0000 2017,8.38042E+17,47,4,Speaking at NE Hamilton County GOP Club's annual pancake breakfast re our work to grow jobs &amp; make our nation safe. https://t.co/QyOc5e9nx8,robportman,Rob Portman,Ohio,Republican
1,Thu Feb 23 02:10:44 +0000 2017,8.34586E+17,67,6,Enjoyed being @ Sandusky/Seneca GOP Lincoln Dinner tonight. Spoke about our record of delivering results for Ohio. https://t.co/PFUyeJujmw,robportman,Rob Portman,Ohio,Republican
2,Fri Jan 20 17:00:44 +0000 2017,8.22489E+17,242,29,Congrats to @realDonaldTrump &amp; @mike_pence.  I look forward to working w your admin to help grow jobs &amp; opportunity for people in Ohio.,robportman,Rob Portman,Ohio,Republican
3,Fri Jan 06 18:06:47 +0000 2017,8.17432E+17,10,7,I appreciate the hard work &amp; dedication of @ChairmanBorges over the past few years &amp; all the work he has done for our party and state.,robportman,Rob Portman,Ohio,Republican
4,Fri Jan 06 18:06:04 +0000 2017,8.17432E+17,12,14,Congrats to new @ohiogop Chair @JaneyMurph Timken. It's time to unify so we can continue to elect people to move OH &amp; our nation forward.,robportman,Rob Portman,Ohio,Republican
5,Sun Dec 25 17:36:07 +0000 2016,8.13076E+17,19,5,"Merry Christmas from Jane, me, and the entire Portman family! https://t.co/TkVFXPWSSg",robportman,Rob Portman,Ohio,Republican
6,Fri Dec 02 01:14:04 +0000 2016,8.04494E+17,9,13,Great to see so many friends in Columbus at the @ohiogop Christmas Party and our after party! https://t.co/88S537bsqB,robportman,Rob Portman,Ohio,Republican
7,Fri Dec 02 00:37:18 +0000 2016,8.04485E+17,12,9,Glad President-Elect came to my hometown of Cinci today. Enjoyed seeing him briefly before heading to Columbus for @ohiogop Christmas party.,robportman,Rob Portman,Ohio,Republican
8,Tue Nov 15 16:44:01 +0000 2016,7.98567E+17,10,24,"Last week, Rob won by a huge margin, and we could not have done it without your help. Here is a look at our campaig… https://t.co/nvRy6xI39l",robportman,Rob Portman,Ohio,Republican
9,Mon Nov 14 21:33:28 +0000 2016,7.98278E+17,5,34,We worked hard for over 2 years to build an unrivaled grassroots team. We couldn't have done it without our incredi… https://t.co/kABuAfK6LT,robportman,Rob Portman,Ohio,Republican
10,Thu Nov 10 16:24:57 +0000 2016,7.96751E+17,2,7,"Thank you again for a great victory! If you missed Rob's victory speech, you can watch it here: https://t.co/C88fsItop9 #ohsen",robportman,Rob Portman,Ohio,Republican
11,Wed Nov 09 18:19:53 +0000 2016,7.96417E+17,28,45,I am delighted to hear that Republicans retained the Senate Majority and I am excited to work with President-Elect Trump and VP-Elect Pence!,robportman,Rob Portman,Ohio,Republican
12,Wed Nov 09 18:15:11 +0000 2016,7.96416E+17,13,10,"People want leaders to reach across the aisle and get things done, and that's what we've done and that's why we won… https://t.co/EnA6sjDr2P",robportman,Rob Portman,Ohio,Republican
13,Wed Nov 09 18:12:38 +0000 2016,7.96415E+17,1,9,I am grateful for the opportunity to continue to serve Ohio! #ohsen https://t.co/K2n9IIBNSS,robportman,Rob Portman,Ohio,Republican
14,Wed Nov 09 02:03:51 +0000 2016,7.96171E+17,6,74,"Thank you, Ohio. https://t.co/Le3yDZm3q4",robportman,Rob Portman,Ohio,Republican
15,Wed Nov 09 01:43:58 +0000 2016,7.96166E+17,9,110,"I am a proud Republican and I want to see my Party lead in the effort to find solutions that make Americans' lives better. Thank you, Ohio!",robportman,Rob Portman,Ohio,Republican
16,Wed Nov 09 01:43:27 +0000 2016,7.96166E+17,9,18,I am committed to help lead &amp; reach out to all Americans to address the concerns and frustrations they feel and find commonsense solutions,robportman,Rob Portman,Ohio,Republican
