,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 15:46:14 +0000 2017,8.66E+17,19,8,Excellent speech by @POTUS at Arab summit. Unifying and disciplined. A turning point against Islamist terrorism?,SenatorWicker,Roger Wicker,Mississippi,Republican
1,Sat May 20 17:01:40 +0000 2017,8.66E+17,9,1,Dress Rehearsal for Mississippi Metropolitan Dance Academy-- https://t.co/CMF5BQW4aQ,SenatorWicker,Roger Wicker,Mississippi,Republican
2,Sat May 20 16:56:52 +0000 2017,8.66E+17,0,3,A field of volunteers and athletes for yesterday's Opening Ceremony @SpclOlympicsMS #Biloxi https://t.co/K3SuATndLb,SenatorWicker,Roger Wicker,Mississippi,Republican
3,Sat May 20 13:55:05 +0000 2017,8.66E+17,1,1,It was an honor to be a part of yesterday's Opening Ceremony for the Mississippi Special Olympics! @SpclOlympicsMS… https://t.co/1baGIe9ukY,SenatorWicker,Roger Wicker,Mississippi,Republican
4,Thu May 18 16:06:02 +0000 2017,8.65E+17,258,22,I support the work being done by @AjitPaiFCC &amp; the @FCC to restore the #OpenInternet. https://t.co/uAsKzWZgWU,SenatorWicker,Roger Wicker,Mississippi,Republican
5,Wed May 17 22:03:31 +0000 2017,8.65E+17,5,1,New @USNavy report represents a valuable contribution to the urgent national project of rebuilding naval power. My… https://t.co/G0Nu4JydyK,SenatorWicker,Roger Wicker,Mississippi,Republican
6,Tue May 16 18:23:02 +0000 2017,8.65E+17,13,6,ICYMI | Watch my testimony from this morning's @GOPSenFinance Cmte hearing regarding the promise of #telehealth: https://t.co/BgIolZ8Rve,SenatorWicker,Roger Wicker,Mississippi,Republican
7,Tue May 16 14:18:22 +0000 2017,8.64E+17,5,4,Testifying before the @GOPSenFinance Cmte this morning about the success of #telehealth technologies.… https://t.co/25Sk9ONApz,SenatorWicker,Roger Wicker,Mississippi,Republican
8,Mon May 15 17:13:38 +0000 2017,8.64E+17,10,3,"In this week's #WickerReport: A renewed focus on our military, as we work to restore readiness &amp; modernize forces: https://t.co/zm1Sg444dX",SenatorWicker,Roger Wicker,Mississippi,Republican
9,Mon May 15 16:26:27 +0000 2017,8.64E+17,0,8,#MississippiMonday: A sunny day on #FishboneAlley in #Gulfport. @msgulfcoast @CityofGulfport https://t.co/s5KuGxa0Tn,SenatorWicker,Roger Wicker,Mississippi,Republican
10,Mon May 15 16:01:49 +0000 2017,8.64E+17,2,6,"During #NationalPoliceWeek, we remember officers like MS's James Lee Tartt, who have given the ultimate sacrifice: https://t.co/z5ks5lnq2R",SenatorWicker,Roger Wicker,Mississippi,Republican
11,Sun May 14 15:18:24 +0000 2017,8.64E+17,2,4,"Congratulations, @OleMissSoftball! #SECTourneyChamps #HottyToddy https://t.co/0LLbrqGWUf",SenatorWicker,Roger Wicker,Mississippi,Republican
12,Sun May 14 15:13:52 +0000 2017,8.64E+17,4,1,"Wishing all mothers a wonderful day! My children, grandchildren, and I are especially thankful for @WickerGayle today. #HappyMothersDay",SenatorWicker,Roger Wicker,Mississippi,Republican
13,Wed May 10 21:17:10 +0000 2017,8.62E+17,24,5,Spoke today w/ @LizClaman about FBI Dir Comey's dismissal. @POTUS should replace him w/ ‘Neil Gorsuch type.' Watch: https://t.co/52609nyRfB,SenatorWicker,Roger Wicker,Mississippi,Republican
14,Mon May 08 14:42:47 +0000 2017,8.62E+17,11,2,#MississippiMonday: Holmes County Courthouse in Lexington https://t.co/LMWRBChkg4,SenatorWicker,Roger Wicker,Mississippi,Republican
15,Mon May 08 14:16:18 +0000 2017,8.62E+17,32,4,#WickerReport: Gov't funding bill will advance @realDonaldTrump's agenda; redirect Obama-era spending priorities: https://t.co/DtQ835bbn7,SenatorWicker,Roger Wicker,Mississippi,Republican
16,Thu May 04 19:56:40 +0000 2017,8.60E+17,33,8,ICYMI | My statement after the U.S. House of Representatives passed legislation to repeal and replace #Obamacare: https://t.co/VUS0Y4cTMi,SenatorWicker,Roger Wicker,Mississippi,Republican
17,Thu May 04 19:35:24 +0000 2017,8.60E+17,17,4,"On #NationalDayofPrayer, we reaffirm our commitment to protect religious liberty. I support @realDonaldTrump's exec… https://t.co/aFzmWugTws",SenatorWicker,Roger Wicker,Mississippi,Republican
18,Wed May 03 18:42:21 +0000 2017,8.60E+17,6,1,Received updated briefing from @USNavy on issues w/ T-45s. Still working to determine cause of issue. I'll continue to monitor! #NASMeridian,SenatorWicker,Roger Wicker,Mississippi,Republican
19,Wed May 03 17:47:17 +0000 2017,8.60E+17,1,6,"Intro'd bill w/ @SenBrianSchatz, @SenThadCochran, others to expand the success of #telehealth to Medicare patients: https://t.co/6V9vKZeiqP",SenatorWicker,Roger Wicker,Mississippi,Republican
20,Wed May 03 17:07:35 +0000 2017,8.60E+17,1,3,"My Q&amp;A from today's SASC hearing. Asked about @ArmyERDC, its importance to warfighters, &amp; its work w/ @JacksonStateU https://t.co/YgSRqjNL3N",SenatorWicker,Roger Wicker,Mississippi,Republican
21,Tue May 02 20:40:50 +0000 2017,8.60E+17,1,5,Good news for #GulfCoast shrimpers! USITC voted to extend antidumping orders on frozen shrimp imports for 5 yrs:… https://t.co/pE3y88mkbF,SenatorWicker,Roger Wicker,Mississippi,Republican
22,Tue May 02 20:20:21 +0000 2017,8.60E+17,1,4,Honored to receive @TruckSafetyOrg's Legacy Award for my work opposing a nat'l mandate to allow twin-33 ft trucks o… https://t.co/OCaDbbHAZ6,SenatorWicker,Roger Wicker,Mississippi,Republican
23,Tue May 02 18:38:08 +0000 2017,8.59E+17,7,5,Bill to fund the gov't adheres to budget caps. Delivers on impt priorities; increases to mil spending &amp; border security. @realDonaldTrump,SenatorWicker,Roger Wicker,Mississippi,Republican
24,Mon May 01 20:39:49 +0000 2017,8.59E+17,5,8,"Congratulations to #NewAlbany on being named 2017's ""Best Southern Small Town"" by @10Best &amp; @USATODAY! More: https://t.co/JxB5kRHbJM",SenatorWicker,Roger Wicker,Mississippi,Republican
25,Mon May 01 16:50:17 +0000 2017,8.59E+17,6,1,#WickerReport: Encouraged by @FCC action to support free &amp; open Internet; lays groundwork for legislative solution: https://t.co/X6RsJosJKy,SenatorWicker,Roger Wicker,Mississippi,Republican
26,Mon May 01 15:25:51 +0000 2017,8.59E+17,2,2,In contact w/ state &amp; local officials after yesterday’s storms. Mississippians know how to pull together in difficult times like these.,SenatorWicker,Roger Wicker,Mississippi,Republican
27,Thu Apr 27 22:01:06 +0000 2017,8.58E+17,0,5,"An update on my recent fact-finding trip to #NASMeridian, the current state of play, &amp; the plan going forward: https://t.co/g47GPDnYH7",SenatorWicker,Roger Wicker,Mississippi,Republican
28,Wed Apr 26 21:49:53 +0000 2017,8.57E+17,9,13,My full statement following today's top-secret North Korea briefing at the @WhiteHouse: https://t.co/453drLUkCk https://t.co/J47Gowgkg0,SenatorWicker,Roger Wicker,Mississippi,Republican
29,Wed Apr 26 19:24:15 +0000 2017,8.57E+17,13,4,Met w/ these creative @GulfportHigh students today. They are representing our state well as #SamsungSolve #STEAM fi… https://t.co/HDh2UrtDZN,SenatorWicker,Roger Wicker,Mississippi,Republican
30,Wed Apr 26 19:21:36 +0000 2017,8.57E+17,10,4,"A Depression-era, utility-style reg structure for the Internet was the wrong approach. Support @AjitPaiFCC's effort to roll back these regs.",SenatorWicker,Roger Wicker,Mississippi,Republican
31,Tue Apr 25 23:53:16 +0000 2017,8.57E+17,24,4,"Today is #WorldMalariaDay. US investments around the world have made progress, but more work is needed to end Malar… https://t.co/Wuwax6o7Fh",SenatorWicker,Roger Wicker,Mississippi,Republican
32,Tue Apr 25 13:49:08 +0000 2017,8.57E+17,11,4,It was honor to attend @USDA Secretary Perdue's swearing-in ceremony this morning. The oath of office was administe… https://t.co/7TOTUrvBjp,SenatorWicker,Roger Wicker,Mississippi,Republican
33,Mon Apr 24 23:02:41 +0000 2017,8.57E+17,24,6,"I was saddened to learn that Joseph Stone, a US member of an #OSCE mission to #Ukraine, was killed this weekend: https://t.co/OfP4GwZmB3",SenatorWicker,Roger Wicker,Mississippi,Republican
34,Mon Apr 24 22:14:49 +0000 2017,8.57E+17,11,4,Voted to confirm Sonny Perdue as the next @USDA Secretary. Will work w/ him to protect &amp; promote MS's ag interests: https://t.co/q9Fae9hihk,SenatorWicker,Roger Wicker,Mississippi,Republican
35,Mon Apr 24 19:20:46 +0000 2017,8.57E+17,5,2,#MississippiMonday: Just one of the dozens of performances at the 14th annual Juke Joint Festival in downtown… https://t.co/WzKmpBOxdp,SenatorWicker,Roger Wicker,Mississippi,Republican
36,Mon Apr 24 14:20:32 +0000 2017,8.57E+17,18,5,"This week's #WickerReport: Signs of progress in @POTUS's first 100 days, including military success &amp; reg reform: https://t.co/31mSaYkrkt",SenatorWicker,Roger Wicker,Mississippi,Republican
37,Sat Apr 22 22:58:12 +0000 2017,8.56E+17,14,2,"Run, Walk, Stroll for Ronald McDonald House @RMHC and cool off with Sno Cones #Jackson https://t.co/vGKn1BFv4A",SenatorWicker,Roger Wicker,Mississippi,Republican
