,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 20:40:40 +0000 2017,8.66031E+17,2,11,#HappyArmedForcesDay with @USOofWisconsin https://t.co/xqlWrgZymv,SenRonJohnson,Ron Johnson,Wisconsin,Republican
1,Sat May 20 14:00:01 +0000 2017,8.6593E+17,4,4,Look who was spotted @ChippewaCEDC annual meeting. @darrylworley w/ Sgt. First Class Joanne Wampole WI Army Nationa… https://t.co/woci8ez2gT,SenRonJohnson,Ron Johnson,Wisconsin,Republican
2,Fri May 19 20:50:00 +0000 2017,8.65671E+17,22,31,Positive first step. Now encouraging @ScottGottliebMD to permanently rein in this burdensome rule on #vaping.  https://t.co/urfCUx6vpG,SenRonJohnson,Ron Johnson,Wisconsin,Republican
3,Fri May 19 20:24:23 +0000 2017,8.65664E+17,11,2,Congrats @millsfleetfarm on groundbreaking today of new distribution center bringing more than 300 news jobs to Chi… https://t.co/JzDWhnlsYr,SenRonJohnson,Ron Johnson,Wisconsin,Republican
4,Fri May 19 20:00:53 +0000 2017,8.65659E+17,12,2,".@RyanLeeHagemann: ""A secure America requires companies &amp; government to work together as partners, not adversaries.” https://t.co/kZ8V5UeXYn",SenRonJohnson,Ron Johnson,Wisconsin,Republican
5,Thu May 18 17:10:20 +0000 2017,8.65253E+17,42,11,Encouraged by @FCC vote to restore internet freedom for WI by rolling back burdensome regulations hindering rural broadband investment,SenRonJohnson,Ron Johnson,Wisconsin,Republican
6,Thu May 18 00:30:01 +0000 2017,8.65001E+17,43,16,Putting more boots on the border is a key step toward securing our border.  https://t.co/sgKF80JvTl,SenRonJohnson,Ron Johnson,Wisconsin,Republican
7,Wed May 17 23:28:05 +0000 2017,8.64986E+17,6,9,"#BlueCampaign bill to fight human trafficking passed by #HSGAC, advances to the full Senate https://t.co/W8ckIbYSbA",SenRonJohnson,Ron Johnson,Wisconsin,Republican
8,Wed May 17 20:05:17 +0000 2017,8.64935E+17,9,7,Wishing my colleague @maziehirono  strength and healing. https://t.co/cdQ8GQQCsj,SenRonJohnson,Ron Johnson,Wisconsin,Republican
9,Wed May 17 19:34:23 +0000 2017,8.64927E+17,2,5,"#HSGAC advances 17 regulatory, national security, and govt savings bills, now to be voted on by full Senate.  https://t.co/8xu4uevhCT",SenRonJohnson,Ron Johnson,Wisconsin,Republican
10,Wed May 17 16:54:25 +0000 2017,8.64887E+17,18,12,We need to combine public and private efforts to maintain the security of America’s networks and information. https://t.co/o8pHCdCFJk,SenRonJohnson,Ron Johnson,Wisconsin,Republican
11,Wed May 17 16:47:25 +0000 2017,8.64885E+17,8,7,"Cybersecurity affects all of us, every day. PATCH Act has broad support. https://t.co/qwcB5aQtjc https://t.co/9EMQLfVNgu",SenRonJohnson,Ron Johnson,Wisconsin,Republican
12,Wed May 17 16:36:14 +0000 2017,8.64882E+17,8,8,Working across the aisle w/ @SenBrianSchatz for govt to respond swiftly to cyber vulnerabilities.  https://t.co/qwcB5aQtjc,SenRonJohnson,Ron Johnson,Wisconsin,Republican
13,Wed May 17 14:53:57 +0000 2017,8.64857E+17,0,7,Good news. https://t.co/x2yDV3rr89,SenRonJohnson,Ron Johnson,Wisconsin,Republican
14,Wed May 17 14:00:03 +0000 2017,8.64843E+17,3,2,NOW: #HSGAC holds markup for consideration of 17 bills. Watch here https://t.co/KIOI6b5P8N,SenRonJohnson,Ron Johnson,Wisconsin,Republican
15,Wed May 17 13:15:27 +0000 2017,8.64832E+17,2,6,My thoughts are with @SenThomTillis this morning. https://t.co/HzhOZW2bcF,SenRonJohnson,Ron Johnson,Wisconsin,Republican
16,Wed May 17 13:04:19 +0000 2017,8.64829E+17,11,5,My sincere condolences to the victims and families of the destructive tornadoes in Barron and Rusk Counties.,SenRonJohnson,Ron Johnson,Wisconsin,Republican
17,Wed May 17 13:02:00 +0000 2017,8.64828E+17,7,5,COMING UP: #HSGAC markup for consideration of homeland security and reg reform bills at 10 ET. Watch https://t.co/KIOI6b5P8N,SenRonJohnson,Ron Johnson,Wisconsin,Republican
18,Tue May 16 23:48:35 +0000 2017,8.64629E+17,21,4,TOMORROW: #HSGAC holds markup to consider regulatory reform bills @ 10 am ET. https://t.co/KIOI6bnqxn,SenRonJohnson,Ron Johnson,Wisconsin,Republican
19,Mon May 15 22:11:38 +0000 2017,8.64242E+17,23,10,"Today is #PeaceOfficersMemorialDay, let us never forget those who made the ultimate sacrifice keeping us safe.… https://t.co/zf92MYuevK",SenRonJohnson,Ron Johnson,Wisconsin,Republican
20,Sat May 13 14:05:01 +0000 2017,8.63395E+17,18,5,Thank you Col. Gary Hopkins for serving on our Service Academy  Board. Volunteers interview &amp; recommend HS students… https://t.co/sZef7nTU9p,SenRonJohnson,Ron Johnson,Wisconsin,Republican
21,Fri May 12 23:19:38 +0000 2017,8.63172E+17,12,9,Today we honor all the military spouses who support and sacrifice. They are also the finest among us.… https://t.co/i5jK658Kbv,SenRonJohnson,Ron Johnson,Wisconsin,Republican
22,Fri May 12 19:00:07 +0000 2017,8.63107E+17,130,12,"""This is why I ran. I want to be involved in this process.” https://t.co/jGFoVogUeG",SenRonJohnson,Ron Johnson,Wisconsin,Republican
23,Fri May 12 17:06:59 +0000 2017,8.63078E+17,12,6,Volk Field wrapping up 2-week exercise today w/ planes &amp; units from across the country in town for combat training. https://t.co/xXJB3S7teC,SenRonJohnson,Ron Johnson,Wisconsin,Republican
24,Fri May 12 16:52:17 +0000 2017,8.63074E+17,6,2,This morning at Volk Field we thank the 110 members of the 128th Air Control Squadron leaving for Asia until Nov. https://t.co/k96MGCKDcI,SenRonJohnson,Ron Johnson,Wisconsin,Republican
25,Thu May 11 23:57:41 +0000 2017,8.62819E+17,20,5,Thinking of those killed in the line of duty. Fond du Lac remembered its fallen officers today. #backtheblue https://t.co/QAojUCKc6G,SenRonJohnson,Ron Johnson,Wisconsin,Republican
26,Thu May 11 21:57:01 +0000 2017,8.62789E+17,9,2,Thank you @LtGovKleefisch for teaching a session this week at our 26th Joseph Project class. Good luck to everyone… https://t.co/hdXjcZwTtL,SenRonJohnson,Ron Johnson,Wisconsin,Republican
27,Thu May 11 18:58:11 +0000 2017,8.62744E+17,22,7,.@SenRonJohnson’s statement on @POTUS’s cybersecurity executive order  https://t.co/GBdDr60CQe https://t.co/mvzQesGjTI,SenRonJohnson,Ron Johnson,Wisconsin,Republican
28,Thu May 11 00:10:41 +0000 2017,8.6246E+17,37,7,"“Let’s approach this from the standpoint of the internet as it is, as opposed to the way we’ve constructed our bure… https://t.co/p6pJwzyvXQ",SenRonJohnson,Ron Johnson,Wisconsin,Republican
29,Wed May 10 22:37:17 +0000 2017,8.62436E+17,26,6,.@SenRonJohnson on why the bureaucracy is hindering our ability to modernize our cyber defenses https://t.co/lfpguElLM0,SenRonJohnson,Ron Johnson,Wisconsin,Republican
30,Wed May 10 22:00:42 +0000 2017,8.62427E+17,20,2,Happy to welcome Estonia's Foreign Minister @svenmikser today to talk about the EU and security issues. https://t.co/ZvBcNmGMnJ,SenRonJohnson,Ron Johnson,Wisconsin,Republican
31,Wed May 10 21:05:00 +0000 2017,8.62413E+17,20,3,ICYMI: #HSGAC held a hearing on the cyber threats facing the US. See more here https://t.co/LYp5sixTPE,SenRonJohnson,Ron Johnson,Wisconsin,Republican
32,Wed May 10 18:29:18 +0000 2017,8.62374E+17,17,8,WATCH: #HSGAC cyber threats hearing on the vulnerability of our networks and the need to define cyber red lines. https://t.co/kQMJ1rk7Nl,SenRonJohnson,Ron Johnson,Wisconsin,Republican
33,Wed May 10 14:31:02 +0000 2017,8.62314E+17,32,6,(2/2) We must acknowledge and assess these threats and decide how to effectively respond. https://t.co/LYp5sigiY6,SenRonJohnson,Ron Johnson,Wisconsin,Republican
34,Wed May 10 14:30:02 +0000 2017,8.62314E+17,23,7,"(1/2) Regardless of the motivations or identities of the attackers, cyber threats are real and growing.",SenRonJohnson,Ron Johnson,Wisconsin,Republican
35,Wed May 10 14:00:03 +0000 2017,8.62306E+17,20,4,LIVE: #HSGAC hearing on cyber threats facing the US. Watch here https://t.co/LYp5sixTPE,SenRonJohnson,Ron Johnson,Wisconsin,Republican
36,Wed May 10 13:00:02 +0000 2017,8.62291E+17,22,9,COMING UP: #HSGAC hearing on cyber threats @ 10ET. Witnesses will provide overview of concerns facing the US. Watch https://t.co/LYp5sigiY6,SenRonJohnson,Ron Johnson,Wisconsin,Republican
37,Tue May 09 23:00:03 +0000 2017,8.6208E+17,28,4,Thanks @WIHospitalAssn for meeting today to discuss improving healthcare in Wisconsin. https://t.co/w5HcBwdK2S,SenRonJohnson,Ron Johnson,Wisconsin,Republican
38,Tue May 09 22:10:00 +0000 2017,8.62067E+17,21,4,TOMORROW: #HSGAC will hold a hearing on cyber threats facing the US @ 10ET. Watch here https://t.co/LYp5sixTPE,SenRonJohnson,Ron Johnson,Wisconsin,Republican
39,Tue May 09 20:08:59 +0000 2017,8.62037E+17,10,4,"Teachers change lives. Thank you, teachers!  #TeacherAppreciationDay https://t.co/VAPNNau6De",SenRonJohnson,Ron Johnson,Wisconsin,Republican
40,Tue May 09 19:07:12 +0000 2017,8.62021E+17,8,12,Great meeting with Georgian Prime Minister @KvirikashviliGi to discuss the continued partnership between our two co… https://t.co/wNLz9x16KU,SenRonJohnson,Ron Johnson,Wisconsin,Republican
41,Tue May 09 18:25:43 +0000 2017,8.62011E+17,9,5,"There is no excuse.
https://t.co/5U1Zq3kE77",SenRonJohnson,Ron Johnson,Wisconsin,Republican
42,Sat May 06 14:00:02 +0000 2017,8.60857E+17,25,8,"Great week celebrating Wisconsin and America's entrepreneurs.
#SmallBusinessWeek https://t.co/gOOCkiSiq6",SenRonJohnson,Ron Johnson,Wisconsin,Republican
43,Fri May 05 23:00:23 +0000 2017,8.6063E+17,10,5,Nice to meet with #Wisconsin Dells businesses as they gear up for their summer season. https://t.co/hdShxhbgxO,SenRonJohnson,Ron Johnson,Wisconsin,Republican
44,Fri May 05 22:32:29 +0000 2017,8.60623E+17,45,5,Great meeting today with Children's Hospital WI CEO Peggy Troy and team about future of healthcare. https://t.co/e05F7xFzWj,SenRonJohnson,Ron Johnson,Wisconsin,Republican
45,Fri May 05 20:17:29 +0000 2017,8.60589E+17,70,137,A step forward for the #vaping industry https://t.co/ZjXewJtkpm https://t.co/JiLfkQFvNT,SenRonJohnson,Ron Johnson,Wisconsin,Republican
46,Thu May 04 20:00:03 +0000 2017,8.60223E+17,18,3,"ICYMI: Don’t forget to listen to Sen. Johnson’s new “Hey, Wisconsin” podcast as he chats with WI students. https://t.co/Wi1SC2IrNA",SenRonJohnson,Ron Johnson,Wisconsin,Republican
47,Thu May 04 19:55:50 +0000 2017,8.60221E+17,23,8,"We want more competition, investment &amp; innovation. Not less. We support an open Internet. But not w/govt heavy hand. https://t.co/BahVBtH6Mv",SenRonJohnson,Ron Johnson,Wisconsin,Republican
48,Thu May 04 17:20:00 +0000 2017,8.60182E+17,8,5,"Congrats Seroogy's Chocolates on your expansion. Even after 118 years, this #GreenBay area candy maker is still gro… https://t.co/6B9XkISl4u",SenRonJohnson,Ron Johnson,Wisconsin,Republican
49,Thu May 04 14:51:21 +0000 2017,8.60145E+17,34,3,Green Bay hosts community prayer event this morning for this 66th annual #NationalDayofPrayer https://t.co/apumeQAni7,SenRonJohnson,Ron Johnson,Wisconsin,Republican
50,Thu May 04 14:13:01 +0000 2017,8.60135E+17,64,9,Thanks @CatoEvents for opportunity for @SenRonJohnson and @RepKenBuck to discuss state-based approach for visas.  https://t.co/O3gMGNV9Un,SenRonJohnson,Ron Johnson,Wisconsin,Republican
51,Wed May 03 16:36:49 +0000 2017,8.59809E+17,34,8,"""Give it a shot. See how much better the states do rather than a one-size-fits-all solution."" @SenRonJohnson… https://t.co/Emw70yWviv",SenRonJohnson,Ron Johnson,Wisconsin,Republican
52,Wed May 03 16:00:01 +0000 2017,8.598E+17,6,4,Live now #CatoEvents  @SenRonJohnson joins @CatoInstitute panel on state-based visa pilot program  https://t.co/Nq7ormmaX8,SenRonJohnson,Ron Johnson,Wisconsin,Republican
53,Wed May 03 15:00:02 +0000 2017,8.59785E+17,4,2,Coming up 11 am CT @CatoEvents --&gt; @SenRonJohnson on creation of state-based guest worker pilot program  https://t.co/Nq7ormmaX8,SenRonJohnson,Ron Johnson,Wisconsin,Republican
54,Wed May 03 12:30:01 +0000 2017,8.59747E+17,4,6,Watch live 11 am CT @SenRonJohnson on @CatoInstitute panel discuss legislation for state-based visa pilot program. https://t.co/Nq7ormmaX8,SenRonJohnson,Ron Johnson,Wisconsin,Republican
55,Wed May 03 00:29:41 +0000 2017,8.59566E+17,35,14,Thank you @VP for the dinner invitation tonight. https://t.co/MIr1hQbWBR,SenRonJohnson,Ron Johnson,Wisconsin,Republican
56,Tue May 02 15:18:05 +0000 2017,8.59427E+17,18,2,Such a pleasure to meet @americanmothers' Mother of the Year #WI winner @RobynVining from Wauwatosa. Congrats!… https://t.co/imM2npjKSv,SenRonJohnson,Ron Johnson,Wisconsin,Republican
57,Tue May 02 14:00:04 +0000 2017,8.59407E+17,23,2,"Pineapple as a pizza topping? Listen to Sen. Johnson’s new “Hey, Wisconsin” podcast to hear his thoughts https://t.co/Wi1SC2IrNA",SenRonJohnson,Ron Johnson,Wisconsin,Republican
58,Tue May 02 00:18:46 +0000 2017,8.592E+17,8,2,Great to meet Wisconsin's Cherry Blossom princess @greekmaria today. Learn more about this leadership program here:… https://t.co/uavjh79FRQ,SenRonJohnson,Ron Johnson,Wisconsin,Republican
59,Mon May 01 18:19:52 +0000 2017,8.5911E+17,2,2,"2/2 While a  short-term solution has been reached, my office will remain engaged w/ @USTradeRep @USDA &amp; state government officials.",SenRonJohnson,Ron Johnson,Wisconsin,Republican
60,Mon May 01 18:18:36 +0000 2017,8.5911E+17,3,6,1/2 Pleased to learn all but a few of our WI dairy farm families affected by Canadian actions have signed contracts w/ new milk processors.,SenRonJohnson,Ron Johnson,Wisconsin,Republican
