,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 20:57:36 +0000 2017,8.66398E+17,1,2,"Had a good discussion w/local officials, first responders &amp; Corps of Engineers in Arnold regarding flood recovery &amp;… https://t.co/HXKzcIg5RZ",RoyBlunt,Roy Blunt,Missouri,Republican
1,Sun May 21 18:51:37 +0000 2017,8.66366E+17,6,6,"Met w/ local officials in Eureka for an update on flood recovery efforts impacting local schools, families &amp; small… https://t.co/eBM6bfpq3c",RoyBlunt,Roy Blunt,Missouri,Republican
2,Sat May 20 12:28:00 +0000 2017,8.65907E+17,21,2,Tune in as I join @RandyToblerMD on @971FMTalk this morning at 9:10 am CT. Listen live here: https://t.co/6cVoQRzUrL,RoyBlunt,Roy Blunt,Missouri,Republican
3,Fri May 19 21:38:00 +0000 2017,8.65683E+17,11,5,Congratulations to graduates of @MissouriState’s Dept. of Defense &amp; Strategic Studies program. Very proud of what t… https://t.co/qDaYIQqrCB,RoyBlunt,Roy Blunt,Missouri,Republican
4,Fri May 19 18:52:21 +0000 2017,8.65641E+17,13,14,New bill would help connect more children in need of homes w/ families eager to adopt https://t.co/6TkXZmky9F,RoyBlunt,Roy Blunt,Missouri,Republican
5,Fri May 19 17:07:13 +0000 2017,8.65615E+17,25,8,"Every child deserves a permanent, safe, loving home no matter where they are born: https://t.co/6TkXZmky9F",RoyBlunt,Roy Blunt,Missouri,Republican
6,Thu May 18 23:00:03 +0000 2017,8.65341E+17,14,5,BRIDGE Act is a bipartisan bill that will provide much-needed resources to strengthen our infrastructure… https://t.co/Q7Z01J3tqO,RoyBlunt,Roy Blunt,Missouri,Republican
7,Thu May 18 21:54:05 +0000 2017,8.65325E+17,12,10,"Improving MO’s infrastructure will help farmers, manufacturers, &amp; small businesses compete in a global economy:… https://t.co/PTEIne2jIE",RoyBlunt,Roy Blunt,Missouri,Republican
8,Thu May 18 20:48:09 +0000 2017,8.65308E+17,6,7,Military Family Stability Act would provide much-needed flexibility for military families facing an ill-timed move:… https://t.co/ZHIlt2GO1N,RoyBlunt,Roy Blunt,Missouri,Republican
9,Thu May 18 18:23:49 +0000 2017,8.65272E+17,8,8,Yesterday I reintroduced a bipartisan bill to improve MO’s infrastructure &amp; help spur economic growth:… https://t.co/PArwdxP4lG,RoyBlunt,Roy Blunt,Missouri,Republican
10,Thu May 18 14:40:54 +0000 2017,8.65216E+17,4,4,Just reintroduced a bill to provide more flexibility for military families. Learn more: https://t.co/LUupNytkNd,RoyBlunt,Roy Blunt,Missouri,Republican
11,Thu May 18 13:49:15 +0000 2017,8.65203E+17,10,4,Families are the backbone of our military https://t.co/LUupNytkNd Helping address challenges they face is a readiness &amp; retention issue,RoyBlunt,Roy Blunt,Missouri,Republican
12,Tue May 16 22:45:02 +0000 2017,8.64613E+17,37,13,"During National Police Week, we honor the men &amp; women who put themselves in harm’s way to keep our communities safe… https://t.co/rnjfx96wUl",RoyBlunt,Roy Blunt,Missouri,Republican
13,Tue May 16 21:07:09 +0000 2017,8.64588E+17,20,18,Missouri lost three law enforcement officers in the line of duty this past year. Our prayers remain with the famili… https://t.co/ofx95LNeLi,RoyBlunt,Roy Blunt,Missouri,Republican
14,Tue May 16 18:20:24 +0000 2017,8.64546E+17,13,13,Letter from @ECCPresident &amp; @DixonRob highlights how year-round Pell makes college more affordable https://t.co/CbUHo7gGlF via @CoMissourian,RoyBlunt,Roy Blunt,Missouri,Republican
