,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 16:58:31 +0000 2017,8.66337E+17,16,55,It's not just me saying it https://t.co/Pwb2H3YBbr,SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
1,Fri May 19 21:20:43 +0000 2017,8.65679E+17,15,38,It’s hard not to take him at his own word. https://t.co/PEROjBX779,SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
2,Fri May 19 20:16:09 +0000 2017,8.65662E+17,8,75,Good to see this released to the public. https://t.co/CyH5JGHyBg,SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
3,Fri May 19 20:06:20 +0000 2017,8.6566E+17,3,3,"Our #workerscomp system is a success 25 years after #RI labor, biz &amp; insurers came together to fix it. Proud to hav… https://t.co/crR5dzqSFn",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
4,Fri May 19 19:38:41 +0000 2017,8.65653E+17,4,4,"#PoliceWeek is coming to an end, but each &amp; every day, we have the chance to show appreciation for our brave officers. Thank one today!",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
5,Fri May 19 19:06:32 +0000 2017,8.65645E+17,6,28,"Neocon (former) Republican Kagan says Trump is so bad Republicans should consider abandoning sinking ship.

https://t.co/BPRADUrmT2",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
6,Fri May 19 18:59:47 +0000 2017,8.65643E+17,10,104,"Turk thugs assault U.S. diplomatic security and flee country -- for these people we won't say Armenian genocide?

https://t.co/yEMiJe1tNH",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
7,Fri May 19 18:05:48 +0000 2017,8.6563E+17,35,800,"RT if you're as outraged as I am. Yesterday, @POTUS' @FCC voted to begin dismantling a free &amp; open internet. We must protect #NetNeutrality!",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
8,Thu May 18 22:43:11 +0000 2017,8.65337E+17,0,29,Thanks @RepTedDeutch for partnering with me to make sure our government works for everyone &amp; not just big corporati… https://t.co/PoljYNnhFS,SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
9,Thu May 18 21:50:10 +0000 2017,8.65324E+17,4,18,"...revealing 'fact of' something often points the way to the 'fact how' - to the very sources &amp; methods they claim they're not threatening.""",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
10,Thu May 18 21:49:49 +0000 2017,8.65324E+17,2,18,"Former CIA Director Hayden agrees: ""The administration contends neither sources nor methods were discussed. That may be true enough, but...",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
11,Thu May 18 21:38:18 +0000 2017,8.65321E+17,4,13,"@POTUS (2/2) ...he doesn't obstruct justice by questioning if a subordinate should, or shouldn’t, pursue a given ca… https://t.co/o4P3zrzTvp",SenWhitehouse,Sheldon Whitehouse,Rhode Island,Democratic
