,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 16:39:00 +0000 2017,8.66333E+17,4,4,Honored to receive @OppFinance #CDFI Champ Award. Let’s keep working together to help create jobs and economic oppo… https://t.co/krcpcgNecm,SenCapito,Shelly Moore Capito,West Virginia,Republican
1,Sun May 21 14:03:00 +0000 2017,8.66293E+17,2,1,"From #Infrastructure to flood recovery &amp; helping our most vulnerable, lots to report. Read about it in my newslette… https://t.co/2FEpl9pbOa",SenCapito,Shelly Moore Capito,West Virginia,Republican
2,Sat May 20 17:07:41 +0000 2017,8.65977E+17,0,2,Caught up with @wtaptelevision to talk about my effort to help infants recovering from withdrawal. Here's the report https://t.co/of4TgvwsDU,SenCapito,Shelly Moore Capito,West Virginia,Republican
3,Sat May 20 15:09:17 +0000 2017,8.65948E+17,5,3,Always great hearing about WVians making a difference. Natalie Spaid stopped by this wk to discuss how her non-prof… https://t.co/YCBhviOASb,SenCapito,Shelly Moore Capito,West Virginia,Republican
4,Sat May 20 13:01:00 +0000 2017,8.65915E+17,3,3,Good editorial by @Register_Herald this week about my efforts to protect funding for anti-drug programs: https://t.co/W6wHGLBdqQ,SenCapito,Shelly Moore Capito,West Virginia,Republican
5,Fri May 19 19:23:42 +0000 2017,8.65649E+17,1,3,"Met w/ #WV Members of @NATA1950 this wk to discuss a bill I’m supporting to help our student athletes, teams &amp; trai… https://t.co/cryxoX3r0x",SenCapito,Shelly Moore Capito,West Virginia,Republican
6,Fri May 19 18:17:00 +0000 2017,8.65632E+17,1,1,"From #infrastructure to helping the most vulnerable recover from addiction, learn about my latest efforts here: https://t.co/y6wIrCIxHX",SenCapito,Shelly Moore Capito,West Virginia,Republican
7,Fri May 19 17:52:27 +0000 2017,8.65626E+17,1,7,Pausing to remember and honor fallen WV miner Luches Rossner. My thoughts go out to his family and friends during this difficult time.,SenCapito,Shelly Moore Capito,West Virginia,Republican
8,Fri May 19 15:03:18 +0000 2017,8.65584E+17,0,4,Had the opportunity to thank @AppServProject for their volunteer efforts in Greenbrier County following #wvflood. https://t.co/TVLYIweqhj,SenCapito,Shelly Moore Capito,West Virginia,Republican
9,Thu May 18 22:46:00 +0000 2017,8.65338E+17,13,3,Happy to announce Bluestone Health Assoc in Princeton is getting more than $2.3M to continue delivering care --&gt; https://t.co/Kzx5iuXVmz,SenCapito,Shelly Moore Capito,West Virginia,Republican
10,Thu May 18 22:14:43 +0000 2017,8.6533E+17,2,11,Trying to rename the Huntington VA after West Virginia’s very own @WoodyWilliams45. Learn more:… https://t.co/kcJNhjI5Qz,SenCapito,Shelly Moore Capito,West Virginia,Republican
11,Thu May 18 21:50:06 +0000 2017,8.65324E+17,1,1,Met up w/ Ruffner Elementary students today on the Senate steps. Have a great field trip! https://t.co/57v1XLJWQY,SenCapito,Shelly Moore Capito,West Virginia,Republican
12,Thu May 18 18:21:01 +0000 2017,8.65271E+17,4,5,WVians rely on roads &amp; bridges to access hard-to-reach places and transport goods across the nation. #TimetoBuild https://t.co/5RTE9AUUXv,SenCapito,Shelly Moore Capito,West Virginia,Republican
13,Thu May 18 17:46:33 +0000 2017,8.65262E+17,2,3,ICYMI: Learn about my efforts to help provide care like @LilysPlaceWV for babies born addicted to opioids: https://t.co/3acO6gBuLe,SenCapito,Shelly Moore Capito,West Virginia,Republican
14,Thu May 18 14:07:43 +0000 2017,8.65207E+17,0,1,My staff was all smiles at last week’s Mother’s Day celebration at the Hansford Senior Center! https://t.co/dzYejchPfu,SenCapito,Shelly Moore Capito,West Virginia,Republican
15,Wed May 17 23:34:00 +0000 2017,8.64987E+17,5,5,I’m working to expand access to substance abuse treatment for Medicaid beneficiaries in WV &amp; across America. MORE: https://t.co/SUu8o1ZxPs,SenCapito,Shelly Moore Capito,West Virginia,Republican
16,Wed May 17 23:07:54 +0000 2017,8.64981E+17,3,6,Improving our #infrastructure can bring new jobs &amp; opportunities to #WV. #TimeToBuild,SenCapito,Shelly Moore Capito,West Virginia,Republican
17,Wed May 17 23:07:24 +0000 2017,8.64981E+17,0,4,Proud to be a Congressional co-chair for #InfrastructureWeek. This is an important issue to #WV &amp; has the power to transform America.,SenCapito,Shelly Moore Capito,West Virginia,Republican
18,Wed May 17 22:30:17 +0000 2017,8.64971E+17,1,3,Had a blast running in the @ACLINews #CapChallenge w/ my staff. Great showing by Team Capito! https://t.co/lhN2OIrh5I,SenCapito,Shelly Moore Capito,West Virginia,Republican
19,Wed May 17 22:14:00 +0000 2017,8.64967E+17,14,40,Great meeting w @NASCAR’s @KyleBusch to hear how he &amp; @SamanthaBusch are helping couples through IVF &amp; their work w… https://t.co/Uh3dtSuG7T,SenCapito,Shelly Moore Capito,West Virginia,Republican
20,Wed May 17 21:58:00 +0000 2017,8.64963E+17,1,5,Proud to support our law enforcement officers by co-sponsoring the Back the Blue Act today. Learn more: https://t.co/c0WQfDiiFg,SenCapito,Shelly Moore Capito,West Virginia,Republican
