,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Mon May 22 00:51:38 +0000 2017,8.66456E+17,2,18,"Nothing says ""glad to be home"" like an early lead - @cavs are already on their way to victory in Game 3! #DefendTheLand",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
1,Sat May 20 17:58:04 +0000 2017,8.6599E+17,3,82,"On #ArmedForcesDay, we express our gratitude to all servicemembers &amp; veterans – thank you for your service &amp; your s… https://t.co/QVHbp4ibOC",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
2,Fri May 19 20:52:11 +0000 2017,8.65671E+17,5,22,"After Wednesday's big win, looking forward to another @cavs victory tonight before we welcome them back to Cleveland on Sunday.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
3,Fri May 19 18:20:33 +0000 2017,8.65633E+17,16,70,"We can create jobs building the roads, transit, and broadband systems that will support our 21st century economy. -SB #InfrastructureWeek",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
4,Fri May 19 15:54:50 +0000 2017,8.65597E+17,7,49,It's been never been more important to protect our endangered species - as well as the legislation that supports them. #EndangeredSpeciesDay,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
5,Fri May 19 15:54:39 +0000 2017,8.65597E+17,3,21,"In 2011, the Lake Erie water snake was delisted from the endangered species list after recovery efforts supported by Endangered Species Act.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
6,Fri May 19 14:50:46 +0000 2017,8.6558E+17,11,15,It's time for @POTUS to get to work fixing US - China trade relations. Good to discuss my ideas in Niles this week. https://t.co/07olPlWW3i,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
7,Thu May 18 21:36:24 +0000 2017,8.6532E+17,26,118,"But if you fight for the little guy by excluding certain people...it’s not real populism. -SB

From @thehill → https://t.co/LDQejbqNRu",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
8,Thu May 18 19:42:03 +0000 2017,8.65291E+17,4,36,Red tape shouldn’t keep Ohioans from needed treatment and this simple fix will provide real relief to those struggl… https://t.co/bAu793hnYo,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
9,Thu May 18 18:19:19 +0000 2017,8.65271E+17,28,180,A reminder to those working on the new healthcare plan this #WomensHealthWeek: women shouldn't have to pay more simply b/c they're women.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
10,Thu May 18 17:53:15 +0000 2017,8.65264E+17,2,22,WATCH LIVE: Sherrod honors Ohio's fallen police officers on the Senate floor. https://t.co/S45whDzdEu,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
11,Thu May 18 15:55:17 +0000 2017,8.65234E+17,5,15,"As w/ every trade deal, I’ll hold this Admin’s approach to NAFTA to the same standard I’ve always used: does it put Ohio workers first? -SB",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
12,Thu May 18 15:55:04 +0000 2017,8.65234E+17,6,18,Today we are one step closer to providing long overdue relief for Ohioans hurt by NAFTA.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
13,Thu May 18 13:48:56 +0000 2017,8.65203E+17,7,37,Urged the DOJ this week to speed up the distribution of funding for the Comprehensive Opioid Abuse Program. Our com… https://t.co/OoY1Musush,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
14,Thu May 18 13:48:16 +0000 2017,8.65202E+17,7,46,"This weekend, an Ohio patrolman suffered an accidental fentanyl overdose when he brushed a white residue from his shirt after an arrest.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
15,Thu May 18 00:43:59 +0000 2017,8.65005E+17,6,25,These jerseys hang in our office &amp; we're extra proud to display them tonight. Ready for the @cavs 1st game in the E… https://t.co/PqGkoiMO3b,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
16,Wed May 17 23:25:28 +0000 2017,8.64985E+17,31,128,"The investigation needs to be done right and it needs to be done swiftly, so the American people can get the answers they deserve. -SB",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
17,Wed May 17 23:25:16 +0000 2017,8.64985E+17,18,81,An independent investigation is long overdue.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
18,Wed May 17 21:38:39 +0000 2017,8.64958E+17,5,14,"Proud to work with @senrobportman, @SenCapito, and @SenAngusKing on this important effort: https://t.co/FE38c0i0j2",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
19,Wed May 17 21:37:58 +0000 2017,8.64958E+17,4,42,Introduced legislation today to help babies suffering from addiction recover in the best care setting &amp; provide support for their families.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
20,Wed May 17 20:44:44 +0000 2017,8.64945E+17,7,47,"All of our children - no matter their color, race, or gender - deserve access to equal, quality education. Our fight for that continues.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
21,Wed May 17 20:44:28 +0000 2017,8.64945E+17,5,54,"63 yrs ago, the Supreme Court ruled in Brown v. Board &amp; outlawed segregation in public schools - an important step forward for our country.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
22,Wed May 17 19:00:15 +0000 2017,8.64919E+17,19,87,@AkronChildrens @nationwidekids @DaytonChildrens @UHRainbowBabies @CincyChildrens @ClevelandClinic Cutting Medicaid… https://t.co/aDvhFI7lK7,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
23,Wed May 17 18:58:55 +0000 2017,8.64918E+17,10,92,@AkronChildrens @nationwidekids @DaytonChildrens @UHRainbowBabies @CincyChildrens @ClevelandClinic And Ohio schools… https://t.co/rcsrcGsYO8,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
24,Wed May 17 18:57:33 +0000 2017,8.64918E+17,3,14,cc: @AkronChildrens @nationwidekids @DaytonChildrens @UHRainbowBabies @CincyChildrens @ClevelandClinic Children’s,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
25,Wed May 17 18:55:26 +0000 2017,8.64917E+17,10,57,Ohio is home to incredible children’s hospitals that rely on Medicaid to help cover care for children.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
26,Wed May 17 18:54:28 +0000 2017,8.64917E+17,22,191,The House Republicans’ healthcare plan contains dangerous cuts to Medicaid that will put our schools and our children in danger.,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
27,Wed May 17 18:32:10 +0000 2017,8.64911E+17,7,16,Glad to see @POTUS' Admin is answering my call for implementing currency rules in the NAFTA renegotiation. American… https://t.co/xk4SDpqltC,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
28,Wed May 17 18:04:00 +0000 2017,8.64904E+17,18,360,"Who's hurt by attempts to gut #NetNeutrality?
-communities of color
-women
-small biz

Who benefits?
-big broadband
-special interests",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
29,Wed May 17 14:43:22 +0000 2017,8.64854E+17,1,10,"It is also a reminder of the work to be done to ensure officers have the resources they need, and the benefits they deserve.",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
30,Wed May 17 14:43:06 +0000 2017,8.64854E+17,4,20,"During #NationalPoliceWeek, we honor the law enforcement officials serving our communities &amp; remember those who hav… https://t.co/IJ8iVovofZ",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
31,Wed May 17 13:21:10 +0000 2017,8.64833E+17,3,12,Thinking about my friend @SenThomTillis this morning and wishing him a speedy recovery. -SB,SenSherrodBrown,Sherrod Brown,Ohio,Democratic
32,Tue May 16 20:42:35 +0000 2017,8.64582E+17,1,19,"As usual, @maziehirono said it best – she just doesn’t quit. We’re wishing you a speedy recovery &amp; we’ll be by your… https://t.co/sp4hfDBOw6",SenSherrodBrown,Sherrod Brown,Ohio,Democratic
