,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 15:04:32 +0000 2017,8.66309E+17,18,4,A great day of spring fishing in Montana https://t.co/aGceXmu199,SteveDaines,Steve Daines,Montana,Republican
1,Sat May 20 00:34:24 +0000 2017,8.65727E+17,17,10,Pleased to see the Crow Tribal leadership endorse @GregForMontana https://t.co/GzvmhuWeQS,SteveDaines,Steve Daines,Montana,Republican
2,Fri May 19 21:31:42 +0000 2017,8.65681E+17,8,1,Great afternoon in Bozeman with the Montana Logging Association. https://t.co/sFTUaNNFy7,SteveDaines,Steve Daines,Montana,Republican
3,Fri May 19 03:04:51 +0000 2017,8.65403E+17,18,4,It's important that speculation doesn't get ahead of the facts. https://t.co/7AXmMohAzj,SteveDaines,Steve Daines,Montana,Republican
4,Thu May 18 22:55:27 +0000 2017,8.6534E+17,2,2,Meant to copy you on this @BenSasse https://t.co/Hx1l6ezhNJ,SteveDaines,Steve Daines,Montana,Republican
5,Thu May 18 22:51:55 +0000 2017,8.65339E+17,9,10,"""Tom, I think we likely pick up two seats in 2020 starting with Nebraska"" https://t.co/zVkfdNobxC",SteveDaines,Steve Daines,Montana,Republican
6,Thu May 18 14:58:04 +0000 2017,8.6522E+17,23,5,My letter to the @billingsgazette on today’s editorial https://t.co/q1T6Bfzg2i,SteveDaines,Steve Daines,Montana,Republican
7,Thu May 18 11:38:57 +0000 2017,8.6517E+17,1,7,Thank you @wheatmontana https://t.co/QpKfHLCSI2,SteveDaines,Steve Daines,Montana,Republican
8,Wed May 17 14:07:09 +0000 2017,8.64845E+17,1,2,Heard Thom is doing well.  Alert and talking. Thankful! https://t.co/wKMSdRe86r,SteveDaines,Steve Daines,Montana,Republican
9,Wed May 17 13:01:21 +0000 2017,8.64828E+17,2,4,"Praying for my good friend and colleague, Thom Tillis. https://t.co/9Uhyh6GgGf",SteveDaines,Steve Daines,Montana,Republican
10,Tue May 16 19:15:25 +0000 2017,8.6456E+17,7,48,A Montana hero. We are forever grateful for his selfless service. https://t.co/IuACoxkFnt,SteveDaines,Steve Daines,Montana,Republican
11,Tue May 16 18:02:12 +0000 2017,8.64542E+17,4,2,"My thoughts and prayers are with the Broadwater County Sheriff's Office, the deputy's family and the community. https://t.co/XT6dPPU8of",SteveDaines,Steve Daines,Montana,Republican
12,Tue May 16 15:40:11 +0000 2017,8.64506E+17,5,5,I stand with Montana law enforcement. Thankful for all they do. https://t.co/O4IHEYkcFQ,SteveDaines,Steve Daines,Montana,Republican
13,Mon May 15 15:41:06 +0000 2017,8.64144E+17,11,3,Montana living. https://t.co/xfyozJabtN,SteveDaines,Steve Daines,Montana,Republican
14,Mon May 15 14:51:00 +0000 2017,8.64131E+17,7,6,A great day! Proud to stand with law enforcement &amp; @VP @SecretaryZinke last Friday in MT. https://t.co/nKJ9o3AHaN,SteveDaines,Steve Daines,Montana,Republican
15,Mon May 15 12:59:06 +0000 2017,8.64103E+17,28,14,I cast my vote for @GregForMontana https://t.co/CDzWu0GgXQ,SteveDaines,Steve Daines,Montana,Republican
16,Sun May 14 23:48:30 +0000 2017,8.63904E+17,17,15,Missoulian endorses Greg Gianforte. Missoulian editorial: Our endorsement in the special election | Editorial | https://t.co/apZKc2fA4y,SteveDaines,Steve Daines,Montana,Republican
17,Sun May 14 21:32:39 +0000 2017,8.6387E+17,21,4,The Billings Gazette endorses Greg Gianforte. https://t.co/l1d6jnqKUg,SteveDaines,Steve Daines,Montana,Republican
18,Sun May 14 16:15:13 +0000 2017,8.6379E+17,8,6,"Happy Mother's Day to the sweetest person I've ever known, my wife Cindy. https://t.co/KRDEvEhLjk",SteveDaines,Steve Daines,Montana,Republican
19,Sun May 14 13:26:57 +0000 2017,8.63747E+17,8,4,Thankful today for my amazing mother!  Happy Mothers Day! https://t.co/YbXnDOuEgg,SteveDaines,Steve Daines,Montana,Republican
20,Sun May 14 13:13:05 +0000 2017,8.63744E+17,10,1,".@helenaironline: @GregForMontana ""knows how to get things done."" https://t.co/bMVEX6VF5u",SteveDaines,Steve Daines,Montana,Republican
21,Sun May 14 12:44:27 +0000 2017,8.63737E+17,9,3,Helena IR endorses Greg Gianforte https://t.co/NT2GSDr7rb,SteveDaines,Steve Daines,Montana,Republican
22,Sat May 13 14:51:57 +0000 2017,8.63406E+17,24,15,Riding for the brand in Montana with @VP and @SecretaryZinke https://t.co/zs3OnZMLcd,SteveDaines,Steve Daines,Montana,Republican
23,Sat May 13 05:26:52 +0000 2017,8.63264E+17,43,30,Thumbs up for a great day in Montana with @VP &amp; @GregForMontana! https://t.co/n9yH7JhdiF,SteveDaines,Steve Daines,Montana,Republican
24,Sat May 13 00:45:16 +0000 2017,8.63193E+17,21,11,Getting the rally underway in Billings with @VP to support @GregForMontana! https://t.co/Xw0CMEM8Cj,SteveDaines,Steve Daines,Montana,Republican
25,Fri May 12 22:55:31 +0000 2017,8.63166E+17,21,17,At the top of Absaloka Mine discussing importance of coal to Montana's economy and jobs with @VP &amp; @SecretaryZinke. https://t.co/qhiyZFqnnz,SteveDaines,Steve Daines,Montana,Republican
26,Fri May 12 22:34:56 +0000 2017,8.63161E+17,34,13,".@VP in Hardin, MT: ""The war on coal is over."" https://t.co/vppbZgfzRB",SteveDaines,Steve Daines,Montana,Republican
27,Fri May 12 22:33:35 +0000 2017,8.6316E+17,36,54,On horses in Crow Country with the @VP &amp; @SecretaryZinke. Beautiful day. https://t.co/U9ysIvdvO9,SteveDaines,Steve Daines,Montana,Republican
28,Fri May 12 18:43:49 +0000 2017,8.63102E+17,33,29,"On the way to Billings, MT with @VP to talk good-paying energy jobs. https://t.co/CX6havwKFQ",SteveDaines,Steve Daines,Montana,Republican
29,Fri May 12 14:54:04 +0000 2017,8.63045E+17,36,11,Montana bound. #AF2 https://t.co/9zJH87LGZ8,SteveDaines,Steve Daines,Montana,Republican
30,Fri May 12 11:51:07 +0000 2017,8.62999E+17,7,16,This is big news for MT and our beef industry. China is 2nd largest beef import market. https://t.co/dTeuqY8zbX,SteveDaines,Steve Daines,Montana,Republican
31,Fri May 12 04:54:56 +0000 2017,8.62894E+17,46,13,"It will be difficult to win rural Montana voters with an ""F"" rating from the @NRA.        https://t.co/nIUdcIxxhi",SteveDaines,Steve Daines,Montana,Republican
32,Fri May 12 00:27:56 +0000 2017,8.62827E+17,26,6,"Looking forward to being in Billings tomorrow with @VP, @GregForMontana, and @RyanZinke https://t.co/wiNvMcpYFh",SteveDaines,Steve Daines,Montana,Republican
33,Thu May 11 15:25:47 +0000 2017,8.6269E+17,10,3,I fully agree with Sen Lankford's remarks and appreciate his leadership as a member of the Senate Intelligence Comm https://t.co/OFuLzO54qE,SteveDaines,Steve Daines,Montana,Republican
34,Thu May 11 10:37:13 +0000 2017,8.62618E+17,4,3,Thankful she was found safe and sound! https://t.co/nxkjOoY3qb,SteveDaines,Steve Daines,Montana,Republican
35,Wed May 10 17:03:17 +0000 2017,8.62352E+17,108,10,My statement on Comey 👇🏼 https://t.co/JQcD2P5oSO,SteveDaines,Steve Daines,Montana,Republican
