,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 23:34:39 +0000 2017,8.6535E+17,32,94,Sen. Collins’ statement following briefing from Deputy Attorney General Rosenstein https://t.co/4bzxXlCvLb… https://t.co/OWQJPpjsep,SenatorCollins,Susan Collins,Maine,Republican
1,Thu May 18 16:57:02 +0000 2017,8.6525E+17,5,7,"LIVE: Sen. Collins speaks from Senate floor on her bill to help law enforcement prevent gun trafficking #mepolitics 
https://t.co/58PhhhFRj9",SenatorCollins,Susan Collins,Maine,Republican
2,Wed May 17 22:55:14 +0000 2017,8.64978E+17,23,37,Senator Collins’ statement on appointment of former FBI Director Robert Mueller as special counsel #mepolitics https://t.co/Ku6hk5V75e,SenatorCollins,Susan Collins,Maine,Republican
3,Wed May 17 22:32:24 +0000 2017,8.64972E+17,29,57,Excellent choice for special counsel by Deputy AG. Fmr FBI Director Bob Mueller has sterling credentials &amp; is above reproach #mepolitics,SenatorCollins,Susan Collins,Maine,Republican
4,Wed May 17 21:18:41 +0000 2017,8.64953E+17,10,6,Thank you Meg Callaway of Old Town for providing expert testimony on how we can make age-friendly communities for s… https://t.co/Ymgaj1ndMc,SenatorCollins,Susan Collins,Maine,Republican
5,Wed May 17 18:20:55 +0000 2017,8.64909E+17,18,3,"Good meeting w/ Col. Christopher Barron, Commander of @CorpsNewEngland. The Army Corps does much important work in Maine #mepolitics",SenatorCollins,Susan Collins,Maine,Republican
6,Wed May 17 13:35:11 +0000 2017,8.64837E+17,25,10,WATCH LIVE: Sen. Collins chairs @SenateAging Committee hearing on age-friendly communities &amp; initiatives #mepolitics https://t.co/OuPDD443Kb,SenatorCollins,Susan Collins,Maine,Republican
7,Mon May 15 13:28:45 +0000 2017,8.6411E+17,115,12,Delighted to join @SenAngusKing in welcoming Biddeford Middle School 8th graders to our nation's capital.… https://t.co/TQhcnE4uMs,SenatorCollins,Susan Collins,Maine,Republican
8,Sun May 14 18:33:19 +0000 2017,8.63825E+17,32,5,Honored to have Aiden Sweeney of Yarmouth present me w/ @JDRF Hero Award. We first met @ a hearing I chaired in '06… https://t.co/eUxRmf82zA,SenatorCollins,Susan Collins,Maine,Republican
9,Sat May 13 16:05:31 +0000 2017,8.63425E+17,27,6,Congrats to Katie Waeldner of Yarmouth &amp; Bella Rossborough of Kennebunk on being Maine’s @PruSpirit honorees. 2 ver… https://t.co/cjasT1wBxK,SenatorCollins,Susan Collins,Maine,Republican
10,Fri May 12 22:11:30 +0000 2017,8.63155E+17,52,22,Today's hack of hospital databases in many countries demonstrates widespread vulnerability of cyber systems (esp. unpatched ones) worldwide,SenatorCollins,Susan Collins,Maine,Republican
