,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 21:19:00 +0000 2017,8.66403E+17,3,29,This is about taking on a #BigPharma and fighting for accountability and fairness.  https://t.co/gT0nClKYns,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
1,Sun May 21 20:21:00 +0000 2017,8.66388E+17,1,5,Continued funding for the Lifespan Respite Care program will ensure #caregivers can access the support they need. https://t.co/hnfCKzl1zi,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
2,Sun May 21 19:29:01 +0000 2017,8.66375E+17,7,31,I am working across party lines with @SenJohnMcCain to hold #BigPharma accountable for skyrocketing prices. https://t.co/9pfBwT9f2L,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
3,Sun May 21 18:20:00 +0000 2017,8.66358E+17,1,8,Joined forces with @SenatorCollins in the Senate to introduce bipartisan legislation to support family #caregivers.… https://t.co/sfVEyL6t9f,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
4,Sun May 21 17:13:00 +0000 2017,8.66341E+17,7,34,"#ICYMI - Baldwin, McCain bill would require drug companies to justify steep price increases @WiStateJournal https://t.co/UlBF93Rj9Y",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
5,Sun May 21 15:07:01 +0000 2017,8.66309E+17,0,9,The #Veterans ACCESS Act would prevent doctors once fired or suspended from the VA from treating our veterans again. https://t.co/dYCpZ50pn3,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
6,Sun May 21 13:17:01 +0000 2017,8.66282E+17,0,5,"This week, I led a group of my Senate colleagues in calling for additional funding to combat the opioid epidemic. https://t.co/h25tGDrCAK",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
7,Sat May 20 21:12:00 +0000 2017,8.66039E+17,12,44,Student loan debt in America totals more than $1.4 trillion. We must take action. #BankOnStudents #HigherEdNotDebt https://t.co/8rO76v4jme,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
8,Sat May 20 18:12:00 +0000 2017,8.65994E+17,3,22,Intro’d legislation w/@SenWarren to take on the growing student debt crisis in our country. #HigherEdNotDebt https://t.co/8rO76v4jme,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
9,Sat May 20 15:34:01 +0000 2017,8.65954E+17,1,18,Working students shouldn't be penalized with less access to financial aid. Proud to introduce this with @RepBera. https://t.co/VrzFQkPZXB,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
10,Sat May 20 13:10:01 +0000 2017,8.65918E+17,8,139,This week the @FCC voted to start the process to roll back strong #NetNeutrality protections. Make your voice heard! https://t.co/epTkLmwBd1,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
11,Fri May 19 21:59:03 +0000 2017,8.65688E+17,1,20,Be sure to tune in to @matteroffacttv this weekend to catch my conversation with @soledadobrien on my FAIR Drug Pri… https://t.co/oRvGYPoUzG,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
12,Fri May 19 19:00:25 +0000 2017,8.65643E+17,1,4,"@POTUS If President Trump chooses to stop making payments, the result would be higher premiums that could lead to more uninsured.",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
13,Fri May 19 19:00:04 +0000 2017,8.65643E+17,7,47,@POTUS The Trump Administration is playing politics w/ payments that lower Wisconsinites out-of-pocket costs. That'… https://t.co/hgdjxTq7fP,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
14,Fri May 19 18:59:36 +0000 2017,8.65643E+17,7,68,"@POTUS is holding health care hostage for more than 120,000 Wisconsinites by threatening to withhold payments that keep deductibles low.",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
15,Fri May 19 17:01:49 +0000 2017,8.65613E+17,6,10,"A college education should be a path to prosperity, not a path to crippling debt. #BankOnStudents #HigherEdNotDebt
https://t.co/8rO76v4jme",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
16,Fri May 19 15:05:37 +0000 2017,8.65584E+17,1,37,Proud to join @SenWarren on #BankOnStudents legislation to take on growing student loan debt crisis #HigherEdNotDebt https://t.co/8rO76v4jme,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
17,Fri May 19 14:03:52 +0000 2017,8.65569E+17,12,59,The Trump Administration is creating growing uncertainty that is going to raise health care costs for you. https://t.co/iNN4J2gR3f,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
18,Thu May 18 23:28:35 +0000 2017,8.65348E+17,2,17,"Please help get the word out on relief guidance for resources, donations and volunteering to help with the recovery… https://t.co/GMy7Pm2LOz",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
19,Thu May 18 23:26:31 +0000 2017,8.65348E+17,2,8,Spoke with Barron and Rusk County local officials today. Thanks to the entire community for helping with the recovery.,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
20,Thu May 18 22:02:01 +0000 2017,8.65327E+17,6,11,I have traveled the state of Wisconsin and seen the opioid epidemic up close. More must be done. https://t.co/6mdu6V68m7,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
21,Thu May 18 21:32:46 +0000 2017,8.65319E+17,6,20,"Today, I led a group of 31 senators in calling for increased federal funding to help combat the opioid epidemic.… https://t.co/jO5BcBonbp",SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
22,Thu May 18 20:53:00 +0000 2017,8.65309E+17,1,8,“Senator Baldwin says the increase in prices is becoming a huge out of pocket expense for many Wisconsinites.” https://t.co/6f7dPCBmZf,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
23,Thu May 18 20:30:03 +0000 2017,8.65303E+17,5,31,.@POTUS and @BetsyDeVosED's budget plan would make devastating #EdFunding cuts to public schools and affordable higher education.,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
24,Thu May 18 17:32:00 +0000 2017,8.65259E+17,2,9,.@NASA Budget Cuts: Senators Baldwin &amp; @timkaine Urge Trump Not To Slash Agency's Office Of Education @IBTimes - https://t.co/dvDABSojHN,SenatorBaldwin,Tammy Baldwin,Wisconsin,Democratic
