,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 16:35:32 +0000 2017,8.65244E+17,22,98,Led by your own administration's Department of Justice? https://t.co/TZ6aJ0Tb9y,SenDuckworth,Tammy Duckworth,Illinois,Democratic
1,Thu May 18 01:37:50 +0000 2017,8.65019E+17,14,100,"The chaos coming out of the WH undermines that goal, putting US Troops at greater risk &amp; jeopardizing America’s sta… https://t.co/fTsERJK8tw",SenDuckworth,Tammy Duckworth,Illinois,Democratic
2,Thu May 18 01:35:37 +0000 2017,8.65018E+17,10,29,"During his confirmation process, Secretary Mattis called for comprehensive plans and strategies to confront Russian aggression",SenDuckworth,Tammy Duckworth,Illinois,Democratic
3,Wed May 17 23:33:13 +0000 2017,8.64987E+17,10,72,Special Counsel Mueller’s investigation must be fully-resourced and remain free of WH influence so the American people can get the truth,SenDuckworth,Tammy Duckworth,Illinois,Democratic
4,Wed May 17 23:31:44 +0000 2017,8.64987E+17,35,135,Appointing a special counsel is a positive step to help protect our democracy and ensure Trump-Russia ties are full… https://t.co/tOOP1ZCiRE,SenDuckworth,Tammy Duckworth,Illinois,Democratic
5,Wed May 17 19:15:46 +0000 2017,8.64922E+17,1,15,Honored to join colleagues &amp; leaders yesterday evening at @APAICS to celebrate the contributions &amp; accomplishments… https://t.co/1ZvNjVCqAB,SenDuckworth,Tammy Duckworth,Illinois,Democratic
6,Wed May 17 19:03:36 +0000 2017,8.64919E+17,2,51,Proud to support #IDAHOT 2017—no person should ever be discriminated against or face bigotry due to their gender or sexual orientation,SenDuckworth,Tammy Duckworth,Illinois,Democratic
7,Wed May 17 17:44:12 +0000 2017,8.64899E+17,13,55,".@MartinHeinrich, @SenWarren &amp; I are demanding @JusticeOIG start an investigation into this critical matter ASAP https://t.co/C9kEqUACEy",SenDuckworth,Tammy Duckworth,Illinois,Democratic
8,Wed May 17 17:43:09 +0000 2017,8.64899E+17,43,321,"As new reports on Trump-Russia ties surface by the hour, it’s vital we get to the bottom of AG Sessions’ role in the firing of FBI Dir Comey",SenDuckworth,Tammy Duckworth,Illinois,Democratic
9,Wed May 17 16:49:32 +0000 2017,8.64886E+17,3,10,Wishing you a speedy recovery and can’t wait to see you back at work https://t.co/VcFwi0SJRP,SenDuckworth,Tammy Duckworth,Illinois,Democratic
10,Wed May 17 14:07:49 +0000 2017,8.64845E+17,3,17,"Yesterday, I talked about expanding homeownership &amp; housing opportunities for Veterans with Illinois members of… https://t.co/LxXBuMEYVb",SenDuckworth,Tammy Duckworth,Illinois,Democratic
11,Wed May 17 00:37:31 +0000 2017,8.64641E+17,27,125,Message for President Trump: Russia is not our friend https://t.co/XlkLUkh4Ki,SenDuckworth,Tammy Duckworth,Illinois,Democratic
12,Wed May 17 00:16:46 +0000 2017,8.64636E+17,6,31,Glad to discuss my bill to award WWII Chinese American Vets the Congressional Medal of Honor w/ Chinese American Ci… https://t.co/HUaaDB4ILn,SenDuckworth,Tammy Duckworth,Illinois,Democratic
13,Tue May 16 23:08:42 +0000 2017,8.64619E+17,108,1080,"I eagerly await the White House’s 2nd, 5th and 9th explanations for this one https://t.co/XW8s84sVT1",SenDuckworth,Tammy Duckworth,Illinois,Democratic
14,Tue May 16 20:48:10 +0000 2017,8.64583E+17,0,41,"Best wishes to you, @maziehirono, and your loved ones—I know you'll keep fighting for the people of Hawaii, and I w… https://t.co/24ydgVqmHd",SenDuckworth,Tammy Duckworth,Illinois,Democratic
15,Tue May 16 19:34:25 +0000 2017,8.64565E+17,23,100,We deserve to know what’s really going on here—and it's clear as day that only an independent special prosecutor can get the answers we need,SenDuckworth,Tammy Duckworth,Illinois,Democratic
16,Tue May 16 19:33:29 +0000 2017,8.64564E+17,30,318,President Trump’s reckless treatment of classified information from a U.S. ally poses a serious threat to our natio… https://t.co/rtsrKPjWaq,SenDuckworth,Tammy Duckworth,Illinois,Democratic
17,Tue May 16 18:03:00 +0000 2017,8.64542E+17,47,400,"Every Second Lieutenant is held to this standard. Does your advice apply to the Commander-in-Chief, too? https://t.co/MsoTv9jzeM",SenDuckworth,Tammy Duckworth,Illinois,Democratic
18,Tue May 16 16:30:11 +0000 2017,8.64518E+17,225,3182,A reminder for POTUS before his meeting with President Erdogan: classified intel is not something you use to impress your friends,SenDuckworth,Tammy Duckworth,Illinois,Democratic
19,Tue May 16 01:40:16 +0000 2017,8.64294E+17,26,134,"If President Trump truly cares about helping victims of Assad's brutal regime, he should start by opening America’s doors to #SyrianRefugees",SenDuckworth,Tammy Duckworth,Illinois,Democratic
20,Tue May 16 01:39:09 +0000 2017,8.64294E+17,9,114,"The world needs to recognize Assad for the murderous butcher he is, and the Russian-backed Assad regime cannot be allowed to stay in power",SenDuckworth,Tammy Duckworth,Illinois,Democratic
21,Tue May 16 01:38:37 +0000 2017,8.64294E+17,27,336,"A horrifying reminder of why we cannot let human rights take a backseat in U.S. foreign policy, as some have sugges… https://t.co/Ev6NAoCjhy",SenDuckworth,Tammy Duckworth,Illinois,Democratic
22,Mon May 15 21:59:32 +0000 2017,8.64239E+17,130,956,"For a President who complains so much about leaks, this is stunning https://t.co/H6lJvBY2Fm",SenDuckworth,Tammy Duckworth,Illinois,Democratic
23,Mon May 15 20:01:12 +0000 2017,8.64209E+17,11,62,This is a move in the right direction—discriminatory laws that block Americans frm exercising the fundamental right… https://t.co/nJTcZ3EctB,SenDuckworth,Tammy Duckworth,Illinois,Democratic
24,Mon May 15 00:42:10 +0000 2017,8.63917E+17,10,78,Just in time for #MothersDay I intro'd the FAM Act this wk to ensure moms have a safe place to breastfeed their chi… https://t.co/YQMBuhNo8P,SenDuckworth,Tammy Duckworth,Illinois,Democratic
25,Sun May 14 18:36:30 +0000 2017,8.63825E+17,4,39,"Wishing a happy Mother’s Day to mothers across America whose hard work, love and dedication ensures our children an… https://t.co/QXs0A6oUoH",SenDuckworth,Tammy Duckworth,Illinois,Democratic
26,Sat May 13 14:05:02 +0000 2017,8.63395E+17,8,70,I'm proud to help intro the MISSION ZERO Act - a bipartisan bill to improve trauma care at hospitals by hiring experienced military surgeons,SenDuckworth,Tammy Duckworth,Illinois,Democratic
27,Sat May 13 14:04:01 +0000 2017,8.63394E+17,22,78,I learned a lot about trauma care while recovering at Walter Reed. But not every American has access to the same expertise I had.,SenDuckworth,Tammy Duckworth,Illinois,Democratic
28,Sat May 13 00:20:00 +0000 2017,8.63187E+17,9,50,"Great to be back at my alma mater, @NIUlive. I can't believe it's been 25 years since my own #ROTC commissioning ce… https://t.co/wc8IVUy4Yj",SenDuckworth,Tammy Duckworth,Illinois,Democratic
29,Sat May 13 00:00:00 +0000 2017,8.63182E+17,0,32,Honored to speak to hardworking young cadets who are dedicated to serving their country at the @NIUlive ROTC spring… https://t.co/wRRrDGoPDF,SenDuckworth,Tammy Duckworth,Illinois,Democratic
30,Fri May 12 23:11:37 +0000 2017,8.6317E+17,34,85,"Proud to announce my first Senate bill, which cuts red tape for IL #jobs, became law today in record time https://t.co/yI3FCB5ZUS",SenDuckworth,Tammy Duckworth,Illinois,Democratic
31,Fri May 12 15:50:35 +0000 2017,8.63059E+17,8,61,"As we learned from the Flint water crisis, we need to empower regional EPA offices like Chicago’s. Closing them would put families at risk.",SenDuckworth,Tammy Duckworth,Illinois,Democratic
32,Fri May 12 15:48:46 +0000 2017,8.63058E+17,30,199,I wrote to EPA Administrator Scott Pruitt making it clear that closing the Chicago EPA office would jeopardize Amer… https://t.co/ycd3oLNOkX,SenDuckworth,Tammy Duckworth,Illinois,Democratic
