,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 18:37:04 +0000 2017,8.66E+17,67,208,"Today on #CubaIndependenceDay we pray for Cubans still living under the brutal, communist Castro regime https://t.co/mSUQQNRpKx",SenTedCruz,Ted Cruz,Texas,Republican
1,Sat May 20 13:32:39 +0000 2017,8.66E+17,28,234,On this #ArmedForcesDay we thank the men and women who serve our great nation in uniform,SenTedCruz,Ted Cruz,Texas,Republican
2,Fri May 19 21:35:06 +0000 2017,8.66E+17,51,53,Enjoyed visiting with attendees at the #100kOpportunities job fair in Dallas today! https://t.co/dTVaBEeZE8 https://t.co/1zYxp9n3Xe,SenTedCruz,Ted Cruz,Texas,Republican
3,Fri May 19 14:19:32 +0000 2017,8.66E+17,11,101,Our prayers go out to the family and fellow firefighters of @SATXFire fireman Scott Deem. https://t.co/DPUAmPcZPY,SenTedCruz,Ted Cruz,Texas,Republican
4,Fri May 19 00:52:03 +0000 2017,8.65E+17,38,185,"Congrats to my friend Rachel Brand! Confirmed today, she is the first woman to serve as associate atty general, and she will do a great job.",SenTedCruz,Ted Cruz,Texas,Republican
5,Thu May 18 23:10:12 +0000 2017,8.65E+17,42,109,I commend the targeted sanctions of Venezuela’s judges who actively undermine democracy and constitutional order. https://t.co/KckJTSXTMP,SenTedCruz,Ted Cruz,Texas,Republican
6,Thu May 18 22:17:24 +0000 2017,8.65E+17,26,69,Enjoyed discussing border security strategy this morning with @CBPRGV Chief Manuel Padilla. https://t.co/jk6QAKNdby,SenTedCruz,Ted Cruz,Texas,Republican
7,Thu May 18 21:42:22 +0000 2017,8.65E+17,22,44,Proud to have @RepMarkMeadows join me in reintroducing this important bill to honor Chinese dissidents. https://t.co/GVOCZCCgEC,SenTedCruz,Ted Cruz,Texas,Republican
8,Wed May 17 22:46:05 +0000 2017,8.65E+17,123,478,It is time for the United States to formally recognize Jerusalem as the eternal and undivided capital of Israel. https://t.co/Q5HeikCsn2,SenTedCruz,Ted Cruz,Texas,Republican
9,Wed May 17 22:39:28 +0000 2017,8.65E+17,59,87,Proud to join w @JohnCornyn on critical legislation that will benefit veterans all across Texas and our nation. https://t.co/CcJ7UIDS1v,SenTedCruz,Ted Cruz,Texas,Republican
10,Wed May 17 21:50:52 +0000 2017,8.65E+17,23,46,Enjoyed visiting with @TXRealtors today. Private property rights are critical to Texas' economy.… https://t.co/zNDH9WFn41,SenTedCruz,Ted Cruz,Texas,Republican
11,Wed May 17 21:36:02 +0000 2017,8.65E+17,126,295,I strongly condemn the violence that took place yesterday outside the Turkish Embassy in Washington: https://t.co/EyEaIrFTkK,SenTedCruz,Ted Cruz,Texas,Republican
12,Wed May 17 21:23:13 +0000 2017,8.65E+17,51,115,"Met with @NASCAR driver @KyleBusch today. Thanks for stopping by, it was great to see your 2015 championship ring! https://t.co/WzOLpqc8W3",SenTedCruz,Ted Cruz,Texas,Republican
13,Wed May 17 21:12:19 +0000 2017,8.65E+17,36,70,Honored to meet with members of the Egyptian parliament today to discuss human rights reform. https://t.co/ZH5MUsoOhP,SenTedCruz,Ted Cruz,Texas,Republican
14,Wed May 17 18:10:58 +0000 2017,8.65E+17,43,77,Great discussion this morning with members of the steel pipe and tube industry about trade and reducing regulations… https://t.co/58xGspzgXX,SenTedCruz,Ted Cruz,Texas,Republican
