,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 21:32:17 +0000 2017,8.66E+17,12,20,Historic global #famine conditions deserve attention. Congress has responded. w/@SenJeffMerkley &amp; others. https://t.co/vJIsL78AS6,SenThadCochran,Thad Cochran,Mississippi,Republican
1,Mon May 15 15:29:59 +0000 2017,8.64E+17,13,7,.@SenatorWicker &amp; I pay #NationalPoliceWeek tribute to fallen law enforcement officers &amp; honor their brave service. https://t.co/bP44sTHGgS,SenThadCochran,Thad Cochran,Mississippi,Republican
2,Sun May 14 12:53:02 +0000 2017,8.64E+17,6,8,"Happy Mother's Day! Thank you, moms, for all you do. https://t.co/556bPblMWI",SenThadCochran,Thad Cochran,Mississippi,Republican
3,Sat May 13 14:42:00 +0000 2017,8.63E+17,3,13,"Best wishes to the men &amp; women of the Tupelo-based 185th Aviation Regiment, deploying Sunday to Kosovo. You make us… https://t.co/WWDE75Xf9d",SenThadCochran,Thad Cochran,Mississippi,Republican
4,Fri May 12 21:43:03 +0000 2017,8.63E+17,13,8,".@SenatorWicker &amp; I sign letter in push to protect US, Gulf shrimp industry from unfair &amp; illegal acts by importers. https://t.co/rp2I8WTCDP",SenThadCochran,Thad Cochran,Mississippi,Republican
5,Thu May 11 13:44:16 +0000 2017,8.63E+17,5,1,Watch 10:30 am webcast: @JerryMoran chairs MilConVA Approps hearing on Improving @DeptVetAffairs Community Care: https://t.co/Wnbw8ft0LS,SenThadCochran,Thad Cochran,Mississippi,Republican
6,Wed May 10 14:38:59 +0000 2017,8.62E+17,11,3,Support veterans at the #NationalVeteransGoldenAgeGames. Hosts: @VisitMSCoast @CityofBiloxi @VAAdaptiveSport.… https://t.co/YdkvgGV8DR,SenThadCochran,Thad Cochran,Mississippi,Republican
7,Wed May 10 14:33:01 +0000 2017,8.62E+17,7,6,Sponsored bill to honor #WWII Chinese-American vets for overcoming hardship to serve our nation. w/@SenDuckworth… https://t.co/s0PzuFQp8P,SenThadCochran,Thad Cochran,Mississippi,Republican
8,Tue May 09 19:27:31 +0000 2017,8.62E+17,11,3,Proud of Mississippi's 2017 @PruSpirit volunteer honorees Davian Powell of Lexington &amp; Luke Kelly of Water Valley.… https://t.co/SOzuAuvZRl,SenThadCochran,Thad Cochran,Mississippi,Republican
9,Tue May 09 17:44:20 +0000 2017,8.62E+17,5,3,2:30 pm Webcast: @LindseyGrahamSC chairs State-ForeignOps Approps hrg on importance of U.S. Democracy Assistance: https://t.co/bgHiBbi97B,SenThadCochran,Thad Cochran,Mississippi,Republican
10,Mon May 08 18:39:54 +0000 2017,8.62E+17,2,3,"For outstanding Miss. youth: 2018 Military Service Academy Nomination info now on my website. Nov 6, 2017 deadline. https://t.co/udmwevBSqz",SenThadCochran,Thad Cochran,Mississippi,Republican
11,Fri May 05 20:33:12 +0000 2017,8.61E+17,2,16,"Appreciate @CDFIFund investment with @Hope_Enterprise to bring jobs, better food choices to South Jackson MS. https://t.co/EOb7iGSgrR",SenThadCochran,Thad Cochran,Mississippi,Republican
12,Thu May 04 13:52:06 +0000 2017,8.60E+17,7,7,10:30 am Webcast: @JerryMoran leads MilConVA Approps hearing on @DeptVetAffairs leveraging #telehealth technology: https://t.co/rvQGHRgmNc,SenThadCochran,Thad Cochran,Mississippi,Republican
13,Wed May 03 17:41:50 +0000 2017,8.60E+17,11,3,.@SenatorWicker @SenBrianSchatz  &amp; I offer bill to expand #telehealth thru Medicare to improve care. @UMMCTelehealth https://t.co/TMNe8xajUL,SenThadCochran,Thad Cochran,Mississippi,Republican
14,Wed May 03 13:34:38 +0000 2017,8.60E+17,5,2,10:30 am Webcast: Defense Appropriations hearing to review @DeptofDefense Innovation &amp; Research Funding. @DARPA https://t.co/BOWqH17xFN,SenThadCochran,Thad Cochran,Mississippi,Republican
15,Tue May 02 17:36:55 +0000 2017,8.59E+17,5,1,2:30 pm Webcast: @JerryMoran MilConVA Approps hearing features @US_EUCOM Commander discussing Theater Assessment https://t.co/lcQTmW1WU0,SenThadCochran,Thad Cochran,Mississippi,Republican
16,Sun Apr 30 23:01:49 +0000 2017,8.59E+17,9,8,Our thoughts are w/Mississippians after deadly storms hit our state today. Follow @MSEMA &amp; local authorizes as recovery work gets underway.,SenThadCochran,Thad Cochran,Mississippi,Republican
17,Sat Apr 29 20:28:58 +0000 2017,8.58E+17,3,5,Good luck to the Oxford Middle School team at the Natl Science Bowl. @OSD_OMS is 1 of 16 still competing today:… https://t.co/Z099vGwO8v,SenThadCochran,Thad Cochran,Mississippi,Republican
18,Fri Apr 28 21:58:21 +0000 2017,8.58E+17,3,6,Giving thanks for all who helped NE Miss. recover from deadly 2014 tornadoes 3 years ago today. #Tupelo… https://t.co/Xf6YoeQben,SenThadCochran,Thad Cochran,Mississippi,Republican
19,Thu Apr 27 13:34:14 +0000 2017,8.58E+17,7,2,Tune In: 10:30 am Webcast. @JerryMoran chairs MilCon-VA Appropriations hearing on ‘Preventing #VeteranSuicide’ https://t.co/Yh8IHhPiE0,SenThadCochran,Thad Cochran,Mississippi,Republican
20,Thu Apr 27 03:14:46 +0000 2017,8.57E+17,6,6,"We're making substantial progress on FY17 appropriations, and this short CR gives us time to complete negotiations: https://t.co/zPs9LD89MS",SenThadCochran,Thad Cochran,Mississippi,Republican
21,Wed Apr 26 13:33:22 +0000 2017,8.57E+17,11,4,"10:30 am Webcast: Defense Appropriations hearing to review @DeptofDefense Guard &amp; Reserve Programs, Readiness: https://t.co/U5yrMD131D",SenThadCochran,Thad Cochran,Mississippi,Republican
22,Wed Apr 26 00:12:22 +0000 2017,8.57E+17,4,2,Enjoyed meeting w/Secretary of @USDOL nominee Alex Acosta today. Talked about important Miss. issues &amp; will vote for confirmation tomorrow.,SenThadCochran,Thad Cochran,Mississippi,Republican
23,Tue Apr 25 17:11:19 +0000 2017,8.57E+17,5,3,2:15 pm Webcast: @LindseyGrahamSC chairs State-Foreign Ops Appropriations hearing: U.S. Assistance for #Egypt: https://t.co/JzIqCOSW3o,SenThadCochran,Thad Cochran,Mississippi,Republican
24,Tue Apr 25 00:46:00 +0000 2017,8.57E+17,13,6,"Voted to confirm Sonny Perdue as Secretary of Agriculture. His experience and leadership will benefit @USDA, Missis… https://t.co/dWZ6kRNzQl",SenThadCochran,Thad Cochran,Mississippi,Republican
25,Thu Apr 20 18:55:43 +0000 2017,8.55E+17,14,5,"Mississippi gains $3.58 million to fight #opioidcrisis. Congress appropriated funds to improve treatment, outreach. https://t.co/uSw7oHrGR3",SenThadCochran,Thad Cochran,Mississippi,Republican
26,Wed Apr 19 23:38:00 +0000 2017,8.55E+17,3,5,#FindYourPark in Mississippi this National Park Week: https://t.co/Sn4VovEQvY @NatlParkService @VicksburgNMP https://t.co/P8QwKZSoaE,SenThadCochran,Thad Cochran,Mississippi,Republican
27,Wed Apr 19 17:52:12 +0000 2017,8.55E+17,0,5,.@DHSgov to conduct UAS testing in Miss. Our state's high-tech aerospace industry &amp; @MSState can lead the nation.… https://t.co/kMezNPBAxu,SenThadCochran,Thad Cochran,Mississippi,Republican
28,Mon Apr 17 15:11:03 +0000 2017,8.54E+17,2,4,Antidumping measures help the U.S. shrimp industry compete fairly. @SenatorWicker and I urge USITC to continue them: https://t.co/OoFcEoza4X,SenThadCochran,Thad Cochran,Mississippi,Republican
29,Sun Apr 16 13:02:01 +0000 2017,8.54E+17,10,7,Happy Easter! May you and your family have a joyous and blessed day.,SenThadCochran,Thad Cochran,Mississippi,Republican
30,Sat Apr 08 13:09:25 +0000 2017,8.51E+17,7,6,Today Mississippi's #CherryBlossom Princess Mary Elizabeth Stringer represents us in the @CherryBlossFest parade:… https://t.co/lamYDKRihc,SenThadCochran,Thad Cochran,Mississippi,Republican
31,Fri Apr 07 16:31:11 +0000 2017,8.50E+17,24,5,Confident Judge #Gorsuch will be an excellent Supreme Court Justice. Reputation for being fair &amp; impartial. #SCOTUS… https://t.co/aCrI69OhDk,SenThadCochran,Thad Cochran,Mississippi,Republican
32,Wed Apr 05 18:05:14 +0000 2017,8.50E+17,8,3,Severe storms wear down roads &amp; bridges. @USDOTFHWA gives @MississippiDOT $13M in emergency relief for 2016 damage: https://t.co/y0jqFoDm0Q,SenThadCochran,Thad Cochran,Mississippi,Republican
33,Wed Apr 05 13:04:46 +0000 2017,8.50E+17,3,2,10 am webcast: @SenatorCollins chairs Approps hearing on protecting U.S. Merchant Marine Academy midshipmen #USMMA https://t.co/Xzit4pCJYA,SenThadCochran,Thad Cochran,Mississippi,Republican
34,Tue Apr 04 17:13:08 +0000 2017,8.49E+17,9,5,2:30 pm webcast: @SenShelby chairs CJS Approps hearing on ‘National Water Hazards and Vulnerabilities’ @NOAA https://t.co/4sVfSP5J97,SenThadCochran,Thad Cochran,Mississippi,Republican
