,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun Apr 16 14:02:24 +0000 2017,8.5361E+17,6,2,Susan and I wish you and your family a #HappyEaster! https://t.co/CsOYKvDZPb,ThomTillis,Thom Tillis,North Carolina,Republican
1,Sun Mar 19 14:04:26 +0000 2017,8.43463E+17,11,1,Tune in at 10:30am. I'll discuss the Neil Gorsuch confirmation with @MariaBartiromo. #SCOTUS #ConfirmGorsuch https://t.co/TktUFPNobs,ThomTillis,Thom Tillis,North Carolina,Republican
2,Wed Mar 08 02:57:38 +0000 2017,8.39309E+17,8,10,Must read: An incredibly moving  piece by @jmpalmieri about her late sister who had early onset Alzheimer’s. https://t.co/9RdmaItK5c,ThomTillis,Thom Tillis,North Carolina,Republican
3,Sun Feb 05 15:00:36 +0000 2017,8.28257E+17,197,15,I’ll be on shortly with @MariaBartiromo on @SundayFutures. Tune in!,ThomTillis,Thom Tillis,North Carolina,Republican
4,Wed Feb 01 01:58:19 +0000 2017,8.26611E+17,96,78,Neil Gorsuch is a mainstream judge who follows the rule of law. He will be an outstanding justice on the Supreme Court.,ThomTillis,Thom Tillis,North Carolina,Republican
5,Fri Jan 20 19:22:37 +0000 2017,8.22525E+17,123,98,On Inauguration Day our country watches as masked cowards take to the streets of our nation's capital. This behavior is completely shameful.,ThomTillis,Thom Tillis,North Carolina,Republican
6,Fri Jan 20 17:02:39 +0000 2017,8.2249E+17,73,24,Congratulations President Donald J. Trump! Now we begin the work of making America great again.,ThomTillis,Thom Tillis,North Carolina,Republican
7,Sun Jan 08 15:48:59 +0000 2017,8.18122E+17,4,49,Please help @gregolsen88 win $25k for @R4Rfoundation by tweeting #OlsenWPMOYChallenge. #PantherNation,ThomTillis,Thom Tillis,North Carolina,Republican
8,Fri Jan 06 21:32:59 +0000 2017,8.17484E+17,2,21,Please continue to keep Senator @kayhagan and her family in your thoughts and prayers. https://t.co/wtS2G8izMF,ThomTillis,Thom Tillis,North Carolina,Republican
9,Fri Dec 30 00:19:00 +0000 2016,8.14627E+17,5,12,It turns out that Obama will get to be President for an additional second: https://t.co/8UEWeHDoUQ #ThanksAtomicClocks,ThomTillis,Thom Tillis,North Carolina,Republican
10,Sun Dec 25 14:04:24 +0000 2016,8.13023E+17,4,3,"Merry Christmas and Happy Holidays from our family to yours! 

https://t.co/2BxqftLYa5",ThomTillis,Thom Tillis,North Carolina,Republican
11,Fri Dec 23 20:53:34 +0000 2016,8.12401E+17,8,49,"The U.S. should stand w/ our ally Israel on the world stage, not turn our backs.",ThomTillis,Thom Tillis,North Carolina,Republican
12,Fri Dec 23 20:52:39 +0000 2016,8.12401E+17,3,19,The Obama admin’s decision to abstain on the UN's anti-Israel resolution is shameful.,ThomTillis,Thom Tillis,North Carolina,Republican
13,Sat Dec 10 19:02:34 +0000 2016,8.07662E+17,4,23,"Susan and I are praying for @KayHagan and her family, and wish her a speedy recovery. https://t.co/z8c9N9kEnw",ThomTillis,Thom Tillis,North Carolina,Republican
14,Wed Dec 07 01:11:48 +0000 2016,8.06305E+17,2,20,"Our military families are a national treasure. They make amazing sacrifices, whether they wear the uniform or support loved ones who do.",ThomTillis,Thom Tillis,North Carolina,Republican
15,Wed Dec 07 01:09:10 +0000 2016,8.06305E+17,1,6,.@realDonaldTrump: 45% of Marine Corps based at Camp Lejeune.,ThomTillis,Thom Tillis,North Carolina,Republican
16,Wed Dec 07 01:07:07 +0000 2016,8.06304E+17,1,25,"In Fayetteville, @realDonaldTrump stresses an important fact: NC produces the very best servicemembers, who defend and protect America.",ThomTillis,Thom Tillis,North Carolina,Republican
