,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 21:14:01 +0000 2017,8.66E+17,13,13,My LEAP Act is based on our state-level model in South Carolina - which shared some great news this week! https://t.co/jeLdLxda75,SenatorTimScott,Tim Scott,South Carolina,Republican
1,Fri May 19 13:58:18 +0000 2017,8.66E+17,21,47,I’ll be reintroducing my Safer Officers and Safer Citizens Act. Body cams can keep both officers&amp;communities safer https://t.co/BJhbriRZzL,SenatorTimScott,Tim Scott,South Carolina,Republican
2,Thu May 18 16:38:03 +0000 2017,8.65E+17,9,108,Prayers with those in Times Square and their families.,SenatorTimScott,Tim Scott,South Carolina,Republican
3,Thu May 18 14:40:44 +0000 2017,8.65E+17,5,40,"We remember fallen officers Allen Jacobs &amp; Jason Harris, and thank those who put their lives on the line for us everyday #NationalPoliceWeek",SenatorTimScott,Tim Scott,South Carolina,Republican
4,Wed May 17 21:22:44 +0000 2017,8.65E+17,102,101,It is important for Congress to see pertinent memos drafted by former Director Comey &amp; I hope he will also agree to testify before Congress.,SenatorTimScott,Tim Scott,South Carolina,Republican
5,Wed May 17 12:41:48 +0000 2017,8.65E+17,12,63,"Prayers with my friend and his family. Scary, heart wrenching news. https://t.co/JQ8iArxRxR",SenatorTimScott,Tim Scott,South Carolina,Republican
6,Tue May 16 23:46:16 +0000 2017,8.65E+17,4,7,Wishing my friend @maziehirono a speedy recovery. We'll see you back in the Senate soon!,SenatorTimScott,Tim Scott,South Carolina,Republican
7,Tue May 16 20:30:03 +0000 2017,8.65E+17,79,80,The foundation of Obamacare is broken. https://t.co/DkA8bbbfgk,SenatorTimScott,Tim Scott,South Carolina,Republican
8,Mon May 15 22:14:45 +0000 2017,8.64E+17,31,8,Joining @CNNPolitics OnTap for a discussion with @DanaBashCNN! Visit CNN's Facebook page for the livestream! https://t.co/G1EJpNLOL9,SenatorTimScott,Tim Scott,South Carolina,Republican
9,Sun May 14 11:07:04 +0000 2017,8.64E+17,29,93,"Happy Mother’s Day to my mom, Frances Scott, and all the moms out there who sacrifice so much for their families! https://t.co/LmS8MMR4is",SenatorTimScott,Tim Scott,South Carolina,Republican
