,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Thu May 18 15:13:37 +0000 2017,8.65224E+17,3,4,Police officers see the best and worst of humanity. @SenDonnelly and I are working to increase mental healthcare op… https://t.co/lbbfdBNOCY,SenToddYoung,Todd Young,Indiana,Republican
1,Thu May 18 00:32:00 +0000 2017,8.65002E+17,20,8,"This situation is unacceptable and proves that increased transparency, accountability, &amp; reform is needed at the VA.
https://t.co/FqpqG3slhI",SenToddYoung,Todd Young,Indiana,Republican
2,Wed May 17 22:35:02 +0000 2017,8.64973E+17,4,1,I appreciate the Crown Prince's commitment on behalf of the UAE to help address the humanitarian crisis in Yemen. https://t.co/DsyWjzXNOr,SenToddYoung,Todd Young,Indiana,Republican
3,Wed May 17 18:41:36 +0000 2017,8.64914E+17,53,38,This is abhorrent and thuggish behavior by employees of a foreign government on American soil. https://t.co/2if4crBMyu,SenToddYoung,Todd Young,Indiana,Republican
4,Wed May 17 17:41:44 +0000 2017,8.64899E+17,19,8,"WATCH: ""When our police force is healthy and strong, our communities are healthy and strong."" #NationalPoliceWeek https://t.co/rzuG7mCWy8",SenToddYoung,Todd Young,Indiana,Republican
5,Wed May 17 14:58:23 +0000 2017,8.64858E+17,18,10,Proud to join my colleague in discussing this important issue. Tune in to @cspan 2 or stream online here:… https://t.co/4kOHrYld1p,SenToddYoung,Todd Young,Indiana,Republican
6,Wed May 17 12:58:10 +0000 2017,8.64827E+17,13,5,"Please pray for my dear friend and colleague @SenThomTillis 
https://t.co/moaFfaNabw",SenToddYoung,Todd Young,Indiana,Republican
7,Tue May 16 19:59:38 +0000 2017,8.64571E+17,34,26,The proposal @SenDonnelly &amp; I worked on to improve mental health care access for law enforcement officers passed th… https://t.co/AebtUgTvx9,SenToddYoung,Todd Young,Indiana,Republican
8,Mon May 15 22:44:38 +0000 2017,8.6425E+17,20,8,2/2 -- Proud to work w/ @ChrisMurphyCT on a resolution that would improve the flow of humanitarian aid.,SenToddYoung,Todd Young,Indiana,Republican
9,Mon May 15 22:44:14 +0000 2017,8.6425E+17,18,10,"1/2 -- Saudi Arabia must take specific steps to alleviate Yemen’s humanitarian crisis.
https://t.co/0CcqCAHygO",SenToddYoung,Todd Young,Indiana,Republican
10,Mon May 15 15:57:40 +0000 2017,8.64148E+17,13,8,Today marks the start of #NationalPoliceWeek. Thank you for standing on the front lines to protect and strengthen o… https://t.co/SiTRkNNDfh,SenToddYoung,Todd Young,Indiana,Republican
11,Sun May 14 15:18:44 +0000 2017,8.63776E+17,12,4,"Happy #MothersDay to all the Moms being celebrated today, especially my wife Jenny who does it all for our family. https://t.co/bS56cXON64",SenToddYoung,Todd Young,Indiana,Republican
12,Sat May 13 20:16:42 +0000 2017,8.63488E+17,25,10,".@TrineUniversity Class of 2017 remember:
1. Our happiness is linked to each other's happiness
2. Always know where… https://t.co/d919aZobOP",SenToddYoung,Todd Young,Indiana,Republican
13,Thu May 11 20:39:02 +0000 2017,8.62769E+17,87,3,.@POTUS knocked it out of the park w/ nomination of @AmbassadorGreen as @USAID Administrator. I will proudly vote t… https://t.co/pOp1moJ4y9,SenToddYoung,Todd Young,Indiana,Republican
14,Thu May 11 17:04:31 +0000 2017,8.62715E+17,29,9,I will continue to press the Ethiopian government to do the right thing so that families like the Orens can be full… https://t.co/Fph7T6DeKd,SenToddYoung,Todd Young,Indiana,Republican
15,Thu May 11 14:45:01 +0000 2017,8.6268E+17,24,10,The Oren Family are unable to bring their legally adopted son home due to Ethiopia's new politically motivated adop… https://t.co/jTgdArhdMB,SenToddYoung,Todd Young,Indiana,Republican
16,Thu May 11 00:48:00 +0000 2017,8.62469E+17,26,7,.@WFP is an essential partner in addressing starvation &amp; humanitarian crises across the world. It was a pleasure to… https://t.co/VxKmLlya8z,SenToddYoung,Todd Young,Indiana,Republican
17,Tue May 09 22:15:30 +0000 2017,8.62069E+17,59,4,Amy Coney Barrett is a faithful constitutionalist...who will represent Hoosier values. Proud to support her nominat… https://t.co/Zy7pZZZLQ6,SenToddYoung,Todd Young,Indiana,Republican
18,Tue May 09 14:57:02 +0000 2017,8.61958E+17,15,6,Great working on a bipartisan basis to better equip students with the skills they need to compete in tomorrow's wor… https://t.co/Y1L1nxNbIQ,SenToddYoung,Todd Young,Indiana,Republican
19,Mon May 08 21:51:53 +0000 2017,8.617E+17,16,9,My statement on @POTUS' nomination of Amy Coney Barrett to 7th Circuit Court of Appeals: https://t.co/ys1FfSTf2V,SenToddYoung,Todd Young,Indiana,Republican
20,Mon May 08 20:33:50 +0000 2017,8.61681E+17,58,6,My 1st floor speech took the idea of “Hoosier common sense” &amp; tied it to the mission of working towards the “common… https://t.co/RKY0RV2QRk,SenToddYoung,Todd Young,Indiana,Republican
21,Mon May 08 16:53:49 +0000 2017,8.61625E+17,13,3,"A simple talk can help patients understand the still present risk of addiction from ""abuse-detterent"" opioids - a c… https://t.co/XVrhq61GLu",SenToddYoung,Todd Young,Indiana,Republican
22,Fri May 05 16:54:44 +0000 2017,8.60538E+17,7,1,".@HoosierCrossFit exemplifies what National Small Business Week seeks to recognize. Congrats on your achievement!
https://t.co/I5CNMNtUQz",SenToddYoung,Todd Young,Indiana,Republican
23,Thu May 04 20:01:17 +0000 2017,8.60223E+17,99,8,"Full text of my maiden speech on @medium →“A message for my colleagues, inspired by Hoosiers”… https://t.co/qwQdkonHEm",SenToddYoung,Todd Young,Indiana,Republican
