,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 23:20:45 +0000 2017,8.64984E+17,4,28,Very encouraged by the news. This appointment is a tremendous step toward giving Americans the truth they deserve. https://t.co/XloJaua80T,SenatorCarper,Tom Carper,Delaware,Democratic
1,Wed May 17 21:06:01 +0000 2017,8.6495E+17,9,53,"We asked Scott Pruitt how @EPA will curb harmful emissions without the #CleanPowerPlan. 

He sent us press releases… https://t.co/XtZOQVkShF",SenatorCarper,Tom Carper,Delaware,Democratic
2,Tue May 16 17:06:12 +0000 2017,8.64527E+17,1,2,Thank you for meeting with our team @godelata! https://t.co/e1FQIkfhaH,SenatorCarper,Tom Carper,Delaware,Democratic
3,Tue May 16 17:02:17 +0000 2017,8.64526E+17,5,4,Grateful to meet @ALSphiladelphia's advocates &amp; families from Delaware. We must ensure those with ALS have access t… https://t.co/UGhOLCQgKL,SenatorCarper,Tom Carper,Delaware,Democratic
4,Tue May 16 15:11:23 +0000 2017,8.64499E+17,13,46,We have a saying in the U.S. Navy: Loose lips sink ships. https://t.co/3RecQEXoYV,SenatorCarper,Tom Carper,Delaware,Democratic
5,Mon May 15 17:12:31 +0000 2017,8.64167E+17,3,8,It's #TimeToBuild a 21st century infrastructure system. That starts with smart and strategic investments.… https://t.co/soI09OWzTS,SenatorCarper,Tom Carper,Delaware,Democratic
6,Mon May 15 16:46:46 +0000 2017,8.6416E+17,7,11,"It's #TimeToBuild coastal infrastructure! Beach replenishment in Bethany, South Bethany and Fenwick Island will pro… https://t.co/Mrh3RcCOPr",SenatorCarper,Tom Carper,Delaware,Democratic
7,Mon May 15 13:24:22 +0000 2017,8.64109E+17,3,22,"Excited to announce this morning that Bethany, S. Bethany and Fenwick will get beach renourishment this fall to pro… https://t.co/qCiQlbUiav",SenatorCarper,Tom Carper,Delaware,Democratic
8,Sun May 14 17:05:49 +0000 2017,8.63803E+17,2,5,"Hey @daveweigel. Despite its size, the First State packs a big punch. But I've never heard of Delaware punch. Usual… https://t.co/SYep3NyD8A",SenatorCarper,Tom Carper,Delaware,Democratic
9,Fri May 12 16:53:24 +0000 2017,8.63075E+17,0,6,"For more than 45 years, the Limen House in Wilmington has provided Delawareans with a safe place to recover from ad… https://t.co/MpLv1sMeni",SenatorCarper,Tom Carper,Delaware,Democratic
10,Fri May 12 16:52:22 +0000 2017,8.63074E+17,0,2,This morning I sat down and spoke with Delawareans at the Limen House who are working to rebuild their lives in rec… https://t.co/tolQ24nzOE,SenatorCarper,Tom Carper,Delaware,Democratic
11,Fri May 12 15:18:49 +0000 2017,8.63051E+17,2,4,Congratulations to the residents of Sacred Heart Village II on your new home. #seniors #inwilmington #netde https://t.co/q5lISOHa6I,SenatorCarper,Tom Carper,Delaware,Democratic
12,Thu May 11 18:04:56 +0000 2017,8.6273E+17,7,17,".@EPA #TBT to Washington, D.C. in 1973. Raw sewage flowed into the Potomac River, fouling the waters outside the… https://t.co/J8YEeWQQbk",SenatorCarper,Tom Carper,Delaware,Democratic
13,Thu May 11 00:01:06 +0000 2017,8.62458E+17,30,60,"Aetna is pulling out of all ACA marketplaces in 2018, leaving Delaware with only one insurer in its individual heal… https://t.co/7ykfpVTY8p",SenatorCarper,Tom Carper,Delaware,Democratic
14,Wed May 10 15:39:37 +0000 2017,8.62331E+17,4,20,"""The only thing new in the world is the history you don’t know.""—President Harry S. Truman 
#ComeyFiring",SenatorCarper,Tom Carper,Delaware,Democratic
15,Wed May 10 00:25:40 +0000 2017,8.62101E+17,26,122,Congress must appoint a special counsel to ensure that findings on Russia's influence in the 2016 election are not clouded by partisanship.,SenatorCarper,Tom Carper,Delaware,Democratic
16,Wed May 10 00:24:10 +0000 2017,8.62101E+17,21,145,Why did AG Sessions—who's recused himself from the investigation on Russia's interference in the '16 election—have any role in the decision?,SenatorCarper,Tom Carper,Delaware,Democratic
17,Wed May 10 00:20:27 +0000 2017,8.621E+17,17,73,What changed since the president took office for him to lose confidence in FBI Director Comey’s ability to do the job?,SenatorCarper,Tom Carper,Delaware,Democratic
18,Wed May 10 00:18:24 +0000 2017,8.62099E+17,31,165,Shocked and deeply concerned by President Trump’s firing of FBI Director James Comey. This decision raises more questions than it answers.,SenatorCarper,Tom Carper,Delaware,Democratic
19,Tue May 09 15:06:16 +0000 2017,8.61961E+17,2,7,@EPWDems @EPA We need an @EPA #GuidedByScience. Anything less is unacceptable.,SenatorCarper,Tom Carper,Delaware,Democratic
20,Tue May 09 15:04:06 +0000 2017,8.6196E+17,2,3,@EPWDems @EPA Scott Pruitt's aggressive denial and dismissal of scientific principles will not create clean water a… https://t.co/QGmRyRAvAZ,SenatorCarper,Tom Carper,Delaware,Democratic
21,Tue May 09 14:54:42 +0000 2017,8.61958E+17,3,8,@EPWDems @EPA Scott Pruitt's aggressive denial and dismissal of scientific principles will not cause toxic chemicals to suddenly become safe,SenatorCarper,Tom Carper,Delaware,Democratic
22,Tue May 09 14:53:50 +0000 2017,8.61957E+17,3,46,@EPWDems @EPA Scott Pruitt's aggressive denial and dismissal of scientific principles will not prevent the seas and temperatures from rising,SenatorCarper,Tom Carper,Delaware,Democratic
23,Mon May 08 17:11:18 +0000 2017,8.6163E+17,7,34,"A message to President Trump from businessman Donald Trump in 2009. Let's continue to ""lead the world by example"" &amp;… https://t.co/X3AWv4W5WY",SenatorCarper,Tom Carper,Delaware,Democratic
24,Mon May 08 14:26:25 +0000 2017,8.61588E+17,7,26,"Under AHCA, insurance companies can look to their bottom line to decide who deserves health care—and at what cost. https://t.co/VVc012HtVn",SenatorCarper,Tom Carper,Delaware,Democratic
