,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Wed May 17 20:11:56 +0000 2017,8.64937E+17,3,5,Congratulations to Dr. Kelly Damphousse on being named chancellor of @ArkansasState.,SenTomCotton,Tom Cotton,Arkansas,Republican
1,Wed May 17 19:30:15 +0000 2017,8.64926E+17,5,3,WATCH the @SASCmajority Subcommittee on Airland hearing on US Military Small Arms Requirements: https://t.co/VhbGxUm8RB,SenTomCotton,Tom Cotton,Arkansas,Republican
2,Wed May 17 18:35:06 +0000 2017,8.64912E+17,7,2,Don’t miss this week’s newsletter! Sign up here: https://t.co/fTtt5vtM0Q,SenTomCotton,Tom Cotton,Arkansas,Republican
3,Wed May 17 18:00:17 +0000 2017,8.64903E+17,10,4,"WATCH the @SASCmajority subcommittee hearing on Military Space Organization, Policy, and Programs live: https://t.co/pOADn0AL6A",SenTomCotton,Tom Cotton,Arkansas,Republican
4,Wed May 17 17:44:53 +0000 2017,8.649E+17,12,13,WATCH today’s Joint Economic Committee hearing on raising wages for American workers. https://t.co/YlQwpaNaDw,SenTomCotton,Tom Cotton,Arkansas,Republican
5,Tue May 16 17:35:06 +0000 2017,8.64535E+17,45,5,Don’t miss this week’s newsletter! Sign up here: https://t.co/fTtt5vtM0Q,SenTomCotton,Tom Cotton,Arkansas,Republican
6,Tue May 16 16:50:12 +0000 2017,8.64523E+17,14,2,Thanks to ASU Mid-South for hosting the M55 Regional Planning Workshop in West Memphis last week. https://t.co/yHoOQMG56T,SenTomCotton,Tom Cotton,Arkansas,Republican
7,Tue May 16 16:00:54 +0000 2017,8.64511E+17,16,15,I joined @hughhewitt earlier today. LISTEN: https://t.co/whPyZClsVR,SenTomCotton,Tom Cotton,Arkansas,Republican
8,Tue May 16 14:58:40 +0000 2017,8.64495E+17,21,12,LISTEN to my interview from @newsradio1029 this morning: https://t.co/hkMtwNR2BQ,SenTomCotton,Tom Cotton,Arkansas,Republican
9,Tue May 16 12:45:04 +0000 2017,8.64462E+17,18,7,Joining @newsradio1029 shortly. Tune in!,SenTomCotton,Tom Cotton,Arkansas,Republican
