,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sat May 20 21:46:40 +0000 2017,8.66048E+17,4,17,@GreenChamberLC1 I vow to fight tooth and nail against any attempt by the Trump Administration to rollback protecti… https://t.co/Hc9GtLcGLr,SenatorTomUdall,Tom Udall,New Mexico,Democratic
1,Sat May 20 21:46:19 +0000 2017,8.66047E+17,4,7,@GreenChamberLC1 #MonumentsForAll boost local businesses &amp; create outdoor rec &amp; tourism jobs. It’s vital to #NM’s e… https://t.co/tmD0vcDWNh,SenatorTomUdall,Tom Udall,New Mexico,Democratic
2,Sat May 20 21:45:55 +0000 2017,8.66047E+17,3,16,This month @greenchamberLC1 is highlighting 31 #LasCruces #smallbiz that benefited from #OMDP4NM’s national monumen… https://t.co/FCpOXp9Cly,SenatorTomUdall,Tom Udall,New Mexico,Democratic
3,Sat May 20 21:44:38 +0000 2017,8.66047E+17,5,36,"It's #PublicLandsDay – a great day to hike, fish, or just enjoy the public lands that make #NewMexico the most beau… https://t.co/gXfrtkKblO",SenatorTomUdall,Tom Udall,New Mexico,Democratic
4,Fri May 19 22:13:43 +0000 2017,8.65692E+17,1,9,Thanks to the students at El Camino Real Academy &amp; @Defenders for sharing their wildlife art with me… https://t.co/jLrqTM8nP7,SenatorTomUdall,Tom Udall,New Mexico,Democratic
5,Fri May 19 22:08:30 +0000 2017,8.65691E+17,3,49,#ESA is our most effective law for protecting #wildlife from extinction. It has prevented more than 99% of listed species from going extinct,SenatorTomUdall,Tom Udall,New Mexico,Democratic
6,Fri May 19 19:41:13 +0000 2017,8.65654E+17,6,33,My letter to @AjitPaiFCC asking for an explanation of the incident https://t.co/MVe1PQwSe1,SenatorTomUdall,Tom Udall,New Mexico,Democratic
7,Fri May 19 13:39:19 +0000 2017,8.65563E+17,19,174,"This is disturbing behavior for any public official, especially one overseeing communications. https://t.co/KoZpaIJY7t",SenatorTomUdall,Tom Udall,New Mexico,Democratic
8,Thu May 18 22:29:00 +0000 2017,8.65333E+17,2,39,"Too many New Mexicans are already stuck in the internet slow lane. Tell the #FCC to protect #NetNeutrality &amp; a free, open internet for all",SenatorTomUdall,Tom Udall,New Mexico,Democratic
9,Thu May 18 22:28:32 +0000 2017,8.65333E+17,1,38,Call the #FCC and tell them to protect #netneutrality and end this attack on the internet as we know it,SenatorTomUdall,Tom Udall,New Mexico,Democratic
10,Thu May 18 22:28:06 +0000 2017,8.65333E+17,1,77,The #FCC is taking steps to roll back the #NetNeutrality rules that have ensured a free and open internet for all Americans,SenatorTomUdall,Tom Udall,New Mexico,Democratic
11,Thu May 18 22:23:28 +0000 2017,8.65332E+17,1,20,#NAFTA renegotiation must protect the thousands of New Mexicans whose livelihoods depend on stable trade relations… https://t.co/iAVEDPhYoH,SenatorTomUdall,Tom Udall,New Mexico,Democratic
12,Thu May 18 17:45:57 +0000 2017,8.65262E+17,10,148,#Trump has appointed more super-wealthy connected special interest donors &amp; insiders to high-level posts than any P… https://t.co/hHbQtL5Sul,SenatorTomUdall,Tom Udall,New Mexico,Democratic
13,Thu May 18 17:40:40 +0000 2017,8.65261E+17,1,22,@SenWhitehouse @RepTedDeutch By requiring high-level govt officials to answer whether they have received or given c… https://t.co/p8tPVKkKah,SenatorTomUdall,Tom Udall,New Mexico,Democratic
14,Thu May 18 17:36:33 +0000 2017,8.6526E+17,11,137,Americans deserve to know who might be influencing appointees at the very top of our government. Proud to join… https://t.co/D4BGi6S5sd,SenatorTomUdall,Tom Udall,New Mexico,Democratic
15,Wed May 17 22:44:30 +0000 2017,8.64975E+17,2,62,"Now Congress must do its job, appoint an independent 9/11 style commission to investigate every aspect of Russia's meddling in the election.",SenatorTomUdall,Tom Udall,New Mexico,Democratic
16,Wed May 17 22:44:03 +0000 2017,8.64975E+17,7,72,This is welcome news and badly needed after weeks of turmoil and chaos. Robert Mueller has impeccable credentials. https://t.co/JQdIFnPJfP,SenatorTomUdall,Tom Udall,New Mexico,Democratic
17,Wed May 17 18:51:58 +0000 2017,8.64916E+17,3,24,We can only stop this attack on the internet as we know it with your help. Speak up and tell @AjitPaiFCC &amp; @POTUS you support #NetNeutrality,SenatorTomUdall,Tom Udall,New Mexico,Democratic
18,Wed May 17 18:50:12 +0000 2017,8.64916E+17,2,32,#OpenInternet has driven innovation &amp; growth across #NM. Revoking #NetNeutrality will help big corporations and hurt consumers &amp; #smallbiz,SenatorTomUdall,Tom Udall,New Mexico,Democratic
19,Wed May 17 18:48:31 +0000 2017,8.64916E+17,7,167,The internet's unrivaled social &amp; economic opportunities exist because it is a free &amp; open platform. #NetNeutrality rollback destroys this.,SenatorTomUdall,Tom Udall,New Mexico,Democratic
20,Wed May 17 17:39:27 +0000 2017,8.64898E+17,5,158,President Trump’s FCC wants to revoke #NetNeutrality &amp; change the internet as we know it forever. We must fight back https://t.co/Z3rDWKJuZ8,SenatorTomUdall,Tom Udall,New Mexico,Democratic
21,Wed May 17 17:18:31 +0000 2017,8.64893E+17,0,16,Brand's support for NSA's §215 bulk collection of Americans' phone records while a member of the PCLOB makes her a dangerous choice for DOJ,SenatorTomUdall,Tom Udall,New Mexico,Democratic
22,Wed May 17 17:18:20 +0000 2017,8.64893E+17,7,30,"I voted no on Rachel Brand. She's wrong for #3 at DOJ as concerns about #TrumpRussia mount, w/o commitment for independent prosecutor.",SenatorTomUdall,Tom Udall,New Mexico,Democratic
23,Wed May 17 15:24:24 +0000 2017,8.64864E+17,51,757,I’m joining @MartinHeinrich and asking whether Sessions violated his #TrumpRussia recusal by recommending @POTUS fi… https://t.co/dLdoI7CShV,SenatorTomUdall,Tom Udall,New Mexico,Democratic
24,Wed May 17 14:03:15 +0000 2017,8.64844E+17,0,4,Welcoming @BUMedicine’s Dr. Stern to @SenateCommerce to testify about sports injuries &amp; CTE. Watch at 10AM:… https://t.co/2bmLTheXYA,SenatorTomUdall,Tom Udall,New Mexico,Democratic
25,Wed May 17 02:05:03 +0000 2017,8.64663E+17,0,10,Mazie is a dear friend who I know will bring courage and resiliency to the fight ahead. Jill &amp; I send our best wish… https://t.co/mQFMbOS0qJ,SenatorTomUdall,Tom Udall,New Mexico,Democratic
26,Tue May 16 23:03:11 +0000 2017,8.64617E+17,45,245,"We must get to the bottom of the dangerous chaos @POTUS has created. Congress must work together to subpoena memos, tapes and notes.",SenatorTomUdall,Tom Udall,New Mexico,Democratic
27,Tue May 16 21:48:45 +0000 2017,8.64599E+17,12,104,Credible evidence continues to mount @POTUS has tried to interfere into #TrumpRussia investigation. We need an… https://t.co/7pNDlMYSZu,SenatorTomUdall,Tom Udall,New Mexico,Democratic
28,Tue May 16 21:47:07 +0000 2017,8.64598E+17,20,93,"Another day, another huge revelation @POTUS attempts to interfere w/#TrumpRussia investigation. This is wildly inap… https://t.co/dhbX2HMY4z",SenatorTomUdall,Tom Udall,New Mexico,Democratic
29,Tue May 16 21:10:26 +0000 2017,8.64589E+17,18,108,"CRA is like using a sledgehammer when a chisel is needed. It should’ve never been passed into law, and it's past ti… https://t.co/mZRwspE7Hc",SenatorTomUdall,Tom Udall,New Mexico,Democratic
30,Tue May 16 21:02:45 +0000 2017,8.64587E+17,3,64,GOP abused CRA to engineer giveaways to their #specialinterest donors—so @CoryBooker and I wrote a bill to repeal t… https://t.co/0flr2qc4CX,SenatorTomUdall,Tom Udall,New Mexico,Democratic
31,Tue May 16 16:30:35 +0000 2017,8.64518E+17,8,26,@POTUS Republicans and Democrats must come together for real oversight. It is well past time for Congress to appoin… https://t.co/OaqafXE32t,SenatorTomUdall,Tom Udall,New Mexico,Democratic
32,Tue May 16 16:27:17 +0000 2017,8.64518E+17,7,33,"@POTUS .@POTUS’ strange behavior—Russia Oval Office meeting, disclosing classified info—is even stranger w/context… https://t.co/HylnPw0tQU",SenatorTomUdall,Tom Udall,New Mexico,Democratic
33,Tue May 16 16:26:51 +0000 2017,8.64518E+17,5,21,@POTUS Reported disclosure of highly classified information to Russia by @POTUS is dangerous to our national securi… https://t.co/ZJ0NgIduRv,SenatorTomUdall,Tom Udall,New Mexico,Democratic
